metric,value
num_nodes,18300
num_edges,25930
avg_local_clustering,0.041364724528658955
global_transitivity,0.05950911591494164
num_connected_components,157
network_diameter,137.0
average_path_length,50.88365840089985
largest_component_nodes,17567
largest_component_edges,25295
largest_component_diameter,137.0
largest_component_avg_path_length,50.886357756239526
largest_component_size_ratio,0.9599453551912568
min_degree,1
max_degree,11
degree_count_1,2361
degree_count_2,3405
degree_count_3,7728
degree_count_4,4618
degree_count_5,137
degree_count_6,28
degree_count_7,11
degree_count_8,8
degree_count_9,2
degree_count_10,1
degree_count_11,1
