metric,value
num_nodes,13605
num_edges,17897
avg_local_clustering,0.04587949108346021
global_transitivity,0.0628307246699716
num_connected_components,390
network_diameter,186.0
average_path_length,70.4335300734274
largest_component_nodes,12370
largest_component_edges,16992
largest_component_diameter,186.0
largest_component_avg_path_length,70.44241175081548
largest_component_size_ratio,0.9092245497978684
min_degree,1
max_degree,7
degree_count_1,2568
degree_count_2,2345
degree_count_3,6321
degree_count_4,2297
degree_count_5,60
degree_count_6,13
degree_count_7,1
