metric,value
num_nodes,8315
num_edges,11128
avg_local_clustering,0.036194485009878874
global_transitivity,0.04988154777573046
num_connected_components,130
network_diameter,135.0
average_path_length,45.8161333577865
largest_component_nodes,7658
largest_component_edges,10542
largest_component_diameter,135.0
largest_component_avg_path_length,45.83690021502693
largest_component_size_ratio,0.9209861695730608
min_degree,1
max_degree,7
degree_count_1,1434
degree_count_2,1544
degree_count_3,3676
degree_count_4,1606
degree_count_5,49
degree_count_6,5
degree_count_7,1
