metric,value
num_nodes,10727
num_edges,14711
avg_local_clustering,0.03969644910262045
global_transitivity,0.05026137212247151
num_connected_components,131
network_diameter,162.0
average_path_length,52.55786638089752
largest_component_nodes,10132
largest_component_edges,14185
largest_component_diameter,162.0
largest_component_avg_path_length,52.561201867848595
largest_component_size_ratio,0.9445324881141046
min_degree,1
max_degree,7
degree_count_1,1649
degree_count_2,1859
degree_count_3,4896
degree_count_4,2260
degree_count_5,53
degree_count_6,8
degree_count_7,2
