metric,value
num_nodes,13894
num_edges,19018
avg_local_clustering,0.03010600670381871
global_transitivity,0.04204064662867764
num_connected_components,211
network_diameter,183.0
average_path_length,63.13249783480829
largest_component_nodes,13235
largest_component_edges,18518
largest_component_diameter,183.0
largest_component_avg_path_length,63.13442579784563
largest_component_size_ratio,0.9525694544407658
min_degree,1
max_degree,8
degree_count_1,2598
degree_count_2,2224
degree_count_3,5391
degree_count_4,3611
degree_count_5,55
degree_count_6,10
degree_count_7,2
degree_count_8,3
