metric,value
num_nodes,5672
num_edges,7617
avg_local_clustering,0.05321462153267512
global_transitivity,0.07996982270841192
num_connected_components,160
network_diameter,125.0
average_path_length,42.534503045287416
largest_component_nodes,5164
largest_component_edges,7235
largest_component_diameter,125.0
largest_component_avg_path_length,42.543029087532645
largest_component_size_ratio,0.9104372355430184
min_degree,1
max_degree,6
degree_count_1,971
degree_count_2,1226
degree_count_3,2167
degree_count_4,1249
degree_count_5,40
degree_count_6,19
