metric,value
num_nodes,9162
num_edges,12865
avg_local_clustering,0.030610908410515482
global_transitivity,0.039672131147540986
num_connected_components,25
network_diameter,114.0
average_path_length,41.51305425422399
largest_component_nodes,8986
largest_component_edges,12679
largest_component_diameter,114.0
largest_component_avg_path_length,41.51732951065536
largest_component_size_ratio,0.9807902204758786
min_degree,1
max_degree,8
degree_count_1,1057
degree_count_2,1991
degree_count_3,3820
degree_count_4,2251
degree_count_5,33
degree_count_6,9
degree_count_8,1
