city,distribution,parameters,log_likelihood,num_params,cvm_stat,cvm_pvalue,aicc,cv_loglik
Chengdu,power_law,alpha=2.041551; xmin=1.000000,-37207.5220,1,1208.785640,0.004975,74417.0442,-2.033204
Chengdu,exponential,rate=0.428471; shift=0.500000,-33670.0642,1,1079.672320,0.004975,67342.1285,-1.839902
Chengdu,lognormal,mu=0.960106; sigma=0.438008,-28026.3700,2,733.141666,0.004975,56056.7406,-1.531562
Chengdu,poisson,lambda=2.833880,-29800.2664,1,604.570378,0.004975,59602.5330,-1.628436
Chengdu,negative_binomial,r=5375000.000000; mu=2.833880,-29800.2693,2,604.570528,0.004975,59604.5392,-1.628487
Chengdu,truncated_power_law,alpha=1.010000; lambda=0.175625,-37745.4673,2,1605.577884,0.004975,75494.9353,-2.062602
Dalian,power_law,alpha=2.145599; xmin=1.000000,-26111.0525,1,858.551465,0.004975,52224.1053,-1.919253
Dalian,exponential,rate=0.469275; shift=0.500000,-23773.4624,1,770.978911,0.004975,47548.9252,-1.747420
Dalian,lognormal,mu=0.872906; sigma=0.469942,-20776.9563,2,550.100603,0.004975,41557.9134,-1.527233
Dalian,poisson,lambda=2.630945,-21801.3642,1,454.555300,0.004975,43604.7287,-1.602475
Dalian,negative_binomial,r=5375000.000000; mu=2.630945,-21801.3662,2,454.555395,0.004975,43606.7332,-1.602498
Dalian,truncated_power_law,alpha=1.010000; lambda=0.199375,-26347.2678,2,1140.014051,0.004975,52698.5365,-1.936594
Dongguan,power_law,alpha=2.119884; xmin=1.000000,-16153.6836,1,527.409836,0.004975,32309.3677,-1.942754
Dongguan,exponential,rate=0.459430; shift=0.500000,-14709.1396,1,471.273781,0.004975,29420.2796,-1.768999
Dongguan,lognormal,mu=0.892949; sigma=0.462902,-12716.7145,2,328.930803,0.004975,25437.4305,-1.529496
Dongguan,poisson,lambda=2.676609,-13380.5336,1,271.017932,0.004975,26763.0677,-1.609227
Dongguan,negative_binomial,r=5375000.000000; mu=2.676609,-13380.5348,2,271.017993,0.004975,26765.0711,-1.609269
