step,node
0,49324
1,48674
2,37811
3,49885
4,24548
5,11138
6,30545
7,34419
8,34905
9,18959
10,37307
11,35210
12,24811
13,25290
14,47943
15,3417
16,2715
17,29079
18,38436
19,41067
20,29573
21,11122
22,2593
23,18256
24,48911
25,27839
26,40915
27,43505
28,34962
29,42274
30,15822
31,24699
32,16804
33,40044
34,8493
35,22636
36,25836
37,30332
38,39650
39,43678
40,13433
41,41310
42,26585
43,35448
44,35274
45,32308
46,36363
47,35367
48,39047
49,38683
50,44003
51,42322
52,18457
53,24588
54,13455
55,12644
56,19279
57,13354
58,18513
59,17285
60,16145
61,28098
62,15680
63,19442
64,11704
65,24412
66,2182
67,19111
68,7818
69,13024
70,19312
71,5278
72,13561
73,20654
74,14042
75,12808
76,7924
77,13491
78,11094
79,21511
80,23051
81,11867
82,7243
83,6800
84,8662
85,3724
86,22052
87,20243
88,17011
89,28231
90,17757
91,15532
92,24397
93,33182
94,34494
95,25185
96,39602
97,8034
98,36042
99,38702
100,42461
101,42835
102,20171
103,34919
104,29942
105,26035
106,36413
107,20382
108,35246
109,17411
110,24642
111,18917
112,40253
113,19910
114,39606
115,32487
116,29617
117,31400
118,47894
119,21853
120,23371
121,30811
122,2710
123,2304
124,36197
125,26620
126,4046
127,38698
128,40826
129,41463
130,31803
131,38926
132,10695
133,4482
134,7212
135,24327
136,28491
137,41859
138,26452
139,3962
140,5431
141,11801
142,3980
143,47591
144,609
145,35764
146,24282
147,39519
148,25426
149,24334
150,2231
151,22795
152,26743
153,29676
154,27228
155,27674
156,29371
157,1796
158,3935
159,34832
160,36796
161,46838
162,44906
163,42886
164,2800
165,1931
166,7927
167,4445
168,45289
169,41127
170,15318
171,9814
172,42711
173,10785
174,20704
175,12250
176,42485
177,8846
178,10552
179,10660
180,18512
181,27858
182,9173
183,8081
184,9203
185,44892
186,8915
187,12072
188,4606
189,16965
190,30689
191,8536
192,20941
193,25792
194,22181
195,45376
196,4234
197,9181
198,9069
199,45459
200,45761
201,10832
202,43395
203,45310
204,45304
205,21484
206,44989
207,25499
208,971
209,4026
210,20501
211,13205
212,16025
213,13694
214,859
215,3790
216,9262
217,42187
218,29095
219,9521
220,37188
221,34662
222,32232
223,29044
224,34178
225,37170
226,34317
227,29880
228,13103
229,14387
230,34883
231,10435
232,6798
233,29104
234,34490
235,44520
236,14916
237,33200
238,35800
239,5294
240,12502
241,29084
242,4920
243,37290
244,16710
245,24620
246,36709
247,39382
248,31056
249,23004
250,27526
251,33045
252,20387
253,20695
254,47594
255,19257
256,19967
257,10300
258,24377
259,7066
260,14294
261,21161
262,6648
263,20935
264,22762
265,34809
266,6531
267,23027
268,43694
269,38441
270,11568
271,21381
272,30460
273,34102
274,4830
275,8285
276,48215
277,25986
278,6417
279,7023
280,13743
281,10789
282,3040
283,9804
284,20162
285,7731
286,11452
287,45689
288,31004
289,45429
290,26569
291,28158
292,8673
293,30319
294,7354
295,9561
296,32003
297,16621
298,34486
299,8085
300,6078
301,41142
302,11677
303,28611
304,29228
305,10493
306,9219
307,30764
308,29607
309,46540
310,27564
311,40770
312,45803
313,46622
314,42861
315,1020
316,138
317,16187
318,21490
319,32377
320,9922
321,19635
322,10296
323,8787
324,20822
325,34267
326,13237
327,45686
328,11938
329,45962
330,39274
331,19615
332,46629
333,30886
334,11653
335,43892
336,22199
337,45852
338,23442
339,44316
340,33305
341,475
342,15135
343,30771
344,45845
345,15517
346,33697
347,27432
348,46279
349,9309
350,23902
351,29272
352,44104
353,33528
354,19903
355,41052
356,29806
357,45638
358,3025
359,17910
360,44352
361,32097
362,33851
363,33593
364,5037
365,42611
366,14728
367,30939
368,49242
369,525
370,21949
371,22117
372,44305
373,44867
374,43978
375,2256
376,6391
377,21977
378,36883
379,30720
380,40037
381,25580
382,2466
383,43489
384,44852
385,22001
386,46633
387,43051
388,12231
389,38686
390,46586
391,37411
392,30028
393,35319
394,44887
395,44750
396,35370
397,36871
398,45991
399,29986
400,45612
401,46120
402,31996
403,45901
404,36797
405,38669
406,46056
407,25256
408,44100
409,40315
410,45774
411,15742
412,34729
413,7388
414,1375
415,39789
416,45585
417,32594
418,35199
419,4645
420,51115
421,32696
422,36217
423,12065
424,22454
425,32709
426,46193
427,17449
428,32891
429,445
430,36983
431,36048
432,39222
433,2176
434,34805
435,45971
436,33529
437,46088
438,50051
439,29793
440,27039
441,38528
442,40613
443,5886
444,43134
445,30636
446,38080
447,39706
448,2226
449,15675
450,46008
451,2950
452,2587
453,46371
454,16013
455,45734
456,45458
457,17204
458,17930
459,38227
460,40609
461,36381
462,45011
463,19579
464,25338
465,38894
466,45568
467,31953
468,10430
469,32888
470,40262
471,2536
472,29479
473,10166
474,4127
475,38268
476,11155
477,9276
478,21737
479,40208
480,14660
481,40850
482,4777
483,36747
484,16277
485,7124
486,7382
487,11287
488,36033
489,20114
490,1952
491,39542
492,40022
493,27693
494,14199
495,27761
496,39151
497,23355
498,25562
499,26378
