step,node
1,48674
2,49324
3,49885
4,37811
5,38047
6,49330
7,22554
8,23699
9,29573
10,50806
11,11138
12,11292
13,20507
14,24417
15,24811
16,25185
17,47943
18,48570
19,20124
20,21874
21,27839
22,41309
23,5968
24,15428
25,23888
26,27599
27,28839
28,31070
29,42677
30,42680
31,50812
32,49943
33,2715
34,13576
35,16244
36,17889
37,19111
38,21050
39,21853
40,34261
41,40613
42,46065
43,48723
44,49882
45,2483
46,4684
47,5484
48,5614
49,5666
50,5692
51,5783
52,6300
53,6988
54,7382
55,8101
56,8217
57,8662
58,9134
59,9219
60,9435
61,9922
62,9937
63,10110
64,11081
65,11146
66,11287
67,11452
68,11519
69,11704
70,11801
71,11829
72,12130
73,12281
74,13433
75,13579
76,13694
77,15234
78,15680
79,16132
80,16234
81,16277
82,16411
83,17877
84,18414
85,18431
86,18925
87,18959
88,19257
89,20021
90,20160
91,20194
92,20230
93,20269
94,20387
95,21793
96,22188
97,22583
98,22913
99,23004
100,23024
101,23027
102,23708
103,24057
104,24711
105,25194
106,25203
107,25406
108,25575
109,25757
110,25995
111,26253
112,26620
113,26760
114,26967
115,27039
116,27186
117,27672
118,27832
119,28198
120,28255
121,29084
122,29272
123,29291
124,30078
125,30888
126,31212
127,31771
128,32070
129,32210
130,32287
131,33200
132,33283
133,33287
134,33700
135,35199
136,35274
137,36341
138,36804
139,37170
140,38686
141,41803
142,43505
143,43530
144,44337
145,44520
146,45893
147,46183
148,46399
149,48663
150,48989
151,49671
152,49929
153,50169
154,51650
155,28
156,36
157,40
158,60
159,66
160,69
161,98
162,102
163,158
164,166
165,189
166,209
167,213
168,243
169,269
170,326
171,346
172,359
173,364
174,389
175,404
176,424
177,450
178,525
179,530
180,550
181,560
182,596
183,609
184,628
185,640
186,692
187,736
188,747
189,794
190,840
191,844
192,926
193,961
194,971
195,984
196,987
197,1007
198,1044
199,1067
200,1089
201,1135
202,1153
203,1162
204,1187
205,1202
206,1247
207,1252
208,1271
209,1273
210,1286
211,1324
212,1332
213,1450
214,1458
215,1478
216,1575
217,1680
218,1684
219,1742
220,1791
221,1806
222,1817
223,1827
224,1926
225,1941
226,2039
227,2057
228,2062
229,2073
230,2088
231,2109
232,2114
233,2135
234,2153
235,2162
236,2168
237,2176
238,2182
239,2219
240,2236
241,2256
242,2304
243,2316
244,2344
245,2381
246,2402
247,2411
248,2434
249,2453
250,2478
251,2556
252,2587
253,2593
254,2603
255,2607
256,2617
257,2633
258,2642
259,2645
260,2648
261,2676
262,2758
263,2800
264,2829
265,2833
266,2841
267,2915
268,2940
269,2958
270,2959
271,2980
272,2996
273,3002
274,3017
275,3030
276,3040
277,3050
278,3065
279,3075
280,3098
281,3102
282,3166
283,3174
284,3182
285,3193
286,3216
287,3225
288,3244
289,3255
290,3263
291,3284
292,3287
293,3306
294,3319
295,3347
296,3355
297,3375
298,3388
299,3394
300,3397
301,3417
302,3437
303,3450
304,3466
305,3481
