step,node
0,24548
1,49330
2,37811
3,49885
4,15282
5,28283
6,48674
7,11138
8,24417
9,47943
10,48911
11,32246
12,5982
13,20124
14,41310
15,18457
16,2715
17,34905
18,19111
19,42726
20,16244
21,34419
22,18959
23,13576
24,28839
25,17889
26,21050
27,46705
28,27807
29,47599
30,34261
31,33700
32,35274
33,38436
34,21983
35,13433
36,33341
37,227
38,20372
39,44923
40,16508
41,8493
42,35334
43,30965
44,40088
45,38790
46,4572
47,36353
48,16536
49,20059
50,27940
51,3766
52,35258
53,36631
54,13747
55,14941
56,22193
57,17780
58,3541
59,32070
60,36341
61,7676
62,13058
63,24742
64,39602
65,33200
66,29079
67,28348
68,32569
69,1450
70,34741
71,16299
72,13269
73,14572
74,7382
75,46065
76,40613
77,4671
78,11704
79,20114
80,48574
81,13700
82,1294
83,29291
84,25185
85,50084
86,22137
87,34003
88,41646
89,27835
90,50169
91,17877
92,15680
93,16994
94,43505
95,11287
96,44758
97,18256
98,2483
99,23708
100,19279
101,859
102,28255
103,31440
104,27039
105,20021
106,8662
107,20704
108,34919
109,11081
110,25091
111,4394
112,1931
113,18193
114,12130
115,33110
116,5037
117,28178
118,19061
119,17365
120,22724
121,16981
122,8536
123,22436
124,40499
125,26073
126,20501
127,44750
128,46573
129,27512
130,46489
131,19944
132,8713
133,24309
134,11728
135,10022
136,38778
137,21367
138,19257
139,21054
140,17746
141,11432
142,18560
143,26585
144,3017
145,26620
146,22913
147,26967
148,24996
149,9768
150,17643
151,39650
152,41067
153,30888
154,29880
155,30496
156,30332
157,34074
158,49829
159,22947
160,40258
161,34883
162,40915
163,8217
164,44337
165,43555
166,38926
167,46056
168,5484
169,4586
170,2192
171,16411
172,43991
173,9219
174,1926
175,8034
176,6300
177,4004
178,7621
179,3648
180,11772
181,10288
182,8101
183,9134
184,4026
185,10861
186,4920
187,6800
188,3962
189,10773
190,923
191,46622
192,5280
193,44520
194,13491
195,45376
196,34102
197,11181
198,800
199,45789
200,43678
201,5085
202,525
203,5592
204,10618
205,44003
206,24659
207,43530
208,24711
209,41984
210,5930
211,38321
212,42932
213,17217
214,43444
215,29393
216,45014
217,41166
218,42718
219,43180
220,15160
221,44664
222,12772
223,43068
224,13354
225,9958
226,11961
227,29084
228,35183
229,35544
230,42835
231,12287
232,26021
233,36421
234,36235
235,25406
236,42599
237,41859
238,32308
239,25401
240,30260
241,28671
242,27309
243,24037
244,25562
245,25575
246,26285
247,19438
248,23607
249,2642
250,25986
251,29243
252,25372
253,34234
254,36363
255,41881
256,40044
257,10068
258,40244
259,26253
260,42857
261,3874
262,39519
263,24397
264,35319
265,43523
266,40572
267,37170
268,1838
269,21969
270,29228
271,32939
272,4951
273,33655
274,9228
275,34427
276,5456
277,4445
278,7077
279,40160
280,35764
281,36433
282,42274
283,38683
284,45092
285,3980
286,12533
287,42322
288,29657
289,14042
290,38686
291,6097
292,12080
293,37749
294,35905
295,36193
296,18104
297,20546
298,13461
299,42452
300,41048
301,39692
302,40174
303,26952
304,29508
305,10237
306,24762
307,21093
308,25763
309,7433
310,35796
311,28948
312,11519
313,3935
314,44659
315,37188
316,31467
317,33045
318,13455
319,21757
320,24699
321,2800
322,7646
323,44100
324,22052
325,9086
326,7924
327,8209
328,42187
329,43698
330,22559
331,3763
332,25697
333,31400
334,25836
335,31271
336,10264
337,45079
338,7420
339,12307
340,44316
341,11146
342,48215
343,28198
344,44855
345,29499
346,48404
347,35367
348,36925
349,44580
350,50762
351,44766
352,18519
353,45877
354,46540
355,44502
356,50289
357,20171
358,13853
359,16328
360,6863
361,33000
362,35424
363,35720
364,12281
365,17505
366,10208
367,12677
368,20269
369,15454
370,7322
371,12957
372,8582
373,35833
374,21202
375,37943
376,34958
377,23032
378,23338
379,36691
380,38724
381,7557
382,8896
383,10042
384,45019
385,37971
386,12588
387,26723
388,9368
389,1292
390,38441
391,45051
392,25499
393,19982
394,12448
395,31574
396,28564
397,30290
398,23334
399,22199
400,9688
401,45686
402,46183
403,32627
404,36199
405,9395
406,23125
407,31212
408,38698
409,10479
410,2070
411,7954
412,2284
413,28
414,1595
415,7821
416,2176
417,31974
418,8872
419,15858
420,44777
421,46658
422,23329
423,12808
424,38145
425,29557
426,46633
427,45573
428,46088
429,24377
430,26210
431,13743
432,36883
433,11187
434,37240
435,36709
436,29890
437,3113
438,46099
439,45883
440,44933
441,50629
442,22121
443,17699
444,27256
445,13080
446,46570
447,45123
448,31862
449,16949
450,39044
451,22571
452,40609
453,26846
454,16723
455,37411
456,46283
457,45770
458,475
459,39966
460,42923
461,7767
462,46586
463,18759
464,223
465,40395
466,7659
467,16020
468,11367
469,21470
470,14916
471,138
472,692
473,44938
474,4058
475,10785
476,33228
477,12502
478,31682
479,39472
480,31996
481,45813
482,46193
483,10856
484,42634
485,9684
486,45765
487,46128
488,46254
489,43148
490,39207
491,41127
492,15229
493,25761
494,4710
495,42461
496,50542
497,16357
498,32994
499,16123
500,39382
501,6743
502,27340
503,28715
504,45388
505,39269
506,17019
507,23564
508,2959
509,2617
510,39294
511,10603
512,39677
513,15287
514,32696
515,35298
516,32594
517,17406
518,31080
519,35055
520,17733
521,9580
522,7939
523,14090
524,21425
525,21474
526,13342
527,34792
528,35130
529,39145
530,40770
531,5977
532,33156
533,11279
534,43377
535,39579
536,29737
537,3036
538,34497
539,8995
540,10159
541,19661
542,22291
543,9962
544,45474
545,6833
546,10657
547,14750
548,11103
549,17158
550,40807
