step,node
1,49337
2,49333
3,48663
4,20507
5,20137
6,19736
7,28817
8,28818
9,20859
10,21063
11,49324
12,48674
13,49330
14,48574
15,48458
16,37935
17,38572
18,40250
19,35210
20,18959
21,28283
22,25021
23,27789
24,19470
25,30545
26,29247
27,19239
28,29117
29,18414
30,33985
31,34916
32,24197
33,34741
34,22444
35,22606
36,22548
37,22452
38,23585
39,24868
40,36413
41,2304
42,2416
43,2316
44,24699
45,18457
46,3541
47,3962
48,2119
49,4901
50,3799
51,2158
52,11181
53,3113
54,3114
55,2550
56,2549
57,2593
58,2634
59,2758
60,10868
61,32301
62,32451
63,12210
64,31675
65,31793
66,9233
67,10695
68,11724
69,32728
70,11097
71,26585
72,26586
73,25897
74,25898
75,39602
76,39800
77,35294
78,39606
79,39420
80,39464
81,33185
82,33281
83,33321
84,34017
85,34245
86,34580
87,34579
88,34712
89,34698
90,34697
91,33239
92,32298
93,32487
94,33332
95,34024
96,34254
97,34587
98,34588
99,34623
100,34624
101,29235
102,30513
103,29175
104,22101
105,25087
106,26899
107,27842
108,27839
109,22353
110,21036
111,33940
112,28248
113,26888
114,28247
115,28856
116,33991
117,34543
118,34529
119,35206
120,35280
121,24811
122,26808
123,27290
124,28116
125,29024
126,28958
127,28568
128,21808
129,24018
130,21787
131,28348
132,27881
133,36363
134,29621
135,27965
136,29415
137,28731
138,29181
139,50007
140,50219
141,37500
142,24769
143,28833
144,49904
145,29079
146,36718
147,3025
148,3026
149,2947
150,2948
151,11676
152,12644
153,7785
154,32308
155,35614
156,36014
157,8928
158,9081
159,8217
160,36464
161,23225
162,11025
163,26359
164,27602
165,27601
166,28317
167,31109
168,29056
169,29055
170,49719
171,22052
172,22098
173,24468
174,26782
175,24900
176,28846
177,29068
178,22133
179,31724
180,19279
181,32313
182,28747
183,35601
184,13455
185,25157
186,26073
187,28098
188,48641
189,48583
190,35859
191,26843
192,19982
193,27113
194,19442
195,14064
196,17984
197,19285
198,19286
199,48218
200,27418
201,47591
202,13143
203,13144
204,15790
205,15789
206,22636
207,898
208,10813
209,11053
210,10785
211,29508
212,30091
213,29784
214,29208
215,26105
216,26680
217,26637
218,26846
219,26850
220,26876
221,37200
222,37294
223,37260
224,20695
225,21038
226,26743
227,25316
228,26705
229,25613
230,25697
231,7871
232,7643
233,6711
234,47943
235,26370
236,26020
237,26026
238,26369
239,22842
240,24873
241,24417
242,23663
243,22730
244,22768
245,3002
246,35262
247,2994
248,2993
249,2772
250,2660
251,2999
252,3000
253,2777
254,2679
255,3263
256,4445
257,4446
258,4379
259,4380
260,3347
261,47907
262,18000
263,17746
264,16964
265,16824
266,15822
267,16804
268,17827
269,31467
270,31855
271,18123
272,4434
273,49141
274,49071
275,4433
276,4372
277,3380
278,36197
279,49117
280,32994
281,48660
282,48670
283,48762
284,48781
285,19332
286,49028
287,49002
288,48600
289,22728
290,48763
291,36810
292,37030
293,37004
294,18289
295,18403
296,18267
297,19254
298,20317
299,20501
300,20298
301,20114
302,48215
303,14077
304,17997
305,19296
306,19295
307,19762
308,20701
309,20083
310,20343
311,24762
312,21925
313,14090
314,13976
315,21918
316,10080
317,3878
318,14281
319,3790
320,3766
321,8760
322,8458
323,4026
324,7490
325,6832
326,3697
327,7686
328,8457
329,8164
330,16880
331,596
332,1800
333,609
334,601
335,612
336,1772
337,590
338,709
339,730
340,680
341,19936
342,19916
343,19182
344,18256
345,17740
346,17738
347,17804
348,26035
349,25964
350,26871
351,26419
352,25591
353,25443
354,26452
355,47954
356,23096
357,19871
358,20607
359,27905
360,48022
361,20230
362,19111
363,20459
364,19758
365,20099
366,19465
367,35445
368,36455
369,25995
370,25397
371,8248
372,48201
373,49211
374,48697
375,21626
376,24766
377,27127
378,24765
379,25643
380,27128
381,25757
382,25879
383,25652
384,21568
385,28178
386,15680
