step,node
1,227
2,4572
3,13437
4,13747
5,15282
6,16502
7,16536
8,17661
9,19154
10,20059
11,20289
12,20372
13,21075
14,21983
15,27940
16,32627
17,33131
18,35258
19,35334
20,36353
21,36631
22,38790
23,40097
24,41156
25,42507
26,44923
27,46705
28,49196
29,50046
30,11138
31,7382
32,9633
33,32070
34,28
35,269
36,389
37,640
38,1051
39,1153
40,1194
41,1450
42,1458
43,1791
44,1926
45,2381
46,2654
47,3648
48,3766
49,4018
50,4394
51,4533
52,4671
53,4920
54,5037
55,5280
56,5592
57,5862
58,6097
59,6198
60,6322
61,6846
62,7543
63,7676
64,8493
65,8566
66,8713
67,10068
68,10581
69,10639
70,11218
71,11292
72,13461
73,13880
74,14941
75,15095
76,14572
77,15192
78,15287
79,15849
80,16747
81,16958
82,17365
83,17780
84,18256
85,18659
86,21054
87,21425
88,22193
89,22388
90,24742
91,25084
92,26896
93,27512
94,27835
95,29436
96,30566
97,30939
98,31440
99,32759
100,32851
101,33110
102,33672
103,34003
104,34419
105,34454
106,31714
107,35508
108,38436
109,38447
110,38778
111,40107
112,40499
113,41026
114,41082
115,41166
116,41881
117,41984
118,42437
119,42932
120,43025
121,43047
122,43991
123,44633
124,44861
125,44750
126,45014
127,45195
128,45474
129,45789
130,46489
131,46573
132,46622
133,50580
134,4
135,182
136,221
137,251
138,492
139,583
140,587
141,617
142,686
143,804
144,859
145,868
146,1080
147,1131
148,1162
149,1172
150,1294
151,1716
152,2134
153,2324
154,2287
155,2491
156,2770
157,2897
158,3006
159,3310
160,3318
161,3769
162,3840
163,4056
164,4465
165,4477
166,4647
167,4655
168,4332
169,4742
170,4834
171,4960
172,5080
173,6044
174,6071
175,6646
176,6771
177,6775
178,6950
179,6984
180,6994
181,7019
182,7106
183,7146
184,7284
185,7413
186,7415
187,7430
188,7791
189,7963
190,8021
191,8137
192,8158
193,8250
194,8256
195,8411
196,8646
197,8754
198,9063
199,9190
200,9191
201,9270
202,10187
203,10212
204,10748
205,11134
206,11230
207,11634
208,11853
209,11968
210,12011
211,12412
212,12564
213,12998
214,13222
215,13635
216,14822
217,14007
218,14276
219,14561
220,14691
221,15140
222,15251
223,15286
224,15408
225,15672
226,16032
227,16328
228,16430
229,16492
230,18101
231,18144
232,18567
233,18833
234,18873
235,18894
236,19127
237,19187
238,19830
239,20303
240,20310
241,20396
242,20425
243,20624
244,20635
245,21232
246,21468
247,21865
248,22773
249,24228
250,24352
251,24659
252,24690
253,25359
254,25421
255,25751
256,26148
257,26187
258,27177
259,28075
260,28588
261,30555
262,30717
263,31784
264,32599
265,32669
266,33873
267,33976
268,34339
269,34383
270,34416
271,34515
272,35226
273,35370
274,35449
275,36059
276,36511
277,36549
278,36911
279,37060
280,37827
281,38237
282,38600
283,38650
284,38654
285,38903
286,39136
287,39178
288,40025
289,40954
290,41042
291,41795
292,42431
293,42945
294,43141
295,43457
296,43543
297,43800
298,44293
299,45489
300,45967
301,46640
302,46713
303,48558
304,48621
305,48654
306,48731
307,48749
308,49169
309,49501
310,50602
311,51658
312,41258
313,41380
314,24548
315,25047
316,24417
317,26616
318,32210
319,49885
320,11287
321,11829
322,21292
323,21050
324,23708
325,27039
326,33200
327,33700
328,43505
329,45893
330,125
331,158
332,326
333,138
334,510
335,166
336,189
337,514
338,209
339,213
340,479
341,346
342,359
343,404
344,424
345,394
346,428
347,470
348,525
349,530
350,550
351,560
352,971
353,46838
354,994
355,1252
356,1478
357,1595
358,1378
359,1941
360,800
361,736
362,847
363,2298
364,984
365,1806
366,596
367,609
368,581
369,2039
370,2070
371,2109
372,1861
373,2114
374,2363
375,2439
376,2556
377,2593
378,2617
379,2940
380,2696
381,3082
382,2648
383,2587
384,2715
385,2478
386,2362
387,2462
388,2758
389,2829
390,2833
391,2841
392,2915
393,2980
394,3036
395,3017
396,2177
397,3098
398,2013
399,3417
400,3422
401,3466
402,3526
403,3670
404,3745
405,3874
406,3952
407,3974
408,4004
409,4030
410,4123
411,3962
412,4285
413,4414
414,4586
415,8217
416,4762
417,4803
418,4069
419,5090
420,5201
421,5456
422,5641
423,5272
424,5766
425,5699
426,5898
427,5930
428,5977
429,5982
430,6078
431,6243
432,6252
433,6125
434,6226
435,5906
436,6092
437,5484
438,6256
439,6408
440,6456
441,6596
442,7238
443,5951
444,6681
445,6720
446,6800
447,6516
448,6904
449,7023
450,7137
451,7273
452,7420
453,7433
454,7442
455,7527
456,7549
457,7168
458,7250
459,7818
460,7924
461,7939
462,8024
463,8209
464,8224
465,8532
466,8543
467,8775
468,8834
469,8872
470,8946
471,9335
472,9430
473,9561
474,9654
475,9669
476,9737
477,9768
478,9892
479,10022
480,10118
481,10288
482,10264
483,10296
484,9144
485,9693
486,10657
487,6833
488,8826
489,10712
490,10974
491,11019
492,11122
493,11335
494,11367
495,11645
496,11728
497,11761
498,13024
499,12080
500,12119
501,12287
502,12296
503,12373
504,12441
505,12533
506,12545
507,12588
508,12644
509,12681
510,12867
511,12937
512,12948
513,12981
514,13038
515,13190
516,13217
517,13083
518,13342
519,13418
520,13684
521,13711
522,13733
523,13853
524,14842
525,14094
526,14230
527,13576
528,14235
529,14310
530,14384
531,14506
532,14532
533,14543
534,14345
535,14701
536,15564
537,15066
538,15112
539,15119
540,15227
541,15454
542,15190
543,15268
544,15504
545,15782
546,15854
547,15858
548,15479
549,15998
550,13827
551,16343
552,16201
553,16357
554,16368
555,16476
556,16486
557,15928
558,16607
559,16804
560,16807
561,16820
562,16981
563,17150
564,16698
565,17212
566,17285
567,17428
568,18611
569,16240
570,17474
571,17382
572,17710
573,17204
574,17772
575,17804
576,17937
577,18215
578,17919
579,16586
580,16108
581,18397
582,18460
583,18498
584,18549
585,18747
586,19257
587,18364
588,18802
589,19026
590,19265
591,19279
592,19314
593,19438
594,19573
595,19920
596,19936
597,19987
598,20009
599,20132
600,20243
601,20501
602,20607
603,20615
604,20738
605,20414
606,20461
607,20666
608,20827
609,20835
610,20935
611,20941
612,21228
613,21349
614,21367
615,21387
616,21412
617,21678
618,21709
619,21737
620,21745
621,21823
622,22121
623,21931
624,23757
625,21969
626,21977
627,22324
628,22436
629,16942
630,24309
631,24613
632,16025
633,22473
634,22559
635,22669
636,23058
637,23334
638,23420
639,23647
640,24079
641,20879
642,24171
643,24533
644,20701
645,24113
646,24353
647,24414
648,24569
649,25009
650,25184
651,25356
652,25697
653,25773
654,25381
655,25567
656,25203
657,25397
658,25836
659,25901
660,25911
661,25997
662,26093
663,26140
664,26180
665,26378
666,26585
667,26710
668,26683
669,26633
670,26714
671,26764
672,27011
673,27309
674,27418
675,27454
676,27643
677,27690
678,27594
679,27704
680,27802
681,28178
682,27969
683,28188
684,28535
685,28564
686,28642
687,28666
688,28739
689,28255
690,28546
691,28774
692,28858
693,28869
694,28948
695,29079
696,29243
697,29479
698,29475
699,27050
700,26723
701,22615
702,22947
703,29574
704,29584
705,29690
706,29921
707,29771
708,29806
709,30104
710,30107
711,30187
712,30212
713,30441
714,30460
715,30541
716,30636
717,30721
718,30834
719,31616
720,30917
721,30332
722,34637
723,31020
724,31046
725,31267
726,31400
727,25290
728,28406
729,29641
730,30624
731,31443
732,31504
733,31717
734,31636
735,31730
736,32338
737,32345
738,32780
739,32232
740,31844
741,32569
742,32611
743,32712
744,32728
745,32124
746,32884
747,32857
748,32909
749,32994
750,36292
751,29696
752,28966
753,33052
754,33063
755,33418
756,33085
757,33228
758,33253
759,33027
760,32003
761,33352
762,33386
763,33487
764,33645
765,33709
766,33835
767,34230
768,33838
769,33910
770,34020
771,34132
772,34388
773,34267
774,34278
775,34390
776,34405
777,34427
778,34564
779,34612
780,34725
781,34883
782,34905
783,35074
784,35126
785,50534
786,35274
787,34919
788,34962
789,34980
790,34394
791,35055
792,35206
793,35229
794,35158
795,35289
796,35298
797,33337
798,35352
799,33239
800,34966
801,35323
802,35162
803,35590
804,35720
805,36622
806,35724
807,35910
808,36193
809,35922
810,35653
811,36106
812,35905
813,36199
814,38698
815,36245
816,36413
817,36558
818,36597
819,36635
820,36733
821,36712
822,36747
823,36757
824,36907
825,36363
826,36925
827,39315
828,35407
829,35563
830,37149
831,37307
832,37557
833,37411
834,37391
835,37416
836,37471
837,37509
838,36718
839,37919
840,37952
841,38108
842,38202
843,38410
844,38686
845,38495
846,38154
847,37781
848,38607
849,39449
850,38592
851,39495
852,38828
853,38947
854,39288
855,39124
856,39319
857,39382
858,39502
859,39650
860,38950
861,39677
862,39694
863,39093
864,39706
865,39768
866,39893
867,39758
868,40022
869,40160
870,40202
871,40242
872,40244
873,40258
874,37943
875,37621
876,38551
877,38860
878,37231
879,40320
880,40450
881,40572
882,40609
883,40915
884,41010
885,41891
886,41067
887,41094
888,41224
889,41227
890,41709
891,41803
892,41859
893,42603
894,39516
895,36500
896,41878
897,42407
898,42461
899,42485
900,42391
901,42611
902,42718
903,42719
904,42872
905,42452
906,42496
907,42739
908,42923
909,42472
910,42546
911,42685
912,42949
913,42959
914,43116
915,43159
916,43180
917,43377
918,34870
919,35110
920,41976
921,35345
922,35238
923,43435
924,43444
925,43497
926,44337
927,43514
928,43536
929,43540
930,43468
931,43356
932,43555
933,43825
934,42886
935,43788
936,43861
937,43871
938,43916
939,43960
940,44034
941,44077
942,44100
943,44107
944,44222
945,44279
946,44316
947,44370
948,44379
949,44439
950,44524
951,44538
952,44580
953,44659
954,44648
955,44777
956,44887
957,44509
958,44831
959,44387
960,44684
961,44867
962,44914
963,45019
964,45023
965,45033
966,45058
967,45092
968,45123
969,45181
970,45027
971,45177
972,45263
973,45304
974,45346
975,45376
976,45662
977,45397
978,45277
979,45446
980,45559
981,45572
982,45591
983,45429
984,46540
985,45604
986,45676
987,45686
988,45638
989,45689
990,45524
991,45693
992,45715
993,45761
994,45845
995,45865
996,46056
997,46248
998,45310
999,45962
1000,46076
1001,46193
1002,46183
1003,46003
1004,46275
1005,46288
1006,46348
1007,46463
1008,46528
1009,46588
1010,46626
1011,47366
1012,12090
1013,12254
1014,11397
1015,47907
1016,18332
1017,48027
1018,19470
1019,48677
1020,48780
1021,22728
1022,22477
1023,22583
1024,48926
1025,24464
1026,48869
1027,23185
1028,24057
1029,25282
1030,50512
1031,34890
1032,50537
1033,50012
1034,49921
1035,49882
1036,31817
1037,31993
1038,49726
1039,50556
1040,34702
1041,35220
1042,35485
1043,50169
1044,33586
1045,30513
1046,32256
1047,50629
1048,45
1049,18
1050,40
1051,87
1052,66
1053,129
1054,60
1055,69
1056,98
1057,118
1058,112
1059,223
1060,239
1061,275
1062,280
1063,317
1064,298
1065,299
1066,323
1067,344
1068,442
1069,571
1070,608
1071,668
1072,697
1073,728
1074,681
1075,692
1076,756
1077,708
1078,724
1079,788
1080,763
1081,770
1082,853
1083,858
1084,871
1085,818
1086,877
1087,923
1088,892
1089,961
1090,1007
1091,942
1092,968
1093,1020
1094,1838
1095,1970
1096,1998
1097,1030
1098,1060
1099,1088
1100,1115
1101,1247
1102,1286
1103,1340
1104,1301
1105,1373
1106,1394
1107,1324
1108,1332
1109,1575
1110,1423
1111,1533
1112,1437
1113,1496
1114,1546
1115,1592
1116,1609
1117,1650
1118,1677
1119,1652
1120,1884
1121,1661
1122,1684
1123,1691
1124,1711
1125,1750
1126,1779
1127,1816
1128,1856
1129,1827
1130,1872
1131,1796
1132,1912
1133,1933
1134,1935
1135,1965
1136,2097
1137,2108
1138,2124
1139,2158
1140,2197
1141,2223
1142,2252
1143,2340
1144,2199
1145,2168
1146,2142
1147,2346
1148,2226
1149,2256
1150,2356
1151,2320
1152,2359
1153,2388
1154,2500
1155,2523
1156,2740
1157,2579
1158,2519
1159,2603
1160,2525
1161,2479
1162,2673
1163,2705
1164,2710
1165,4858
1166,2800
1167,2676
1168,2642
1169,2744
1170,2856
1171,2786
1172,2989
1173,3162
1174,2814
1175,2874
1176,2994
1177,3025
1178,3089
1179,3120
1180,2850
1181,2882
1182,2913
1183,3143
1184,3149
1185,3367
1186,3371
1187,3522
1188,3541
1189,10080
1190,14090
1191,46944
1192,3363
1193,3558
1194,3626
1195,3485
1196,3313
1197,3397
1198,3481
1199,3679
1200,3688
1201,3763
1202,3540
1203,3683
1204,3783
1205,3808
1206,3980
1207,3932
1208,5116
1209,2192
1210,3908
1211,3817
1212,3959
1213,3965
1214,4008
1215,4154
1216,4080
1217,4164
1218,4195
1219,4255
1220,4212
1221,4242
1222,4748
1223,4398
1224,46976
1225,4051
1226,4072
1227,4217
1228,4438
1229,4458
1230,4475
1231,4482
1232,4361
1233,4490
1234,4434
1235,3347
1236,4610
1237,4709
1238,4794
1239,4888
1240,4662
1241,5345
1242,5361
1243,5753
1244,7074
1245,4814
1246,5174
1247,4822
1248,4930
1249,4947
1250,4824
1251,4807
1252,4963
1253,4997
1254,5085
1255,5018
1256,5026
1257,5064
1258,5093
1259,5112
1260,5191
1261,5240
1262,4951
1263,5648
1264,5144
1265,5044
1266,5372
1267,5465
1268,5500
1269,5561
1270,5625
1271,5554
1272,5769
1273,5923
1274,6880
1275,5945
1276,5990
1277,6011
1278,5964
1279,6033
1280,6082
1281,6103
1282,6163
1283,6180
1284,6693
1285,6230
1286,6193
1287,6313
1288,6240
1289,6328
1290,6507
1291,6463
1292,6577
1293,6343
1294,6372
1295,6411
1296,6511
1297,6435
1298,6353
1299,6467
1300,6524
1301,6559
1302,6447
1303,6573
1304,6588
1305,6986
1306,7143
1307,6594
1308,6652
1309,6788
1310,6686
1311,6605
1312,6773
1313,6784
1314,7190
1315,7927
1316,8093
1317,6743
1318,6798
1319,6863
1320,6362
1321,5170
1322,5153
1323,5056
1324,6895
1325,6967
1326,7021
1327,6912
1328,7030
1329,6966
1330,7132
1331,7110
1332,7243
1333,7126
1334,7142
1335,7266
1336,7316
1337,7346
1338,7388
1339,8034
1340,7871
1341,8758
1342,7215
1343,7446
1344,7469
1345,7474
1346,7514
1347,7545
1348,7582
1349,7588
1350,7611
1351,9025
1352,7664
1353,7577
1354,10789
1355,7947
1356,12801
1357,15748
1358,14317
1359,7686
1360,8458
1361,7712
1362,7731
1363,7763
1364,9009
1365,10890
1366,7066
1367,7086
1368,7178
1369,6861
1370,6635
1371,6337
1372,6724
1373,6764
1374,7054
1375,6918
1376,6815
1377,6883
1378,6988
1379,7774
1380,7782
1381,7798
1382,7746
1383,7604
1384,7827
1385,8455
1386,7886
1387,7887
1388,8722
1389,7997
1390,8010
1391,8041
1392,8178
1393,8299
1394,8467
1395,7840
1396,7392
1397,7835
1398,8244
1399,8548
1400,8119
1401,8614
1402,8882
1403,8254
1404,8267
1405,9541
1406,8304
1407,8201
1408,7962
1409,9779
1410,9548
1411,8902
1412,10208
1413,33593
1414,8323
1415,8329
1416,8333
1417,8336
1418,8416
1419,8445
1420,8490
1421,8513
1422,8429
1423,8516
1424,8599
1425,8617
1426,8673
1427,7930
1428,9219
1429,8700
1430,8710
1431,8737
1432,8792
1433,8800
1434,8808
1435,8819
1436,8194
1437,8837
1438,8887
1439,8896
1440,9040
1441,9024
1442,8943
1443,9055
1444,9077
1445,9521
1446,9086
1447,11707
1448,11094
1449,9097
1450,9290
1451,9304
1452,9646
1453,9922
1454,9145
1455,9173
1456,9180
1457,9331
1458,9870
1459,9198
1460,8822
1461,9208
1462,9233
1463,9314
1464,9321
1465,9387
1466,9424
1467,9509
1468,9514
1469,10006
1470,9526
1471,9533
1472,9576
1473,9600
1474,9668
1475,9604
1476,9684
1477,8859
1478,9723
1479,7834
1480,8631
1481,8480
1482,9749
1483,10142
1484,10281
1485,10304
1486,13302
1487,9760
1488,9376
1489,9134
1490,9853
1491,9865
1492,9896
1493,9910
1494,9911
1495,9942
1496,10003
1497,10053
1498,15680
1499,10063
1500,10073
1501,10159
1502,10192
1503,11066
1504,10215
1505,10240
1506,10260
1507,10307
1508,10373
1509,10315
1510,10433
1511,10715
1512,10253
1513,9021
1514,9587
1515,10172
1516,10446
1517,10536
1518,10621
1519,10600
1520,10300
1521,10630
1522,10678
1523,10718
1524,11757
1525,11892
1526,10719
1527,10813
1528,11298
1529,10823
1530,10826
1531,10835
1532,10057
1533,10841
1534,11117
1535,11062
1536,10861
1537,10435
1538,11412
1539,12072
1540,10986
1541,11076
1542,11091
1543,11202
1544,11602
1545,12024
1546,11069
1547,10655
1548,10765
1549,11160
1550,11212
1551,11391
1552,12065
1553,11704
1554,12047
1555,9690
1556,11216
1557,11273
1558,11346
1559,11245
1560,11428
1561,11555
1562,11558
1563,10832
1564,11673
1565,11760
1566,13354
1567,13405
1568,14387
1569,15418
1570,18422
1571,14476
1572,47591
1573,11816
1574,11828
1575,11837
1576,11877
1577,11896
1578,11921
1579,11907
1580,12043
1581,11915
1582,12015
1583,12084
1584,12313
1585,12115
1586,12617
1587,12272
1588,12398
1589,13495
1590,12173
1591,12199
1592,11911
1593,11859
1594,12243
1595,12402
1596,13179
1597,12425
1598,12461
1599,12464
1600,47316
1601,47319
1602,12492
1603,12524
1604,11955
1605,11775
1606,11598
1607,12571
1608,12594
1609,12213
1610,12708
1611,12768
1612,47476
1613,12909
1614,12805
1615,12052
1616,12854
1617,12951
1618,12971
1619,12204
1620,13002
1621,12486
1622,12349
1623,12713
1624,12968
1625,13007
1626,13042
1627,12772
1628,13050
1629,13060
1630,13058
1631,13241
1632,13248
1633,13065
1634,13092
1635,12188
1636,11696
1637,11747
1638,11659
1639,10877
1640,10654
1641,10286
1642,10201
1643,10618
1644,10864
1645,11227
1646,10430
1647,10730
1648,10084
1649,9811
1650,9490
1651,8928
1652,9558
1653,10101
1654,10230
1655,9630
1656,8248
1657,7777
1658,7908
1659,8213
1660,8658
1661,11355
1662,12718
1663,13154
1664,12855
1665,13165
1666,15088
1667,13246
1668,13791
1669,47514
1670,12933
1671,12726
1672,12420
1673,13489
1674,13262
1675,13264
1676,13285
1677,13348
1678,13395
1679,13466
1680,13758
1681,13506
1682,13587
1683,12960
1684,12834
1685,13638
1686,13555
1687,14434
1688,13642
1689,13661
1690,13668
1691,13237
1692,48218
1693,12032
1694,12307
1695,11146
1696,10595
1697,9503
1698,11407
1699,13666
1700,18010
1701,13706
1702,13743
1703,13776
1704,13971
1705,14023
1706,14104
1707,13653
1708,13784
1709,13825
1710,14395
1711,14668
1712,14797
1713,14418
1714,16111
1715,14116
1716,14998
1717,14421
1718,14441
1719,14484
1720,15338
1721,14728
1722,16036
1723,14784
1724,14922
1725,14818
1726,14960
1727,15110
1728,16040
1729,15272
1730,13700
1731,15234
1732,14429
1733,13103
1734,11371
1735,12694
1736,14071
1737,14411
1738,14645
1739,15761
1740,18192
1741,15296
1742,15135
1743,14893
1744,15311
1745,15445
1746,15382
1747,15516
1748,15532
1749,15972
1750,15613
1751,15693
1752,15756
1753,16701
1754,15789
1755,15809
1756,16057
1757,15828
1758,15878
1759,16003
1760,16096
1761,16132
1762,15841
1763,14660
1764,13860
1765,14141
1766,16136
1767,16274
1768,15451
1769,14916
1770,13274
1771,16317
1772,17449
1773,17548
1774,17295
1775,16299
1776,15647
1777,14197
1778,15623
1779,15970
1780,16380
1781,17406
1782,16490
1783,16551
1784,18123
1785,21921
1786,19903
1787,21185
1788,22268
1789,16621
1790,16752
1791,16773
1792,16868
1793,15490
1794,18389
1795,47640
1796,16878
1797,17342
1798,17682
1799,16968
1800,17056
1801,17084
1802,17227
1803,16425
1804,17026
1805,17061
1806,16852
1807,17173
1808,17217
1809,17651
1810,13455
1811,15742
1812,17306
1813,17851
1814,17315
1815,17402
1816,17189
1817,16690
1818,17186
1819,17266
1820,47770
1821,17011
1822,17398
1823,17523
1824,47865
1825,17643
1826,17715
1827,18244
1828,17761
1829,17791
1830,17829
1831,17863
1832,17904
1833,18375
1834,18519
1835,19321
1836,19570
1837,48009
1838,18386
1839,18392
1840,18857
1841,20046
1842,17910
1843,16909
1844,16896
1845,17933
1846,18063
1847,18104
1848,18457
1849,18085
1850,47761
1851,47827
1852,18016
1853,47894
1854,17637
1855,17653
1856,18513
1857,47989
1858,19330
1859,48014
1860,17501
1861,17889
1862,16990
1863,17914
1864,16632
1865,18091
1866,18977
1867,18155
1868,17968
1869,18115
1870,18204
1871,18570
1872,18226
1873,18321
1874,18336
1875,18339
1876,18427
1877,18439
1878,18002
1879,18925
1880,19129
1881,18105
1882,16277
1883,15619
1884,16978
1885,17312
1886,18211
1887,17956
1888,18444
1889,18466
1890,18533
1891,18560
1892,18590
1893,19823
1894,20088
1895,18913
1896,18471
1897,18431
1898,18971
1899,18996
1900,19050
1901,48102
1902,48056
1903,48060
1904,19137
1905,19140
1906,19224
1907,19377
1908,19273
1909,19338
1910,19342
1911,19403
1912,19411
1913,19413
1914,19465
1915,19669
1916,19432
1917,19447
1918,19513
1919,19527
1920,19606
1921,19660
1922,20083
1923,19537
1924,19545
1925,19615
1926,19661
1927,19729
1928,19595
1929,19836
1930,19967
1931,20387
1932,20436
1933,20851
1934,25541
1935,19768
1936,20114
1937,20160
1938,48338
1939,48591
1940,19742
1941,19494
1942,19746
1943,20800
1944,48374
1945,19642
1946,19690
1947,19242
1948,19799
1949,20910
1950,19811
1951,19977
1952,19865
1953,20052
1954,19776
1955,19925
1956,19905
1957,19929
1958,20120
1959,20199
1960,20030
1961,20453
1962,20204
1963,20212
1964,48404
1965,20194
1966,20230
1967,20512
1968,20434
1969,20275
1970,20335
1971,20360
1972,20382
1973,20406
1974,20429
1975,20516
1976,20680
1977,20698
1978,20769
1979,20777
1980,20300
1981,20103
1982,19884
1983,19991
1984,18915
1985,18961
1986,18774
1987,18287
1988,19232
1989,19503
1990,18825
1991,19213
1992,20780
1993,20790
1994,20883
1995,20825
1996,20955
1997,21949
1998,20985
1999,21008
2000,21093
2001,21652
2002,21122
2003,21168
2004,21242
2005,20629
2006,20302
2007,21295
2008,21306
2009,21308
2010,22137
2011,21853
2012,22110
2013,22204
2014,21353
2015,21374
2016,21504
2017,21616
2018,21801
2019,21816
2020,21817
2021,21593
2022,21771
2023,21857
2024,21861
2025,21891
2026,21899
2027,21925
2028,22113
2029,22571
2030,22207
2031,22232
2032,22263
2033,22133
2034,24762
2035,24868
2036,24996
2037,22320
2038,21097
2039,22345
2040,22401
2041,22921
2042,22413
2043,22467
2044,22493
2045,22525
2046,22555
2047,22591
2048,22694
2049,22705
2050,22733
2051,22384
2052,22247
2053,22842
2054,22515
2055,22877
2056,22884
2057,22651
2058,23111
2059,23046
2060,23442
2061,23055
2062,23125
2063,23220
2064,23245
2065,23286
2066,23100
2067,22908
2068,23292
2069,23632
2070,23194
2071,22857
2072,23301
2073,25153
2074,25321
2075,23305
2076,23325
2077,21511
2078,23399
2079,23468
2080,23512
2081,22466
2082,21214
2083,22911
2084,23189
2085,23524
2086,23548
2087,23582
2088,23626
2089,23776
2090,23870
2091,23572
2092,23797
2093,23323
2094,23380
2095,23942
2096,23934
2097,23991
2098,24006
2099,24018
2100,24023
2101,24055
2102,22454
2103,21886
2104,21394
2105,24063
2106,24123
2107,24164
2108,24502
2109,24250
2110,24265
2111,23589
2112,23298
2113,22485
2114,23144
2115,23695
2116,23033
2117,23730
2118,24313
2119,24343
2120,24406
2121,24422
2122,24453
2123,25730
2124,31996
2125,24473
2126,25140
2127,24514
2128,22106
2129,22712
2130,22262
2131,24607
2132,24635
2133,24648
2134,24655
2135,24920
2136,25071
2137,24934
2138,24105
2139,23924
2140,23727
2141,24186
2142,25575
2143,26038
2144,23526
2145,23446
2146,23928
2147,23930
2148,24394
2149,24871
2150,25112
2151,25123
2152,25174
2153,25200
2154,25246
2155,25302
2156,25845
2157,25452
2158,25505
2159,25626
2160,25256
2161,25538
2162,25718
2163,25516
2164,25063
2165,24429
2166,24449
2167,25795
2168,26027
2169,25815
2170,25829
2171,25847
2172,25868
2173,25869
2174,25898
2175,25962
2176,28311
2177,24074
2178,23986
2179,24432
2180,25969
2181,26021
2182,25742
2183,26031
2184,26035
2185,26062
2186,26138
2187,25351
2188,25075
2189,25104
2190,25439
2191,26213
2192,26285
2193,26246
2194,26255
2195,26427
2196,26311
2197,26318
2198,26620
2199,26323
2200,26336
2201,26340
2202,26355
2203,26405
2204,26020
2205,26472
2206,26162
2207,26410
2208,26564
2209,26760
2210,26599
2211,26730
2212,27174
2213,26776
2214,26795
2215,26818
2216,26247
2217,26846
2218,26871
2219,26925
2220,26750
2221,26792
2222,26960
2223,27072
2224,27266
2225,49136
2226,27000
2227,27101
2228,27127
2229,49208
2230,49222
2231,27273
2232,27285
2233,27354
2234,27490
2235,27976
2236,27526
2237,27553
2238,27660
2239,27714
2240,27894
2241,27903
2242,27986
2243,28069
2244,28127
2245,27879
2246,27832
2247,28060
2248,28223
2249,28092
2250,28158
2251,28240
2252,28344
2253,28102
2254,28132
2255,28254
2256,28598
2257,28261
2258,28352
2259,49249
2260,49307
2261,27667
2262,49269
2263,28393
2264,29031
2265,28399
2266,28558
2267,28885
2268,28562
2269,28430
2270,28590
2271,28630
2272,27697
2273,28654
2274,28291
2275,32308
2276,28727
2277,28414
2278,28793
2279,28715
2280,28862
2281,28989
2282,29006
2283,29228
2284,30208
2285,30651
2286,28738
2287,28327
2288,29075
2289,29200
2290,29393
2291,29336
2292,29775
2293,29935
2294,29668
2295,29107
2296,29346
2297,28491
2298,28974
2299,29163
2300,29910
2301,29285
2302,29376
2303,29599
2304,29657
2305,29306
2306,29798
2307,29830
2308,29986
2309,30048
2310,30006
2311,30140
2312,30159
2313,30354
2314,30449
2315,30216
2316,30592
2317,30659
2318,29272
2319,30655
2320,30018
2321,28455
2322,27829
2323,28153
2324,29090
2325,28497
2326,29224
2327,29997
2328,30260
2329,30290
2330,30533
2331,30792
2332,30853
2333,30073
2334,30886
2335,30897
2336,29942
2337,30143
2338,30385
2339,31000
2340,31004
2341,31109
2342,31179
2343,31192
2344,31428
2345,31471
2346,30363
2347,29676
2348,29282
2349,28783
2350,29377
2351,49439
2352,28198
2353,28650
2354,27869
2355,27608
2356,27359
2357,34844
2358,34853
2359,34898
2360,27181
2361,27058
2362,27315
2363,27067
2364,27537
2365,28671
2366,27686
2367,27186
2368,29443
2369,29886
2370,29465
2371,29749
2372,29607
2373,31499
2374,31570
2375,31586
2376,31461
2377,31708
2378,31748
2379,31767
2380,31808
2381,49904
2382,31822
2383,31874
2384,31899
2385,32301
2386,32892
2387,32828
2388,49724
2389,31950
2390,32085
2391,32156
2392,35411
2393,32324
2394,32446
2395,32436
2396,32469
2397,32615
2398,32696
2399,32732
2400,32652
2401,32700
2402,32701
2403,32325
2404,31797
2405,32185
2406,31424
2407,32040
2408,31243
2409,32118
2410,31447
2411,31153
2412,31200
2413,30685
2414,32709
2415,32716
2416,32620
2417,32752
2418,32769
2419,32834
2420,32870
2421,32936
2422,50063
2423,49980
2424,32888
2425,33529
2426,32102
2427,32897
