step,node
1,48674
2,49324
3,37811
4,49885
5,2715
6,11138
7,13576
8,16244
9,17889
10,19111
11,20507
12,21050
13,22554
14,24417
15,24811
16,25185
17,32287
18,34261
19,40613
20,46065
21,47943
22,48723
23,2483
24,4684
25,5484
26,5614
27,6300
28,6988
29,7382
30,8101
31,8662
32,9134
33,9219
34,9435
35,9922
36,10110
37,11081
38,11146
39,11287
40,11452
41,11704
42,11801
43,11829
44,12130
45,12281
46,13433
47,13694
48,15234
49,15680
50,16132
51,16234
52,16411
53,17877
54,18431
55,18925
56,19257
57,20021
58,20160
59,20194
60,20230
61,20269
62,21853
63,22583
64,23004
65,23027
66,23699
67,23708
68,24057
69,24711
70,25406
71,25575
72,25995
73,26253
74,26620
75,26760
76,27039
77,27832
78,27839
79,28198
80,28255
81,29084
82,29272
83,29291
84,30888
85,31212
86,31771
87,32070
88,33200
89,33283
90,33287
91,33700
92,35199
93,35274
94,36341
95,36804
96,37170
97,38686
98,41309
99,41803
100,43505
101,43530
102,44337
103,44520
104,45893
105,46183
106,46399
107,50169
108,51650
109,28
110,40
111,60
112,98
113,102
114,158
115,166
116,189
117,209
118,227
119,243
120,269
121,326
122,359
123,364
124,389
125,404
126,424
127,450
128,525
129,530
130,550
131,560
132,596
133,609
134,628
135,692
136,736
137,800
138,844
139,926
140,971
141,984
142,994
143,1067
144,1089
145,1135
146,1202
147,1286
148,1324
149,1378
150,1450
151,1595
152,1684
153,1701
154,1791
155,1806
156,1926
157,1941
158,2039
159,2057
160,2070
161,2088
162,2109
163,2114
164,2153
165,2177
166,2182
167,2236
168,2256
169,2304
170,2381
171,2411
172,2434
173,2478
174,2556
175,2587
176,2593
177,2603
178,2642
179,2645
180,2648
181,2676
182,2758
183,2800
184,2829
185,2885
186,2915
187,2940
188,2989
189,2996
190,3017
191,3030
192,3098
193,3102
194,3263
195,3306
196,3355
197,3375
198,3394
199,3397
200,3425
201,3466
202,3515
203,3526
204,3603
205,3648
206,3670
207,3724
208,3745
209,3782
210,3790
211,3869
212,3932
213,3935
214,3952
215,3974
216,4004
217,4018
218,4030
219,4041
220,4058
221,4085
222,4104
223,4174
224,4221
225,4226
226,4268
227,4434
228,4486
229,4533
230,4572
231,4597
232,4658
233,4723
234,4734
235,4782
236,4797
237,4866
238,4920
239,4938
240,5037
241,5090
242,5116
243,5150
244,5280
245,5337
246,5345
247,5456
248,5862
249,5889
250,5930
251,5977
252,6061
253,6078
254,6097
255,6198
256,6219
257,6256
258,6322
259,6366
260,6408
261,6486
262,6596
263,6605
264,6658
265,6681
266,6720
267,6748
268,6828
269,6846
270,6904
271,6962
272,7007
273,7066
274,7086
275,7101
276,7132
277,7137
278,7184
279,7215
280,7268
281,7333
282,7350
283,7358
284,7377
285,7386
286,7409
287,7420
288,7453
289,7527
290,7543
291,7584
292,7611
293,7672
294,7676
295,7727
296,7758
297,7799
298,7821
299,7871
300,7924
301,7938
302,7939
303,8024
304,8027
