step,node
1,9486
2,1896
3,48780
4,21177
5,19147
6,11817
7,8569
8,48398
9,7979
10,36812
11,2506
12,2764
13,8019
14,18952
15,20084
16,43565
17,2036
18,17106
19,48507
20,36411
21,18942
22,38954
23,24811
24,460
25,47491
26,36711
27,29584
28,24086
29,13841
30,18545
31,31821
32,8681
33,7741
34,33184
35,8000
36,31587
37,30300
38,22986
39,3586
40,40951
41,46622
42,11653
43,33115
44,6591
45,51525
46,25473
47,34224
48,16542
49,5774
50,3765
51,19806
52,49026
53,6748
54,20123
55,8581
56,33343
57,24184
58,39489
59,32538
60,13738
61,32627
62,49737
63,18386
64,23315
65,6880
66,14465
67,46665
68,21275
69,47515
70,40361
71,33525
72,23578
73,19085
74,28995
75,4580
76,19948
77,2545
78,27806
79,35404
80,23818
81,5591
82,18348
83,27693
84,19201
85,43823
86,34979
87,40244
88,12529
89,23182
90,12188
91,21756
92,48906
93,23009
94,37776
95,35394
96,32264
97,19141
98,12084
99,44717
100,43253
101,7939
102,4150
103,9295
104,13193
105,13762
106,37943
107,5212
108,34338
109,34275
110,41186
111,46632
112,24034
113,782
114,9709
115,49231
116,23635
117,30243
118,9369
119,26143
120,38539
121,13477
122,40116
123,222
124,23148
125,44152
126,15425
127,44790
128,8899
129,26569
130,44815
131,18127
132,13184
133,33375
134,13819
135,50467
136,48166
137,18
138,29048
139,43197
140,1716
141,9654
142,32679
143,27441
144,20980
145,4811
146,21496
147,6809
148,7697
149,43156
150,6648
151,49491
152,12157
153,11160
154,42338
155,14491
156,23962
157,48058
158,38011
159,18722
160,18558
161,28237
162,35803
163,33825
164,39145
165,46137
166,40303
167,10315
168,22044
169,20035
170,5309
171,30970
172,1542
173,20635
174,19624
175,502
176,6046
177,4905
178,20536
179,6108
180,2540
181,30087
182,6083
183,45899
184,21335
185,25329
186,43450
187,19916
188,11507
189,42378
190,21911
191,43558
192,36828
193,17197
194,7965
195,8211
196,39072
197,32406
198,38305
199,37148
200,42024
201,4818
202,8382
203,5148
204,36438
205,31824
206,9417
207,22651
208,17139
209,17019
210,40490
211,12303
212,38301
213,16706
214,25645
215,41781
216,22480
217,6442
218,40117
219,8658
220,4443
221,1027
222,8414
223,21404
224,14932
225,50748
226,43759
227,43513
228,19498
229,36578
230,4963
231,15042
232,34574
233,170
234,35483
235,24233
236,41310
237,26108
238,38692
239,44095
240,14655
241,17074
242,49215
243,19836
244,4951
245,5100
246,28803
247,4913
248,4182
249,43213
250,45573
251,14075
252,4945
253,46088
254,6950
255,17212
256,5968
257,6125
258,22181
259,36963
260,10655
261,22849
262,3385
263,7145
264,39047
265,50580
266,29296
267,24008
268,19206
269,29259
270,21940
271,24956
272,36356
273,11673
274,28139
275,41820
276,29465
277,6331
278,624
279,42000
280,10627
281,6435
282,19746
283,46295
284,24779
285,12101
286,32776
287,6256
288,22529
289,50241
290,26743
291,14504
292,40601
293,27964
294,2362
295,27853
296,9045
297,12069
298,25244
299,10433
300,9421
301,14033
302,25413
303,26636
304,19473
305,32360
306,48048
307,25091
308,46463
309,44825
310,23056
311,4242
312,8093
313,39284
314,26038
315,3706
316,293
317,31168
318,12130
319,24562
320,15156
321,40781
322,39499
323,645
324,9894
325,6760
326,13405
327,2906
328,34491
329,13246
330,39893
331,12437
332,3501
333,49399
334,34214
335,3287
336,33670
337,21381
338,23338
339,9018
340,33118
341,37822
342,13962
343,21936
344,15184
345,16482
346,38651
347,1933
348,16369
349,31626
350,38724
351,22902
352,25434
353,16942
354,10237
355,36335
356,3202
357,43626
358,20882
359,18535
360,42826
361,32936
362,28663
363,21000
364,48646
365,1839
366,17824
367,38268
368,31671
369,26373
370,6215
371,26434
372,33243
373,49784
374,38130
375,31296
376,2406
377,10463
378,24690
379,16642
380,26437
381,3375
382,10235
383,40661
384,32848
385,29640
386,41031
387,51669
388,10782
389,36305
390,17570
391,24040
392,3914
393,40889
394,117
395,18237
396,34654
397,40460
398,6257
399,31412
400,30191
401,11751
402,28932
403,50046
404,29545
405,38632
406,35984
407,38040
408,28308
409,12205
410,17781
411,39704
412,35889
413,16577
414,28877
415,38501
416,21
417,28960
418,27317
419,19677
420,40575
421,31066
422,43756
423,41736
424,41790
425,20197
426,44621
427,15543
