step,node
0,21484
1,24679
2,22123
3,6524
4,22676
5,22467
6,24950
7,34106
8,20304
9,17058
10,16996
11,34712
12,16587
13,17175
14,16714
15,16564
16,16064
17,25189
18,26518
19,25454
20,23732
21,23616
22,6441
23,24742
24,25596
25,7152
26,29038
27,13679
28,22749
29,31771
30,25536
31,11949
32,25663
33,24335
34,25621
35,25847
36,15438
37,15548
38,7401
39,6398
40,13322
41,34020
42,7769
43,20656
44,10008
45,31364
46,5688
47,4688
48,4638
49,9607
50,13165
51,5962
52,28457
53,28383
54,6240
55,7542
56,4298
57,23177
58,12500
59,4049
60,3598
61,11323
62,13229
63,20342
64,21555
65,13062
66,21867
67,20270
68,14908
69,23243
70,21468
71,13719
72,8758
73,22693
74,21594
75,19269
76,17514
77,11591
78,17603
79,10763
80,17885
81,8603
82,7110
83,2321
84,21009
85,18858
86,11358
87,17675
88,8252
89,22755
90,15501
91,9200
92,4255
93,20042
94,22154
95,19198
96,28617
97,8865
98,22739
99,19185
100,18517
101,19567
102,21763
103,19993
104,9287
105,11348
106,9936
107,19253
108,20427
109,22766
110,21220
111,21148
112,10830
113,10583
114,7906
115,27782
116,9052
117,3450
118,12861
119,7604
120,28182
121,9619
122,9273
123,11445
124,26845
125,27522
126,2203
127,23597
128,17998
129,23471
130,22798
131,26755
132,21937
133,23062
134,33572
135,22979
136,22965
137,22738
138,18553
139,3570
140,17488
141,24442
142,30914
143,2252
144,977
145,1630
146,2943
147,32774
148,7243
149,27183
150,11580
151,32977
152,6432
153,16763
154,8406
155,17789
156,30326
157,8160
158,1940
159,23845
160,23289
161,5942
162,11705
163,6393
164,32522
165,32875
166,8730
167,5397
168,17119
169,29238
170,3306
171,21698
172,9805
173,9456
174,17276
175,30769
176,32146
177,31339
178,31808
179,29276
180,2909
181,32156
182,31560
183,7414
184,2608
185,23692
186,32809
187,30796
188,6453
189,3227
190,2258
191,20064
192,31566
193,10602
194,27166
195,30463
196,680
197,18212
198,27756
199,10520
200,7910
201,11418
202,6469
203,30495
204,31148
205,8087
206,5932
207,29610
208,3123
209,29256
210,30677
211,8318
212,32036
213,5540
214,28836
215,6762
216,24101
217,30630
218,6106
219,31976
220,7351
221,26844
222,14285
223,6567
224,17611
225,7819
226,4115
227,18545
228,26144
229,12823
230,6663
231,5068
232,7287
233,33636
234,9489
235,6108
236,5765
237,5758
238,15859
239,29008
240,12579
241,28373
242,17360
243,15144
244,18430
245,15040
246,464
247,16067
248,18175
249,11475
250,28236
251,9600
252,24217
253,26465
254,25940
255,26380
256,25534
257,11148
258,19303
259,12008
260,34134
261,12982
262,18207
263,21241
264,7208
265,13500
266,27774
267,11082
268,1304
269,19407
270,20701
271,13455
272,24704
273,10786
274,13005
275,11557
276,4556
277,20409
278,593
279,12357
280,10122
281,28008
282,31023
283,9900
284,8387
285,13946
286,11269
287,11753
288,14505
289,28908
290,10428
291,20942
292,11150
293,151
294,444
295,20515
296,27651
297,27677
298,13242
299,14493
300,1
301,15948
302,27441
303,11993
304,32022
305,8651
306,797
307,22380
308,27968
309,4120
310,11657
311,29505
312,28066
313,15533
314,232
315,2318
316,15908
317,7518
318,17199
319,13447
320,30640
321,16142
322,6909
323,14737
324,14099
325,7057
326,11134
327,26469
328,11206
329,30655
330,13918
331,30752
332,25496
333,29769
334,29620
335,30552
336,16287
337,9033
338,8328
339,8469
340,8525
341,32776
342,10057
343,8415
344,8952
345,583
346,31424
347,10452
348,25715
349,32032
350,9001
351,12350
352,12865
353,26237
354,10573
355,32627
356,12920
357,18460
358,12371
359,10126
360,11958
361,13237
362,11020
363,10568
364,1085
365,14209
366,15647
367,34235
368,7567
369,13034
370,10256
371,11540
372,25544
373,33124
374,16780
375,9778
376,26155
377,33266
378,8805
379,21742
380,9215
381,4082
382,21199
383,8898
384,12939
385,9948
386,21629
387,30729
388,9824
389,4404
390,8437
391,15674
392,9386
393,11155
394,7977
395,31310
396,15499
397,20602
398,29013
399,6859
400,8656
401,8614
402,32931
403,7971
404,7602
405,15475
406,13792
407,13935
408,9753
409,26720
410,15110
411,10737
412,25323
413,9284
414,7943
415,15713
416,14339
417,14596
418,25405
419,9460
420,17114
421,13967
422,7689
423,14443
424,16024
425,13900
426,23195
427,14898
428,9634
429,9578
430,24381
431,15923
432,29712
433,14032
434,1984
435,22366
436,10034
437,8734
438,15658
439,31881
440,9974
441,31722
442,5708
443,4962
444,29571
445,21548
446,30260
447,8643
448,22303
449,17154
450,15173
451,18118
452,26815
453,12650
454,8826
455,17426
456,29793
457,15244
458,11187
459,31773
460,33375
461,25061
462,30175
463,15027
464,32104
465,2457
466,9313
467,15866
468,18654
469,32002
470,15772
471,7735
472,31695
473,31396
474,3231
475,13802
476,3916
477,26106
478,11042
479,9210
480,7024
481,10626
482,25065
483,33328
484,24179
485,2469
486,30224
487,30270
488,10497
489,14821
490,31107
491,30897
492,30877
493,27784
494,31319
495,26677
496,10938
497,17344
498,29170
499,19504
500,29543
501,16945
502,22962
503,26762
504,26626
505,4800
506,3766
507,25809
508,29182
509,29889
510,30515
511,10868
512,12964
513,27926
514,7431
515,16306
516,25202
517,945
518,9174
519,10171
520,19805
521,10290
522,1965
523,8357
524,17412
525,16815
526,9012
527,6087
528,10719
529,26990
530,31838
531,17558
532,12703
533,7918
534,26001
535,19071
536,17515
537,27379
538,21352
539,20858
540,10587
541,29998
542,17917
543,34775
544,7471
545,981
546,7324
547,10728
548,1934
549,11004
550,31035
551,26076
552,7986
553,19291
554,22499
555,25551
556,19813
557,26835
558,25775
559,15239
560,8670
561,26088
562,2417
563,32108
564,627
565,32203
566,29074
567,2781
568,10014
569,7074
570,15230
571,2081
572,25149
573,21804
574,4480
575,22289
576,25165
577,6826
578,14140
579,30960
580,30282
581,25784
582,2672
583,32314
584,24839
585,18038
586,5450
587,19861
588,25447
589,6161
590,706
591,7880
592,2847
593,28446
594,32187
595,25657
596,2881
597,3112
598,24993
599,3047
600,32289
601,30200
602,22658
603,19989
604,30432
605,12478
606,27453
607,27008
608,3893
609,27988
610,15327
611,25365
612,30704
613,30818
614,10187
615,25669
616,26091
617,8832
618,7104
619,28845
620,17577
621,32218
622,16985
623,25442
624,6015
625,8984
626,26290
627,14959
628,6680
629,9528
630,30144
631,7293
632,5444
633,4248
634,29765
635,28538
