step,node
1,35635
2,7602
3,9833
4,29396
5,9200
6,5216
7,7208
8,7287
9,8603
10,8730
11,8952
12,12807
13,16496
14,17675
15,19346
16,706
17,797
18,1076
19,1273
20,1479
21,2252
22,4143
23,6567
24,7567
25,7756
26,7769
27,8404
28,9151
29,9225
30,9456
31,9529
32,9634
33,10008
34,10413
35,11475
36,11981
37,12189
38,12350
39,13476
40,13679
41,13711
42,15548
43,16287
44,17577
45,18021
46,18027
47,18460
48,18517
49,18654
50,19495
51,20064
52,20602
53,21199
54,21468
55,21564
56,21680
57,22198
58,22739
59,22901
60,23289
61,24941
62,27275
63,30515
64,45
65,128
66,361
67,444
68,488
69,527
70,569
71,583
72,646
73,649
74,656
75,748
76,884
77,894
78,963
79,970
80,977
81,981
82,1054
83,1085
84,1124
85,1160
86,1164
87,1266
88,1280
89,1334
90,1337
91,1437
92,1465
93,1546
94,1590
95,1622
96,1630
97,1652
98,1713
99,1768
100,1794
101,1840
102,1844
103,1866
104,1934
105,1965
106,1994
107,2007
108,2061
109,2110
110,2131
111,2168
112,2175
113,2255
114,2258
115,2264
116,2321
117,2387
118,2457
119,2461
120,2492
121,2498
122,2571
123,2641
124,2649
125,2677
126,2686
127,2696
128,2702
129,2724
130,2731
131,2760
132,2781
133,2795
134,2815
135,2846
136,2858
137,2877
138,2915
139,2973
140,3123
141,3154
142,3231
143,3285
144,3421
145,3450
146,3496
147,3523
148,3543
149,3586
150,3723
151,3745
152,3916
153,3925
154,3972
155,3990
156,4062
157,4092
158,4106
159,4115
160,4120
161,4221
162,4252
163,4275
164,4298
165,4338
166,4409
167,4447
168,4485
169,4504
170,4528
171,4576
172,4579
173,4596
174,4602
175,4636
176,4650
177,4708
178,4719
179,4732
180,4735
181,4759
182,4936
183,4940
184,5011
185,5086
186,5097
187,5165
188,5174
189,5300
190,5320
191,5430
192,5460
193,5484
194,5508
195,5516
196,5540
197,5602
198,5646
199,5655
200,5688
201,5696
202,5758
203,5778
204,5861
205,5893
206,5965
207,5981
208,5988
209,5993
210,6038
211,6064
212,6123
213,6202
214,6207
215,6224
216,6228
217,6255
218,6294
219,6302
220,6372
221,6381
222,6390
223,6469
224,6494
225,6500
226,6519
227,6524
228,6547
229,6555
230,6578
231,6614
232,6626
233,6668
234,6699
235,6733
236,6758
237,6762
238,6765
239,6772
240,6774
241,6791
242,6813
243,6850
244,6890
245,6904
246,6911
247,6915
248,6920
249,6989
250,7028
251,7048
252,7057
253,7070
254,7074
255,7078
256,7088
257,7143
258,7177
259,7196
260,7219
261,7236
262,7243
263,7257
264,7279
265,7284
266,7324
267,7333
268,7361
269,7414
270,7462
271,7512
272,7518
273,7582
274,7591
275,7620
276,7659
277,7671
278,7703
279,7712
280,7747
281,7773
282,7803
283,7836
284,7852
285,7867
286,7880
287,7883
288,7906
289,7925
290,7940
291,7986
292,7990
293,7999
294,8010
295,8088
296,8109
297,8119
298,8141
299,8160
300,8174
301,8225
302,8262
303,8307
304,8321
305,8335
306,8352
307,8369
308,8374
309,8391
310,8421
311,8452
312,8623
313,8647
314,8656
315,8659
316,8699
317,8721
318,8768
319,8769
320,8774
321,8792
322,8805
323,8826
324,8835
325,8844
326,8856
327,8865
328,8876
329,8896
330,8898
331,8905
332,8923
333,8984
334,8988
335,8998
336,9033
337,9058
338,9084
339,9196
340,9215
341,9284
342,9313
343,9357
344,9365
345,9431
346,9434
347,9451
348,9460
349,9470
350,9481
351,9515
352,9534
353,9538
354,9548
355,9607
356,9613
357,9619
358,9624
359,9648
360,9678
361,9696
362,9714
363,9722
364,9746
365,9787
366,9824
367,9887
368,9893
369,9904
370,10000
371,10024
372,10028
373,10047
374,10057
375,10095
376,10110
377,10114
378,10147
379,10149
380,10162
381,10187
382,10225
383,10267
384,10280
385,10290
386,10319
387,10357
388,10417
389,10446
390,10462
391,10493
392,10546
393,10554
394,10583
395,10713
396,10741
397,10763
398,10774
399,10780
400,10803
401,10830
402,10872
403,10918
404,10944
405,10970
406,10986
407,11027
408,11032
409,11075
410,11094
411,11155
412,11171
413,11187
414,11278
415,11294
416,11323
417,11344
418,11348
419,11372
420,11418
421,11501
422,11523
423,11540
424,11570
425,11574
426,11580
427,11613
428,11657
429,11683
430,11744
431,11892
432,11894
433,12008
434,12011
435,12029
436,12045
437,12291
438,12310
439,12362
440,12433
441,12435
442,12478
443,12495
444,12579
445,12641
446,12643
447,12650
448,12659
449,12674
450,12694
451,12774
452,12803
453,12871
454,12903
455,12920
456,12940
457,12951
458,12989
459,13014
460,13020
461,13068
462,13074
463,13103
464,13144
465,13165
466,13172
467,13199
468,13225
469,13229
470,13242
471,13274
472,13281
473,13322
474,13352
475,13365
476,13401
477,13412
478,13444
479,13506
480,13510
481,13545
482,13577
483,13640
484,13658
485,13781
486,13793
487,13836
488,13853
489,13923
490,13934
491,13955
492,13994
493,14036
494,14061
495,14091
496,14099
497,14121
498,14171
499,14203
500,14339
501,14349
502,14418
503,14421
504,14464
505,14501
506,14510
507,14531
508,14583
509,14609
510,14628
511,14640
512,14643
513,14657
514,14737
515,14765
516,14781
517,14829
518,14834
519,14851
520,14898
521,14908
522,14931
523,14959
524,14992
525,15027
526,15040
527,15097
528,15139
529,15148
530,15156
531,15196
532,15235
533,15247
534,15291
535,15317
536,15455
537,15516
538,15517
539,15624
540,15651
541,15663
542,15674
543,15789
544,15806
545,15866
546,15923
547,15984
548,16064
549,16067
550,16174
551,16179
552,16260
553,16349
554,16395
555,16404
556,16417
557,16422
558,16431
559,16446
560,16528
561,16535
562,16587
563,16668
564,16690
565,16766
566,16793
567,16803
568,16848
569,16867
570,16876
571,17006
572,17058
573,17092
574,17104
575,17118
576,17146
577,17160
578,17199
579,17218
580,17279
581,17326
582,17347
583,17360
584,17377
585,17397
586,17431
587,17504
588,17519
589,17524
590,17533
591,17650
592,17659
593,17693
594,17726
595,17732
596,17751
597,17761
598,17780
599,17835
600,17866
601,17882
602,17914
603,17947
604,17966
605,17979
606,18042
607,18065
608,18070
609,18110
610,18118
611,18157
612,18207
613,18224
614,18268
615,18327
616,18354
617,18371
618,18392
619,18421
620,18430
621,18455
622,18465
623,18469
624,18507
625,18614
626,18617
627,18622
628,18678
629,18691
630,18702
631,18714
632,18726
633,18755
634,18764
635,18777
636,18786
637,18817
638,18844
639,18847
640,18851
641,18870
642,18885
643,18922
644,18970
645,18995
646,19009
647,19014
648,19040
649,19106
650,19156
651,19161
652,19164
653,19182
654,19198
655,19228
656,19250
657,19277
658,19327
659,19387
660,19390
661,19413
662,19428
663,19441
664,19504
665,19529
666,19553
667,19614
668,19628
669,19636
670,19659
671,19672
672,19697
673,19730
674,19798
675,19805
676,19821
677,19826
678,19898
679,19930
680,19962
681,20000
682,20005
683,20090
684,20102
685,20133
686,20141
687,20190
688,20250
689,20327
690,20335
691,20349
692,20363
693,20369
694,20385
695,20398
696,20416
697,20444
698,20473
699,20533
700,20546
701,20563
702,20567
703,20667
704,20675
705,20701
706,20705
707,20751
708,20756
709,20800
710,20821
711,20829
712,20837
713,20881
714,20929
715,21009
716,21031
717,21084
718,21116
719,21175
720,21352
721,21361
722,21386
723,21484
724,21495
725,21522
726,21604
727,21629
728,21671
729,21686
730,21763
731,21813
732,21823
733,21907
734,21928
735,21931
736,21972
737,22021
738,22026
739,22046
740,22056
741,22077
742,22106
743,22109
744,22128
745,22154
746,22203
747,22237
748,22289
749,22366
750,22399
751,22467
752,22489
753,22496
754,22513
755,22556
756,22562
757,22588
758,22606
759,22623
760,22676
761,22766
762,22767
763,22798
764,22950
765,22965
766,22979
767,23028
768,23094
769,23140
770,23159
771,23177
772,23199
773,23329
774,23369
775,23426
776,23479
777,23503
778,23511
779,23657
780,23668
781,23732
782,23787
783,23845
784,23894
785,23909
786,23963
787,24001
788,24027
789,24070
790,24101
791,24154
792,24224
793,24328
794,24332
795,24340
796,24371
797,24442
798,24546
799,24558
800,24565
801,24582
802,24612
803,24617
804,24679
805,24714
806,24742
807,24767
808,24827
809,24859
810,24880
811,24998
812,25073
813,25128
814,25151
815,25173
816,25189
817,25209
818,25216
819,25270
820,25287
821,25297
822,25355
823,25400
824,25404
825,25442
826,25447
827,25475
828,25529
829,25536
830,25540
831,25551
832,25574
833,25584
834,25631
835,25663
836,25669
837,25681
838,25794
839,25847
840,25940
841,25978
842,26027
843,26088
844,26108
845,26144
846,26155
847,26169
848,26218
849,26266
850,26307
851,26321
852,26455
853,26463
854,26469
855,26548
856,26607
857,26626
858,26637
859,26720
860,26742
861,26755
862,26758
863,26762
864,26815
865,26830
866,26922
867,26953
868,27008
869,27017
870,27054
871,27070
872,27117
873,27160
874,27169
875,27212
876,27263
877,27288
878,27327
879,27378
880,27391
881,27412
882,27453
883,27471
884,27483
885,27510
886,27522
887,27562
888,27578
889,27587
890,27651
891,27662
892,27738
893,27752
894,27794
895,27845
896,27891
897,27914
898,27968
899,27988
900,28004
901,28008
902,28031
903,28107
904,28124
905,28134
906,28159
907,28243
908,28257
909,28296
910,28339
911,28352
912,28360
913,28370
914,28396
915,28426
916,28431
917,28457
918,28494
919,28538
920,28550
921,28617
922,28633
923,28670
924,28683
925,28728
926,28732
927,28740
928,28755
929,28810
930,28821
931,28832
932,28840
933,28845
934,28875
935,28880
936,28890
937,28893
938,28919
939,28933
940,28944
941,28972
942,28996
943,29038
944,29040
945,29153
946,29173
947,29211
948,29238
949,29276
950,29322
951,29332
952,29335
953,29340
954,29362
955,29443
956,29447
957,29453
958,29486
959,29540
960,29543
961,29555
962,29568
963,29587
964,29613
965,29620
966,29680
967,29685
968,29690
969,29708
970,29739
971,29745
972,29748
973,29810
974,29861
975,29883
976,29910
977,29955
978,29974
979,30036
980,30082
981,30105
982,30130
983,30144
984,30146
985,30186
986,30193
987,30216
988,30220
989,30282
990,30296
991,30314
992,30420
993,30431
994,30452
995,30473
996,30492
997,30547
998,30615
999,30655
1000,30713
1001,30745
1002,30783
1003,30833
1004,30859
1005,30904
1006,30930
1007,30960
1008,31035
1009,31066
1010,31088
1011,31128
1012,31136
1013,31137
1014,31164
1015,31193
1016,31230
1017,31249
1018,31264
