step,node
0,6524
1,9200
2,35635
3,7602
4,9833
5,14099
6,25775
7,8730
8,27926
9,7994
10,33324
11,27243
12,28776
13,21484
14,2131
15,24679
16,9607
17,7287
18,390
19,34366
20,11930
21,16822
22,16803
23,2175
24,4596
25,5439
26,17675
27,361
28,25036
29,16496
30,7208
31,26083
32,27994
33,12807
34,31523
35,27609
36,18304
37,1337
38,12017
39,26155
40,25297
41,28248
42,22467
43,19529
44,29646
45,29551
46,23894
47,25663
48,21671
49,27978
50,8603
51,2255
52,19346
53,3536
54,5216
55,23787
56,6064
57,7925
58,15110
59,29110
60,19857
61,17154
62,21352
63,6207
64,24236
65,26362
66,24895
67,27378
68,24582
69,25404
70,10560
71,3925
72,25151
73,30689
74,15548
75,27587
76,33266
77,3285
78,27453
79,29170
80,22056
81,1644
82,13836
83,21867
84,17175
85,20064
86,19161
87,20317
88,3198
89,13679
90,9456
91,18642
92,30236
93,18517
94,18460
95,18027
96,24256
97,5514
98,29211
99,24101
100,24950
101,31838
102,25669
103,25189
104,27327
105,29074
106,27275
107,19413
108,25454
109,2982
110,27054
111,20473
112,12505
113,33329
114,23732
115,24001
116,24742
117,23479
118,29348
119,23369
120,23433
121,23845
122,8421
123,19277
124,24335
125,23692
126,5893
127,12478
128,9696
129,12920
130,32920
131,30652
132,32374
133,33057
134,15175
135,33766
136,31771
137,5861
138,31694
139,28378
140,28391
141,33636
142,6567
143,10728
144,8109
145,5696
146,11475
147,5981
148,10413
149,22693
150,18553
151,7756
152,20090
153,18889
154,16837
155,3496
156,4650
157,11027
158,2469
159,7110
160,6224
161,4837
162,21468
163,21680
164,16535
165,16404
166,20447
167,16672
168,20656
169,18817
170,20532
171,18021
172,27117
173,23177
174,21686
175,20105
176,22109
177,26893
178,29008
179,29332
180,31264
181,30311
182,31953
183,31464
184,11591
185,10293
186,8352
187,706
188,10122
189,10399
190,1076
191,7735
192,6813
193,7243
194,7478
195,11950
196,29063
197,22513
198,21564
199,22979
200,22679
201,14266
202,22366
203,33197
204,19495
205,21199
206,17360
207,23336
208,28182
209,27522
210,22739
211,22901
212,23289
213,20005
214,23426
215,32077
216,682
217,31841
218,26720
219,34106
220,15958
221,13322
222,26588
223,583
224,797
225,444
226,1437
227,17104
228,17058
229,977
230,12940
231,16614
232,9033
233,15774
234,21629
235,23868
236,13229
237,29224
238,15031
239,1479
