step,node
1,22573
2,18118
3,19908
4,21484
5,25469
6,17104
7,25263
8,25454
9,25202
10,25236
11,22109
12,22599
13,22513
14,24783
15,25189
16,25259
17,25355
18,22653
19,24615
20,24941
21,17175
22,17043
23,17707
24,20000
25,18207
26,19043
27,20128
28,22693
29,21148
30,21886
31,7152
32,7630
33,6441
34,3198
35,2262
36,2531
37,9696
38,11601
39,9494
40,10763
41,13679
42,33887
43,34020
44,34106
45,16037
46,15021
47,15859
48,31694
49,31364
50,14908
51,10596
52,11358
53,11958
54,12503
55,7451
56,9225
57,13014
58,12861
59,12920
60,12003
61,28633
62,28485
63,28735
64,28919
65,28817
66,28653
67,28665
68,29157
69,29038
70,30769
71,27183
72,6240
73,5960
74,5990
75,24001
76,23616
77,16586
78,15548
79,23284
80,17006
81,31264
82,31208
83,29008
84,28494
85,28100
86,27569
87,27441
88,27054
89,26845
90,30914
91,4464
92,3450
93,3729
94,4747
95,31789
96,31976
97,31953
98,32282
99,31863
100,5165
101,6853
102,6224
103,6398
104,6058
105,6578
106,5749
107,5282
108,7202
109,4113
110,9399
111,21555
112,14449
113,15501
114,15113
115,14099
116,14681
117,14867
118,17514
119,17166
120,15979
121,21219
122,21296
123,21152
124,32875
125,33364
126,33324
127,32892
128,33050
129,33222
130,1630
131,22722
132,22798
133,22962
134,23013
135,23123
136,23587
137,24335
138,21468
139,25978
140,24391
141,26359
142,26465
143,26505
144,26518
145,26225
146,26160
147,26042
148,25815
149,25894
150,25750
151,2321
152,1085
153,1711
154,23592
155,23177
156,5945
157,6859
158,2203
159,9052
160,2233
161,21560
162,21551
163,21639
164,21999
165,22215
166,22522
167,22521
168,22410
169,22263
170,22716
171,26380
172,23743
173,20942
174,21961
175,25974
176,21688
177,22533
178,21119
179,22407
180,20447
181,2258
182,7712
183,1729
184,1896
185,1942
186,9200
187,1465
188,7257
189,11864
190,6121
191,894
192,823
193,611
194,531
195,444
196,13719
197,13859
198,13988
199,7110
200,680
201,2909
202,11948
203,9774
204,28915
205,3211
206,28182
207,2813
208,28350
209,6010
210,3570
211,5886
212,6220
213,6428
214,6383
215,6813
216,5558
217,5330
218,7607
219,28617
220,6424
221,34134
222,14671
223,13888
224,13272
225,14876
226,14587
227,32931
228,33113
229,13165
230,32826
231,16560
232,31422
233,31104
234,30672
235,30598
236,29256
237,16837
238,16766
239,16768
240,30338
241,32054
242,31793
243,31817
244,23289
245,32077
246,32203
247,32111
248,29883
249,32437
250,32522
251,27689
252,29193
253,29013
254,27774
255,27944
256,28624
257,28688
258,28836
259,29610
