step,node
1,390
2,6524
3,7994
4,11930
5,13741
6,16822
7,23542
8,23769
9,25036
10,25775
11,26083
12,27235
13,27268
14,27994
15,28067
16,28248
17,28776
18,29110
19,31536
20,33324
21,361
22,1337
23,1644
24,2007
25,2131
26,2175
27,2255
28,2973
29,3285
30,3536
31,3450
32,3925
33,4252
34,4596
35,4759
36,5439
37,5893
38,6064
39,5778
40,6207
41,6668
42,7925
43,9607
44,10315
45,12017
46,13144
47,13242
48,13836
49,14099
50,14583
51,14711
52,15110
53,15789
54,16885
55,17154
56,18304
57,18642
58,19277
59,19413
60,19529
61,19798
62,19851
63,20363
64,20473
65,21352
66,21671
67,21763
68,21837
69,21879
70,22056
71,23479
72,23517
73,23787
74,23894
75,23963
76,23972
77,24236
78,24256
79,24827
80,24863
81,24895
82,24582
83,25151
84,25297
85,25404
86,25663
87,25669
88,26155
89,26362
90,27263
91,27327
92,27378
93,27453
94,27609
95,27587
96,27926
97,27978
98,28243
99,28810
100,28867
101,29063
102,29170
103,29211
104,29348
105,29646
106,30236
107,30652
108,30689
109,31523
110,31838
111,32374
112,33062
113,33266
114,33329
115,3
116,12
117,15
118,57
119,104
120,79
121,164
122,181
123,187
124,193
125,195
126,227
127,256
128,309
129,315
130,452
131,738
132,758
133,831
134,1101
135,1679
136,1929
137,1969
138,2025
139,2030
140,2046
141,2156
142,2161
143,2335
144,2465
145,2609
146,2332
147,2944
148,2947
149,2968
150,3055
151,3108
152,3235
153,3244
154,3247
155,3255
156,3315
157,3342
158,3400
159,3500
160,4650
161,3832
162,3496
163,4409
164,2881
165,3870
166,4082
167,4090
168,4255
169,4717
170,4754
171,4986
172,5250
173,5355
174,5360
175,5086
176,5330
177,5381
178,5602
179,5450
180,5514
181,5524
182,5663
183,5680
184,5875
185,5886
186,6020
187,6067
188,6268
189,6291
190,6377
191,6476
192,6530
193,6955
194,6994
195,7217
196,7490
197,7505
198,8054
199,8220
200,8584
201,10399
202,10433
203,10543
204,10560
205,10728
206,10832
207,10947
208,11242
209,11282
210,11561
211,11823
212,12006
213,12381
214,12415
215,12442
216,12591
217,12880
218,13001
219,13231
220,13568
221,13772
222,13973
223,14285
224,14309
225,14325
226,14416
227,14451
228,14734
229,15175
230,15672
231,15744
232,15850
233,16019
234,16033
235,16062
236,16110
237,16315
238,16415
239,16453
240,16558
241,16611
242,16736
243,16878
244,17072
245,16884
246,17003
247,17210
248,17243
249,17423
250,17817
251,18925
252,19263
253,19269
254,19291
255,19839
256,19857
257,19957
258,20027
259,20314
260,20683
261,21052
262,21097
263,21427
264,21442
265,21659
266,21915
267,22284
268,22293
269,22465
270,22529
271,22673
272,22753
273,22889
274,23163
275,23484
276,23609
277,23665
278,23672
279,23680
280,23718
281,23837
282,23844
283,23850
284,23874
285,23913
286,23921
287,23947
288,23992
289,24061
290,24085
291,24124
292,24150
293,24537
294,24571
295,24594
296,24668
297,24788
298,24792
299,24930
300,25017
301,25065
302,25124
303,25181
304,25393
305,25614
306,25629
307,25685
308,25803
309,25952
310,26099
311,26355
312,26551
313,26574
314,26210
315,26593
316,26873
317,27153
318,27203
319,27217
320,27351
321,27641
322,27719
323,27811
324,27832
325,27866
326,27959
327,27962
328,28035
329,28106
330,28141
331,28173
332,28195
333,28600
334,28761
335,28784
336,29127
337,29754
338,30123
339,30478
340,30695
341,30910
342,30952
343,31031
344,31049
345,32380
346,32508
347,32625
348,32701
349,32884
350,32914
351,32920
352,32934
353,32939
354,33050
355,33057
356,33076
357,33105
358,33328
359,33361
360,33371
361,33392
362,33408
363,34002
364,34167
365,34184
366,34517
367,34786
368,706
369,802
370,1076
371,10413
372,566
373,748
374,884
375,926
376,1160
377,963
378,977
379,611
380,813
381,583
382,1590
383,1548
384,1544
385,1622
386,1713
387,1823
388,1866
389,1934
390,866
391,981
392,1965
393,1754
394,1956
395,1899
396,1994
397,1844
398,2061
399,2110
400,2283
401,2219
402,2457
403,2702
404,2781
405,3123
406,3990
407,4062
408,4106
409,4120
410,4275
411,4298
412,4536
413,4528
414,4579
415,4584
416,4380
417,4638
418,4735
419,4830
420,4755
421,5126
422,4940
423,5011
424,5367
425,5055
426,5165
427,5508
428,5981
429,6228
430,6314
431,6555
432,6626
433,6567
434,6783
435,6881
436,6989
437,7773
438,7910
439,7940
440,8109
441,8369
442,8437
443,8730
444,8952
445,8792
446,9448
447,9501
448,9887
449,10122
450,10162
451,10090
452,10334
453,10357
454,10602
455,11027
456,11289
457,11294
458,12154
459,12291
460,6930
461,9064
462,12435
463,12468
464,12674
465,12803
466,12871
467,12865
468,12920
469,13225
470,13274
471,13510
472,13577
473,13793
474,13925
475,13853
476,14036
477,14510
478,14565
479,12964
480,14857
481,14628
482,14781
483,14834
484,14898
485,14985
486,14829
487,15139
488,15187
489,15222
490,15247
491,15252
492,15459
493,15866
494,15891
495,16064
496,16086
497,16067
498,16174
499,16260
500,16296
501,16240
502,16417
503,16535
504,16446
505,16528
506,16369
507,16867
508,17006
509,17279
510,17356
511,17431
512,17592
513,17693
514,17840
515,18027
516,17966
517,18157
518,18224
519,18460
520,18434
521,18247
522,17547
523,17732
524,18268
525,18354
526,18469
527,18600
528,18817
529,19014
530,19048
531,18702
532,18745
533,19161
534,19441
535,19756
536,19805
537,19565
538,19643
539,19908
540,19922
541,20005
542,20102
543,20163
544,20270
545,20275
546,20304
547,20369
548,20211
549,20533
550,20631
551,20705
552,20751
553,20250
554,20837
555,20776
556,20580
557,20847
558,21365
559,21421
560,21068
561,21445
562,21540
563,21604
564,21928
565,21931
566,21961
567,22046
568,22109
569,22289
570,22366
571,22513
572,22588
573,22606
574,22676
575,22908
576,22798
577,22950
578,23426
579,23657
580,23765
581,24101
582,24177
583,24001
584,24340
585,24447
586,24332
587,24114
588,24328
589,24371
590,24388
591,24546
592,24558
593,24565
594,24617
595,23592
596,24184
597,24714
598,24685
599,24742
600,25189
601,25209
602,25216
603,25447
604,25245
605,25492
606,25529
607,25536
608,25574
609,25631
610,25681
611,26108
612,26144
613,26169
614,26012
615,26455
616,26463
617,26990
618,27054
619,27028
620,27117
621,27169
622,26918
623,26967
624,27391
625,27522
626,27562
627,27614
628,27651
629,27662
630,27738
631,27891
632,28031
633,28079
634,28134
635,28083
636,28182
