step,node
1,9200
2,5216
3,7208
4,7287
5,7602
6,8603
7,8730
8,8952
9,12807
10,16496
11,17675
12,19346
13,35635
14,706
15,797
16,1076
17,1273
18,1479
19,2252
20,4143
21,6567
22,7567
23,7756
24,7769
25,8404
26,9151
27,9225
28,9456
29,9529
30,9634
31,9833
32,10008
33,10413
34,11475
35,11981
36,12189
37,12350
38,13476
39,13679
40,13711
41,15548
42,16287
43,17577
44,18021
45,18027
46,18460
47,18517
48,18654
49,19495
50,20064
51,20602
52,21199
53,21468
54,21564
55,21680
56,22198
57,22739
58,22901
59,23289
60,24941
61,27275
62,30515
63,45
64,128
65,361
66,390
67,444
68,488
69,527
70,569
71,583
72,646
73,649
74,656
75,748
76,884
77,894
78,963
79,970
80,977
81,981
82,1054
83,1085
84,1124
85,1160
86,1164
87,1266
88,1280
89,1334
90,1337
91,1437
92,1465
93,1546
94,1590
95,1622
96,1630
97,1652
98,1713
99,1768
100,1794
101,1840
102,1844
103,1866
104,1934
105,1965
106,1994
107,2007
108,2061
109,2110
110,2131
111,2168
112,2175
113,2255
114,2258
115,2264
116,2321
117,2387
118,2457
119,2461
120,2492
121,2498
122,2571
123,2641
124,2649
125,2677
126,2686
127,2696
128,2702
129,2724
130,2731
131,2760
132,2781
133,2795
134,2815
135,2846
136,2858
137,2877
138,2915
139,2973
140,3123
141,3154
142,3231
143,3285
144,3421
145,3450
146,3496
147,3523
148,3536
149,3543
150,3586
151,3723
152,3745
153,3916
154,3925
155,3972
156,3990
157,4062
158,4092
159,4106
160,4115
161,4120
162,4221
163,4252
164,4275
165,4298
166,4338
167,4409
168,4447
169,4485
170,4504
171,4528
172,4576
173,4579
174,4596
175,4602
176,4636
177,4650
178,4708
179,4719
180,4732
181,4735
182,4759
183,4936
184,4940
185,5011
186,5086
187,5097
188,5165
189,5174
190,5300
191,5320
192,5430
193,5460
194,5484
195,5508
196,5516
197,5540
198,5602
199,5646
200,5655
201,5688
202,5696
203,5758
204,5778
205,5861
206,5893
207,5965
208,5981
209,5988
210,5993
211,6038
212,6064
213,6123
214,6202
215,6207
216,6224
217,6228
218,6255
219,6294
220,6302
221,6372
222,6381
223,6390
224,6469
225,6494
226,6500
227,6519
228,6524
229,6547
230,6555
231,6578
232,6614
233,6626
234,6668
235,6699
236,6733
237,6758
238,6762
239,6765
240,6772
241,6774
242,6791
243,6813
244,6850
245,6890
246,6904
247,6911
248,6915
249,6920
250,6989
251,7028
252,7048
253,7057
254,7070
255,7074
256,7078
257,7088
258,7143
259,7177
260,7196
261,7219
262,7236
263,7243
264,7257
265,7279
266,7284
267,7324
268,7333
269,7361
270,7414
271,7462
272,7512
273,7518
274,7582
275,7591
276,7620
277,7659
278,7671
279,7703
280,7712
281,7747
282,7773
283,7803
284,7836
285,7852
286,7867
287,7880
288,7883
289,7906
290,7925
291,7940
292,7986
293,7990
294,7994
295,7999
296,8010
297,8088
298,8109
299,8119
300,8141
301,8160
302,8174
303,8225
304,8262
305,8307
306,8321
307,8335
308,8352
309,8369
310,8374
311,8391
312,8421
313,8452
314,8623
315,8647
316,8656
317,8659
318,8699
319,8721
320,8768
321,8769
322,8774
323,8792
324,8805
325,8826
326,8835
327,8844
328,8856
329,8865
330,8876
331,8896
332,8898
333,8905
334,8923
335,8984
336,8988
337,8998
338,9033
339,9058
340,9084
341,9196
342,9215
343,9284
344,9313
345,9357
346,9365
347,9431
348,9434
349,9451
350,9460
351,9470
352,9481
353,9515
354,9534
355,9538
356,9548
357,9607
358,9613
359,9619
360,9624
361,9648
362,9678
363,9696
364,9714
365,9722
366,9746
367,9787
368,9824
369,9887
370,9893
371,9904
372,10000
373,10024
374,10028
375,10047
376,10057
377,10095
378,10110
379,10114
380,10147
381,10149
382,10162
383,10187
384,10225
385,10267
386,10280
387,10290
388,10319
389,10357
390,10417
391,10446
392,10462
393,10493
394,10546
395,10554
396,10583
397,10713
398,10741
399,10763
400,10774
401,10780
402,10803
403,10830
404,10872
405,10918
406,10944
407,10970
408,10986
409,11027
410,11032
411,11075
412,11094
413,11155
414,11171
415,11187
416,11278
417,11294
418,11323
419,11344
420,11348
421,11372
422,11418
423,11501
424,11523
425,11540
426,11570
427,11574
428,11580
429,11613
430,11657
431,11683
432,11744
433,11892
434,11894
435,12008
436,12011
437,12029
438,12045
439,12291
440,12310
441,12362
442,12433
443,12435
444,12478
445,12495
446,12579
447,12641
448,12643
449,12650
450,12659
451,12674
452,12694
453,12774
454,12803
455,12871
456,12903
457,12920
458,12940
459,12951
460,12989
461,13014
462,13020
463,13068
464,13074
465,13103
466,13144
467,13165
468,13172
469,13199
470,13225
471,13229
472,13242
473,13274
474,13281
475,13322
476,13352
477,13365
478,13401
479,13412
480,13444
481,13506
482,13510
483,13545
484,13577
485,13640
486,13658
487,13741
488,13781
489,13793
490,13836
491,13853
492,13923
493,13934
494,13955
495,13994
496,14036
497,14061
498,14091
499,14099
500,14121
501,14171
502,14203
503,14339
504,14349
505,14418
506,14421
507,14464
508,14501
509,14510
510,14531
511,14583
512,14609
513,14628
514,14640
515,14643
516,14657
517,14711
518,14737
519,14765
520,14781
521,14829
522,14834
523,14851
524,14898
525,14908
526,14931
527,14959
528,14992
529,15027
530,15040
531,15097
532,15139
533,15148
534,15156
535,15196
536,15235
537,15247
538,15291
539,15317
540,15455
541,15516
542,15517
543,15624
544,15651
545,15663
546,15674
547,15789
548,15806
549,15866
550,15923
551,15984
552,16064
553,16067
554,16174
555,16179
556,16260
557,16349
558,16395
559,16404
560,16417
561,16422
562,16431
563,16446
564,16528
565,16535
566,16587
567,16668
568,16690
569,16766
570,16793
571,16803
572,16815
573,16848
574,16867
575,16876
576,17006
577,17058
578,17092
579,17104
580,17118
581,17146
582,17160
583,17199
584,17218
585,17279
586,17326
587,17347
588,17360
589,17377
590,17397
591,17431
592,17504
593,17519
594,17524
595,17533
596,17650
597,17659
598,17693
599,17726
600,17732
601,17751
602,17761
603,17780
604,17835
605,17866
606,17882
607,17914
608,17947
609,17966
610,17979
611,18042
612,18065
613,18070
614,18110
615,18118
616,18157
617,18207
618,18224
619,18268
620,18327
621,18354
622,18371
623,18392
624,18421
625,18430
626,18455
627,18465
628,18469
629,18507
630,18614
631,18617
632,18622
633,18678
634,18691
635,18702
636,18714
637,18726
638,18755
639,18764
640,18777
641,18786
642,18817
643,18844
644,18847
645,18851
646,18870
647,18885
648,18922
649,18970
650,18995
651,19009
652,19014
653,19040
654,19106
655,19156
656,19161
657,19164
658,19182
659,19198
660,19228
661,19250
662,19277
663,19327
664,19387
665,19390
666,19413
667,19428
668,19441
669,19504
670,19529
671,19553
672,19614
673,19628
674,19636
675,19659
676,19672
677,19697
678,19730
679,19798
680,19805
681,19821
682,19826
683,19857
684,19898
685,19930
686,19962
687,20000
688,20005
689,20090
690,20102
691,20133
692,20141
693,20190
694,20250
695,20327
696,20335
697,20349
698,20363
699,20369
700,20385
701,20398
702,20416
703,20444
704,20473
705,20533
706,20546
707,20563
708,20567
709,20667
710,20675
711,20701
712,20705
713,20751
714,20756
715,20800
716,20821
717,20829
718,20837
719,20881
720,20929
721,21009
722,21031
723,21084
724,21116
725,21175
726,21352
727,21361
728,21386
