step,node
1,26333
2,4439
3,974
4,30358
5,12464
6,11183
7,9942
8,6021
9,30633
10,4313
11,28722
12,31381
13,23802
14,3729
15,25592
16,19271
17,1387
18,1308
19,4626
20,10737
21,11759
22,23130
23,26498
24,1060
25,25255
26,9520
27,30946
28,28286
29,35660
30,24585
31,20374
32,11336
33,21502
34,26235
35,13991
36,228
37,33108
38,7707
39,30499
40,34576
41,16703
42,14929
43,7518
44,11319
45,35435
46,16814
47,4850
48,4602
49,19405
50,4978
51,18063
52,17473
53,27900
54,14449
55,2162
56,33080
57,23062
58,25462
59,6321
60,19359
61,3565
62,26131
63,15506
64,29200
65,28563
66,18657
67,27362
68,10307
69,32441
70,3268
71,2432
72,30446
73,12739
74,15719
75,3663
76,13209
77,5355
78,20224
79,15303
80,23195
81,29998
82,20357
83,8461
84,19885
85,19403
86,12184
87,31548
88,14837
89,33225
90,32216
91,30564
92,3316
93,29251
94,29976
95,9444
96,26307
97,13953
98,8730
99,24364
100,20720
101,16067
102,30803
103,33058
104,27759
105,13027
106,32955
107,18052
108,2690
109,13608
110,1724
111,18154
112,22128
113,15658
114,3261
115,13775
116,28261
117,18093
118,12948
119,32220
120,25926
121,22132
122,31926
123,24465
124,8094
125,15958
126,7852
127,14963
128,28930
129,27790
130,16034
131,29550
132,23710
133,29521
134,22785
135,21020
136,13552
137,7576
138,27231
139,26405
140,5390
141,2336
142,6249
143,9222
144,32330
145,10187
146,23940
147,30938
148,3095
149,22703
150,22654
151,31074
152,25916
153,28102
154,16319
155,29254
156,389
157,6560
158,28507
159,17199
160,33352
161,20809
162,6335
163,18609
164,24811
165,10502
166,25652
167,142
168,17023
169,27394
170,12221
171,27842
172,6264
173,33260
174,19302
175,27989
176,32746
177,13895
178,10802
179,22979
180,11554
181,29420
182,29118
183,92
184,32407
185,21105
186,27351
187,832
188,6800
189,22778
190,20283
191,16506
192,3041
193,16793
194,31489
195,4785
196,5270
197,28576
198,3831
199,29861
200,8768
201,9420
202,27508
203,30950
204,12486
205,18672
206,30067
207,26042
208,15240
209,30669
210,14680
211,21343
212,25022
213,23996
214,26607
215,30196
216,27041
217,8037
218,17711
219,16477
220,3794
221,22783
222,936
223,34775
224,32074
225,34411
226,16388
227,361
228,4454
229,3493
230,17212
231,4524
232,2038
233,23058
234,5096
235,30594
236,18174
237,20870
238,29325
239,16711
240,32437
241,11066
242,28972
243,18844
244,29034
245,26546
246,15173
247,6764
248,7224
249,27673
250,24494
251,27098
252,26696
253,29193
254,3266
255,7595
256,3990
257,26650
258,24057
259,9280
260,20035
261,16248
262,15975
263,32791
264,28558
265,12584
266,27479
267,15418
268,21689
269,29286
270,20263
271,5764
272,28433
273,8357
274,2956
275,33404
276,801
277,9104
278,19865
279,14515
280,27113
281,31069
282,30523
283,18186
284,26935
285,3952
286,14433
287,26617
288,151
289,26685
290,21724
291,29453
292,22530
293,28063
294,31145
295,14010
296,16536
297,23163
298,18572
299,4255
300,4784
301,23708
302,4053
303,3247
304,31278
305,32286
306,14397
307,4656
308,32562
309,6503
310,16643
311,5694
312,5792
313,20786
314,27874
315,12144
316,21594
317,2465
318,7349
319,29079
320,24506
321,22300
322,20040
323,24612
324,20733
325,22489
326,27794
327,13224
328,23918
329,30863
330,24669
331,6388
332,592
333,31033
334,10954
335,11601
336,19826
337,34320
338,22732
339,13610
340,26100
341,6064
342,21543
343,27006
344,23470
345,15247
346,30410
347,24434
348,536
349,24270
350,11734
351,13825
352,22805
353,12371
354,30849
355,4123
356,27235
357,23298
358,9206
359,14015
360,14404
361,24628
362,11705
363,27428
364,16956
365,12080
366,26428
367,25397
368,31369
369,13972
370,22642
371,22073
372,13603
373,31733
374,31677
375,30139
376,1929
377,3040
378,25646
379,20584
380,30023
381,14789
382,1777
383,244
384,17075
385,28717
386,6099
387,25771
388,14505
389,8992
390,27998
391,21016
392,23914
393,27279
394,20565
395,24783
396,326
397,5307
398,2641
399,33962
400,32054
401,27082
402,32380
403,7993
404,23990
405,1695
406,30588
407,18970
408,25033
409,24219
410,8429
411,21124
412,6292
413,1815
414,16859
415,19136
416,32858
417,29977
418,31708
419,1844
420,32803
421,19061
422,12993
423,27292
424,14524
425,27062
426,5101
427,18973
428,29724
429,24953
430,32667
431,32414
432,20746
433,26206
434,29170
435,9502
436,14151
437,32386
438,10429
439,30689
440,31198
441,11563
442,32892
443,21466
444,762
445,11765
446,29185
447,18225
448,30525
449,21713
450,31845
451,27719
452,32802
453,30598
454,31389
455,15097
456,16081
457,10204
458,31560
459,28544
460,5805
461,20714
462,33321
463,1726
464,32880
465,23413
466,14157
467,13405
468,31838
469,23224
470,19793
471,17607
472,32122
473,31722
474,14842
475,14310
476,807
477,28014
478,12879
479,22007
480,19246
481,16983
482,34780
483,2686
484,31186
485,16976
486,20181
487,27774
488,24927
489,22327
490,28832
491,33198
492,25676
493,19327
494,1147
495,6453
496,16391
497,12522
498,26577
499,16616
500,1908
501,5988
502,26967
503,23205
504,20362
505,30238
506,32144
507,18855
508,23430
509,27263
510,25331
511,7479
512,22215
513,26713
514,13162
515,16417
516,2098
517,30064
518,23608
519,98
520,25655
521,32990
522,26013
523,29776
524,30638
525,31731
526,31443
527,29192
528,13708
529,21738
530,23560
531,2987
532,29112
533,20494
534,28328
535,19459
536,29302
537,8328
538,30995
539,18474
540,25596
541,19451
542,29331
543,23230
544,20077
545,22967
546,30302
547,18327
548,26700
549,8594
550,13671
551,23626
552,29396
553,22545
554,29739
555,31908
556,12586
557,28265
558,27112
559,19002
560,23336
561,26672
562,10
563,19279
564,17942
565,14632
566,24052
567,33764
568,27730
569,28361
570,29658
571,20576
572,25092
573,24526
574,24579
575,30412
576,14957
577,26135
578,25551
579,32321
580,12681
581,30361
582,4940
583,18352
584,26251
585,30276
586,29424
587,28966
588,21579
589,5481
590,33018
591,16134
592,30760
593,20532
594,15684
595,14408
596,11381
597,909
598,2264
599,16912
600,25656
601,29053
602,3649
603,25236
604,24162
605,29800
606,28177
607,14344
608,32597
609,31980
610,23331
611,26861
612,23831
613,17056
614,11806
615,30859
616,31896
617,314
618,6962
619,24687
620,16010
621,13740
622,32097
623,26926
624,25684
625,2360
626,28159
627,17616
628,9313
629,25639
630,11061
631,25857
632,31540
633,27529
634,28284
635,29610
636,21883
637,25365
638,29702
639,33172
640,26878
641,24979
642,28097
643,25690
644,13225
645,26175
646,25822
647,18858
648,17589
649,31063
650,19987
651,27578
652,26557
653,30558
654,17528
655,20015
656,25616
657,4632
658,34655
659,34479
660,17174
661,20057
662,22853
663,22542
664,28380
665,4718
666,12186
667,12887
668,17412
669,24615
670,33361
671,13125
672,16513
673,2940
674,25416
675,25214
676,23029
677,28769
678,26726
679,25529
680,2931
681,16357
682,25669
683,25037
684,30914
685,718
686,29878
687,24767
688,27199
689,300
690,23733
691,22310
692,24855
693,25700
694,28870
695,29132
696,31313
697,17118
698,27582
699,17872
700,21185
701,26095
702,27469
703,1762
704,24903
705,23424
706,33309
707,34785
708,25426
709,14166
710,27123
711,11242
712,31879
713,29039
714,1665
715,25146
716,31790
717,30729
718,33254
719,1656
720,5893
721,32709
722,26284
723,12706
724,27127
725,15346
726,2665
727,21148
728,24973
729,23345
730,17419
731,26966
732,23344
733,23696
734,24967
735,21953
736,26138
737,20258
738,5834
739,27691
740,724
741,29944
742,2769
743,24282
