step,node
0,14103
1,3932
2,4705
3,16724
4,811
5,6248
6,20229
7,8381
8,8185
9,303
10,265
11,555
12,3505
13,15947
14,17076
15,986
16,9221
17,9680
18,11636
19,12599
20,13597
21,13566
22,13948
23,15236
24,18724
25,1934
26,4683
27,1705
28,10097
29,10152
30,9587
31,21238
32,15616
33,17317
34,19481
35,13918
36,19196
37,13143
38,19967
39,1990
40,19119
41,4239
42,13253
43,11907
44,5865
45,16477
46,11309
47,15444
48,16412
49,4986
50,20204
51,6592
52,1375
53,16843
54,4084
55,3664
56,15686
57,6194
58,19322
59,16239
60,2903
61,9501
62,5146
63,18516
64,7581
65,11523
66,14635
67,9802
68,8859
69,14878
70,3995
71,14667
72,9094
73,8585
74,5620
75,7081
76,17821
77,11168
78,15698
79,15533
80,19632
81,7338
82,7129
83,6174
84,3214
85,10292
86,2690
87,3889
88,16596
89,1102
90,6819
91,7801
92,13949
93,8135
94,11374
95,17967
96,21943
97,1336
98,1026
99,19823
100,28
101,178
102,5672
103,5733
104,5958
105,11000
106,19853
107,15472
108,11118
109,1151
110,9217
111,13922
112,5555
113,1871
114,7743
115,11403
116,14777
117,15682
118,7506
119,14597
120,18901
121,18710
122,9249
123,17795
124,14546
125,6640
126,5387
127,7925
128,11194
129,11700
130,10868
131,7979
132,8784
133,16866
134,15892
135,16046
136,9702
137,15272
138,8788
139,12719
140,13822
141,14228
142,18236
143,18627
144,7522
145,10847
146,10520
147,8657
148,7238
149,18908
150,16969
151,9326
152,19680
153,16773
154,14550
155,8694
156,14861
157,16379
158,18238
159,8243
160,8665
161,6161
162,10030
163,15769
164,4839
165,7499
166,4616
167,7035
168,8419
169,14793
170,5423
171,11772
172,12106
173,10963
174,9137
175,10557
176,11732
177,3765
178,8593
179,16719
180,6693
181,6536
182,2871
183,5138
184,2785
185,15107
186,5514
187,15677
188,1645
189,20872
190,17809
191,17466
192,13380
193,17496
194,14330
195,17441
196,17156
197,9083
198,842
199,4413
200,7223
201,1163
202,3308
203,2916
204,8645
205,16330
206,1602
207,16861
208,13727
209,14904
210,13031
211,13995
212,17977
213,13756
214,19812
215,7119
216,14881
217,7182
218,13775
219,14824
220,18297
221,8519
222,16360
223,2099
224,10968
225,13354
226,4464
227,10008
228,10066
229,10700
230,4519
231,13650
232,12732
233,12115
234,14239
235,4846
236,2120
237,5984
238,19435
239,5944
240,4634
241,7343
242,13191
243,21412
244,11539
245,4652
246,20516
247,10614
248,6713
249,19065
250,13623
251,16473
252,4138
253,18439
254,17564
255,11814
256,18739
257,6476
258,2474
259,5163
260,3408
261,11062
262,6784
263,4994
264,4539
265,10992
266,14513
267,17103
268,12318
269,13334
270,17869
271,9998
272,6053
273,14447
274,10738
275,8003
276,3248
277,10806
278,12762
279,12441
280,11398
281,11253
282,19316
283,6037
284,9460
285,15900
286,17682
287,18658
288,11080
289,822
290,15374
291,13322
292,14615
293,15485
294,1675
295,10662
296,912
297,9979
298,16090
299,9307
300,14740
301,6574
302,15391
303,7878
304,17347
305,18179
306,6137
307,17336
308,6582
309,12209
310,14418
311,15441
312,3590
313,2057
314,1636
315,2734
316,9976
317,9758
318,11906
319,5047
320,8478
321,17469
322,3350
323,13131
324,9559
325,7032
326,9147
327,15232
328,8869
329,15662
330,12166
331,3815
332,5185
333,4873
334,4111
335,19919
336,2705
337,16160
338,17382
339,10817
340,20493
341,7572
342,6656
343,14145
344,18062
345,2621
346,19699
347,593
348,19506
349,8313
350,17235
