step,node
1,18980
2,16477
3,21224
4,14103
5,14284
6,19712
7,1990
8,2836
9,2963
10,19297
11,4705
12,15472
13,17795
14,20516
15,549
16,822
17,4413
18,4519
19,5495
20,5865
21,6401
22,6826
23,7506
24,8593
25,9397
26,11118
27,11732
28,12115
29,12209
30,12276
31,12732
32,12808
33,14241
34,14597
35,15107
36,15662
37,15747
38,16978
39,17087
40,17103
41,17253
42,17347
43,17977
44,18901
45,19065
46,19399
47,19611
48,20476
49,28
50,39
51,123
52,162
53,168
54,181
55,220
56,265
57,298
58,311
59,314
60,347
61,435
62,497
63,563
64,611
65,628
66,631
67,645
68,672
69,679
70,705
71,715
72,724
73,764
74,772
75,796
76,834
77,842
78,883
79,904
80,912
81,928
82,976
83,995
84,1012
85,1018
86,1034
87,1045
88,1050
89,1076
90,1084
91,1102
92,1151
93,1163
94,1235
95,1250
96,1258
97,1314
98,1325
99,1354
100,1375
101,1464
102,1496
103,1557
104,1561
105,1582
106,1603
107,1609
108,1624
109,1639
110,1669
111,1705
112,1737
113,1743
114,1758
115,1858
116,1863
117,1909
118,1918
119,1940
120,1955
121,2015
122,2040
123,2086
124,2099
125,2148
126,2178
127,2275
128,2282
129,2296
130,2307
131,2312
132,2371
133,2376
134,2380
135,2415
136,2443
137,2474
138,2487
139,2495
140,2519
141,2554
142,2594
143,2603
144,2645
145,2652
146,2690
147,2710
148,2730
149,2766
150,2785
151,2837
152,2842
153,2861
154,2899
155,2903
156,2916
157,2966
158,3012
159,3018
160,3061
161,3085
162,3111
163,3124
164,3129
165,3158
166,3173
167,3198
168,3203
169,3225
170,3255
171,3287
172,3301
173,3327
174,3369
175,3383
176,3399
177,3435
178,3441
179,3448
180,3529
181,3581
182,3613
183,3619
184,3635
185,3646
186,3649
187,3690
188,3693
189,3699
190,3709
191,3765
192,3782
193,3790
194,3848
195,3856
196,3872
197,3889
198,3921
199,3932
200,3935
201,3942
202,3949
203,3995
204,4018
205,4026
206,4064
207,4084
208,4109
209,4138
210,4177
211,4186
212,4209
213,4214
214,4236
215,4255
216,4272
217,4311
218,4327
219,4342
220,4369
221,4388
222,4398
223,4425
224,4460
225,4478
226,4491
227,4569
228,4590
229,4596
230,4604
231,4754
232,4774
233,4783
234,4835
235,4839
236,4846
237,4871
238,4898
239,4915
240,4968
241,4979
242,4986
243,5002
244,5024
245,5032
246,5047
247,5063
248,5142
249,5149
250,5152
251,5159
252,5185
253,5205
254,5226
255,5240
256,5320
257,5329
258,5357
259,5366
260,5419
261,5430
262,5456
263,5484
264,5546
265,5596
266,5599
267,5620
268,5672
269,5676
270,5706
271,5722
272,5737
273,5755
274,5784
275,5807
276,5822
277,5837
278,5875
279,5900
280,5944
281,5958
282,5974
283,5984
284,6000
285,6002
286,6013
287,6023
288,6037
289,6043
290,6072
291,6132
292,6137
293,6174
294,6194
295,6209
296,6274
297,6281
298,6298
299,6377
300,6456
301,6464
302,6486
303,6520
304,6529
305,6547
306,6561
307,6592
308,6617
309,6626
310,6640
311,6647
312,6693
313,6713
314,6731
315,6736
316,6798
317,6819
318,6846
319,6849
320,6862
321,6865
322,6877
323,6903
324,6940
325,6962
326,6965
327,7035
328,7081
329,7086
330,7106
331,7119
332,7129
333,7170
334,7207
335,7223
336,7233
337,7238
338,7268
339,7291
340,7301
341,7315
342,7327
343,7348
344,7386
345,7392
346,7402
347,7410
348,7434
349,7476
350,7481
351,7491
352,7499
353,7522
354,7534
355,7572
356,7589
357,7628
358,7647
359,7660
360,7687
361,7751
362,7765
363,7793
364,7798
365,7813
366,7818
367,7955
368,7960
369,7979
370,8000
371,8003
372,8024
373,8046
374,8061
375,8074
376,8095
377,8122
378,8140
379,8147
380,8168
381,8243
382,8260
383,8342
384,8381
385,8403
386,8428
387,8432
388,8456
389,8478
390,8500
391,8519
392,8570
393,8585
394,8602
395,8618
396,8650
397,8665
398,8679
399,8712
400,8715
401,8733
402,8736
403,8748
404,8755
405,8768
406,8778
407,8829
408,8859
409,8864
410,8961
411,8968
412,8984
413,9010
414,9028
415,9046
416,9076
417,9080
418,9107
419,9140
420,9143
421,9147
422,9155
423,9201
424,9217
425,9226
426,9249
427,9297
428,9307
429,9312
430,9322
431,9343
432,9358
433,9394
434,9410
435,9440
436,9463
437,9478
438,9487
439,9491
440,9501
441,9533
442,9559
443,9566
444,9587
445,9598
446,9623
447,9633
448,9670
449,9674
450,9695
451,9706
452,9715
453,9721
454,9730
455,9758
456,9779
457,9793
458,9802
459,9844
460,9852
461,9856
462,9873
463,9882
464,9923
465,9979
466,9988
467,9998
468,10008
469,10034
470,10041
471,10056
472,10083
473,10105
474,10130
475,10143
476,10177
477,10184
478,10196
479,10226
480,10237
481,10269
482,10283
483,10290
484,10296
485,10321
486,10339
487,10346
488,10394
489,10409
490,10425
491,10428
492,10473
493,10493
