step,node
0,4705
1,19967
2,14103
3,16724
4,16477
5,3932
6,811
7,555
8,3505
9,15236
10,303
11,8185
12,15947
13,17076
14,986
15,6248
16,9221
17,9680
18,11636
19,7818
20,13566
21,13597
22,13948
23,18724
24,20229
25,17795
26,8381
27,1705
28,21224
29,15444
30,19481
31,11309
32,9587
33,9802
34,19196
35,16412
36,6592
37,15698
38,5620
39,20516
40,4986
41,11907
42,13918
43,20204
44,1375
45,1151
46,3664
47,13922
48,4084
49,11523
50,13371
51,14635
52,15472
53,6194
54,2903
55,19632
56,16843
57,19322
58,5146
59,15686
60,7581
61,13253
62,8859
63,17821
64,11168
65,19119
66,9094
67,8135
68,8585
69,5865
70,9217
71,14878
72,11118
73,14667
74,15533
75,3995
76,7081
77,10292
78,2690
79,7506
80,6174
81,7338
82,7129
83,4239
84,14597
85,16239
86,3214
87,3889
88,18516
89,8000
90,5555
91,8593
92,7939
93,7887
94,8519
95,8403
96,17087
97,13949
98,8500
99,12719
100,11374
101,14793
102,16997
103,15682
104,13822
105,14228
106,7801
107,17967
108,11772
109,8239
110,7546
111,14488
112,13473
113,16365
114,16773
115,18510
116,18297
117,18710
118,11732
119,18273
120,19680
121,10025
122,4839
123,12732
124,16046
125,16969
126,14546
127,16866
128,9076
129,7223
130,784
131,13727
132,18901
133,16719
134,9471
135,13031
136,15272
137,10992
138,11253
139,1645
140,5688
141,1102
142,842
143,4519
144,10963
145,3765
146,7530
147,18915
148,15107
149,7522
150,17347
151,2845
152,5320
153,14777
154,4569
155,10008
156,10700
157,19065
158,17635
159,9702
160,4413
161,16141
162,15677
163,13380
164,18783
165,12115
166,19184
167,18062
168,12718
169,13403
170,2099
171,13294
172,12494
173,2040
174,18617
175,7238
176,18853
177,12434
178,18842
179,15122
180,5423
181,14881
182,18200
183,17103
184,15920
185,14005
186,2178
187,12694
188,1655
189,9343
190,4616
191,5495
192,6826
193,1026
194,15714
195,3308
196,17336
197,5603
198,4425
199,10386
200,8243
201,5387
202,9127
203,20476
204,12862
205,7491
206,13775
207,1163
208,10868
209,6464
210,11700
211,4539
212,12500
213,15862
214,21412
215,14615
216,12189
217,16473
218,10675
219,628
220,6731
221,17477
222,4464
223,2916
224,10662
225,6802
226,17051
227,16861
228,16978
229,15011
230,20052
231,10060
232,2548
233,13622
234,11398
235,12299
236,7133
237,14241
238,9397
239,14386
240,6536
241,19725
242,19774
243,9833
244,9307
245,265
246,2316
247,9844
248,5984
249,14099
250,15048
251,4657
252,14740
253,3448
254,8657
255,21443
256,12128
257,5205
258,18194
259,17682
260,11472
261,20038
262,19641
263,6955
264,14550
265,9046
266,14845
267,14145
268,1350
269,755
270,11194
271,11569
272,13650
273,19418
274,15747
275,7895
276,4975
277,17869
278,16282
279,1786
280,17032
281,11403
282,4218
283,11884
284,7564
285,13181
286,10839
287,5947
288,5185
289,17002
290,4456
291,21011
292,4388
293,11080
294,6037
295,7378
296,178
297,9793
298,9143
299,19239
300,3815
301,16076
302,1461
303,3198
304,7110
305,17550
306,2603
307,17293
308,5128
309,11281
310,2222
311,11683
312,11973
313,13788
314,3018
315,1863
316,21325
317,6784
318,20931
319,3778
320,11058
321,11669
322,19316
323,15104
324,16893
325,4846
