step,node
1,7343
2,6668
3,5865
4,3864
5,6064
6,3617
7,6989
8,5215
9,5067
10,7271
11,8249
12,16379
13,13721
14,12762
15,15682
16,16997
17,19275
18,7612
19,7386
20,6536
21,9159
22,8111
23,7506
24,6773
25,8583
26,9094
27,8733
28,8976
29,9026
30,8902
31,8488
32,8000
33,8736
34,8788
35,9356
36,9326
37,11732
38,8419
39,9656
40,9998
41,11755
42,11772
43,11614
44,10956
45,14793
46,9848
47,14443
48,14215
49,13445
50,12819
51,15371
52,15668
53,16948
54,15172
55,15494
56,16719
57,16694
58,15872
59,16713
60,16966
61,15677
62,15272
63,15252
64,15996
65,16025
66,16066
67,16013
68,15582
69,15450
70,15022
71,16866
72,17140
73,19065
74,19318
75,17382
76,17293
77,16582
78,18179
79,16470
80,15849
81,16046
82,14362
83,17002
84,16306
85,17156
86,17682
87,17436
88,14928
89,13294
90,13727
91,10847
92,11585
93,11509
94,10548
95,11099
96,10992
97,13031
98,14330
99,12473
100,10626
101,1645
102,1639
103,1726
104,15472
105,2785
106,3765
107,2356
108,3958
109,18092
110,1705
111,15311
112,16355
113,16851
114,17869
115,20399
116,17977
117,20851
118,7707
119,7457
120,17330
121,10928
122,10802
123,10567
124,10226
125,9083
126,10008
127,9885
128,9633
129,20516
130,6359
131,843
132,1261
133,1001
134,3308
135,1920
136,1918
137,14902
138,15264
139,15713
140,15714
141,1613
142,1595
143,1230
144,18560
145,17496
146,17958
147,17701
148,18194
149,15107
150,17301
151,1944
152,1718
153,1816
154,995
155,1084
156,932
157,1280
158,853
159,755
160,2814
161,13995
162,13993
163,14200
164,14348
165,15010
166,15602
167,16615
168,16616
169,17367
170,17368
171,2916
172,3119
173,3194
174,3523
175,3814
176,15066
177,15901
178,4000
179,4132
180,4998
181,21724
182,16578
183,16462
184,17664
185,17679
186,16760
187,16480
188,17144
189,17663
190,16488
191,2774
192,3000
193,3098
194,3241
195,4015
196,2548
197,4569
198,4623
199,5688
200,5439
201,10025
202,11615
203,9695
204,20815
205,14185
206,14529
207,15030
208,15444
209,16131
210,16035
211,12559
212,12719
213,11906
214,12168
215,12494
216,6464
217,12670
218,14091
219,14092
220,6159
221,16773
222,11118
223,11249
224,10538
225,10698
226,11297
227,16735
228,17245
229,17399
230,17583
231,11553
232,11294
233,13186
234,12259
235,11502
236,10944
237,11652
238,11907
239,10481
240,10329
241,2238
242,2152
243,2141
244,20372
245,16978
246,2358
247,20360
248,15356
249,17273
250,2013
251,17166
252,17053
253,16909
254,17087
255,17253
256,17473
257,13528
258,13282
259,5080
260,13110
261,18062
262,18625
263,18698
264,18861
265,18713
266,18853
267,18780
268,18658
269,18739
270,18944
271,5123
272,5061
273,4806
274,4805
275,2307
276,4268
277,2397
278,4720
279,5533
280,5146
281,17898
282,17897
283,21905
284,21999
285,17801
286,17032
287,9752
288,8679
289,17268
290,17267
291,12128
292,5574
293,10806
294,5784
295,5647
296,5555
297,12115
298,5354
299,5341
300,5404
301,18169
302,5163
303,6798
304,5947
305,6234
306,3739
307,3815
308,18453
309,18587
310,12684
311,5223
312,2825
313,2751
314,3851
315,3217
316,2955
317,4153
318,3973
319,4413
320,13024
321,9943
322,9793
323,10083
324,5430
325,5507
326,5423
327,9515
328,344
329,549
330,485
331,4165
332,3664
333,18959
334,18533
335,10298
336,4539
337,4460
338,18792
339,19352
340,10066
341,19399
342,19680
343,19554
344,19892
345,19043
346,19812
347,10546
348,9964
349,19688
350,19590
351,18759
352,18675
353,18719
354,19254
355,19762
356,18706
357,18582
358,19255
359,20044
360,20003
361,628
362,6281
363,6132
364,5682
365,14677
366,14588
367,672
368,492
369,14655
370,328
371,7139
372,7229
373,7939
374,8605
375,6400
376,7247
377,6532
378,7887
379,5762
380,9101
381,10908
382,10790
383,10619
384,10620
385,10584
386,10889
387,11353
388,16076
389,16286
390,16285
391,14129
392,13886
393,779
394,811
395,2519
396,830
397,918
398,964
399,784
400,622
401,6644
402,7434
403,7378
404,7620
405,7728
406,2598
407,3136
408,3576
409,8016
410,8665
411,7407
412,7460
413,7622
414,7808
415,7954
416,8285
417,8597
418,4327
419,4363
420,4425
421,6112
422,5978
423,5977
424,20476
425,5084
426,4012
427,11626
428,11748
429,5006
430,5005
431,6209
432,13961
433,14469
434,14615
435,15091
436,14899
437,15114
438,15116
439,15122
440,7170
441,7498
442,7526
443,7046
444,7581
445,7609
446,7442
447,7751
448,7697
449,7402
450,15360
451,6784
452,6704
453,14684
454,7035
455,7396
456,7530
457,7765
458,7962
459,7900
460,8086
461,11802
462,21568
463,11972
464,12276
465,7970
466,8508
467,8494
468,8730
469,9124
470,9437
471,11718
472,14989
473,6106
474,7119
475,7007
476,7201
477,6547
478,11899
479,6731
480,7065
481,8277
482,8278
483,8472
484,15553
485,15265
486,14597
487,16442
488,16243
489,12012
490,14526
491,12064
492,12315
493,12209
494,12542
495,4109
496,12908
497,15352
498,13191
499,15185
500,16994
501,4042
502,4218
503,18838
504,15633
505,14278
506,19905
507,19725
508,11983
509,4283
510,19549
511,12199
512,12230
513,11027
514,10523
515,14550
516,6572
517,5700
518,5594
519,10229
520,13506
521,12547
522,13037
523,13949
524,14522
525,8168
526,14584
527,8465
528,14752
529,14542
530,14507
531,12610
532,13068
533,13442
534,2613
535,19316
536,19053
537,901
538,13914
539,947
540,20574
541,3466
542,3954
543,3970
544,4100
545,4311
546,3991
547,13567
548,13566
549,8061
550,6842
551,4229
552,4374
553,15391
554,16438
555,16406
556,3101
557,2853
558,6486
559,21443
560,4398
561,4698
562,4652
563,4714
564,4705
565,5361
566,3061
567,5722
568,18834
569,18766
570,18692
571,17103
572,3369
573,3296
574,19472
575,19506
576,6914
577,19561
578,19647
579,7048
580,7251
581,8500
582,8447
583,7979
584,7818
585,7715
586,7562
587,8676
588,8639
589,9375
590,9074
591,15818
592,13569
593,17120
594,17033
595,14310
596,16875
597,14142
598,13698
599,15240
600,13810
601,7204
602,8585
603,7114
604,16050
605,8352
606,8363
607,2419
608,7338
609,2827
610,19524
611,4926
612,5032
613,9310
614,4972
615,9379
616,3793
617,3373
618,4135
619,4392
620,5091
621,4871
622,4901
623,5283
624,5387
625,18041
626,5583
627,5833
628,17791
629,18693
630,18547
631,8120
632,14115
633,13578
634,7095
635,7301
636,8987
637,3449
638,8751
639,8519
640,8264
641,9390
642,9551
643,16580
644,16861
645,16344
646,9688
647,9819
648,9779
649,9201
650,16386
651,6389
652,6554
653,6037
654,5596
655,5432
656,5291
657,4877
658,8456
659,4693
660,8239
661,11080
662,9540
663,10704
664,10912
665,11062
666,11281
667,9333
668,11207
669,9423
670,9313
671,14447
672,17180
673,17068
674,14488
675,16830
676,16211
677,14592
678,14396
679,16215
680,14228
681,14474
682,14473
683,14050
684,13622
685,13278
686,12808
687,12321
688,13322
689,19160
690,8185
691,15040
692,18275
693,18273
694,9566
695,15210
696,15427
697,15705
698,18125
699,15533
700,9426
701,9934
702,9606
703,15698
704,9533
705,9670
706,15780
707,16266
708,10074
709,9812
710,10490
711,9564
712,9976
713,9487
714,9255
715,9587
