step,node
1,303
2,527
3,543
4,593
5,811
6,986
7,1934
8,3505
9,3932
10,4548
11,4683
12,6167
13,6239
14,6248
15,8185
16,9221
17,9680
18,10097
19,10152
20,11636
21,12599
22,13597
23,13948
24,15236
25,15616
26,15937
27,16724
28,16930
29,17317
30,18724
31,20229
32,4705
33,14103
34,21238
35,28
36,178
37,265
38,428
39,631
40,1026
41,1018
42,1102
43,1151
44,1336
45,1375
46,1705
47,1858
48,1909
49,2690
50,2903
51,3214
52,3889
53,3949
54,3995
55,4084
56,4239
57,4986
58,5146
59,5620
60,5672
61,5706
62,5958
63,6174
64,6819
65,7081
66,7338
67,7129
68,7581
69,7751
70,7801
71,8135
72,8381
73,8859
74,8864
75,9184
76,9217
77,9501
78,9587
79,9802
80,10292
81,11000
82,11168
83,11213
84,11290
85,11305
86,11309
87,11374
88,11523
89,11718
90,11839
91,11907
92,13143
93,13566
94,13918
95,13922
96,13371
97,13253
98,14571
99,14635
100,14878
101,14918
102,15444
103,15686
104,15698
105,16239
106,16260
107,16412
108,16596
109,16843
110,16913
111,17136
112,17821
113,17967
114,18465
115,18125
116,18505
117,18516
118,19043
119,19119
120,19196
121,19481
122,19632
123,19309
124,19823
125,19853
126,21229
127,21943
128,5
129,49
130,51
131,65
132,87
133,97
134,133
135,158
136,223
137,238
138,275
139,331
140,365
141,383
142,445
143,513
144,555
145,577
146,689
147,770
148,828
149,838
150,923
151,935
152,982
153,1386
154,1423
155,1752
156,1871
157,1913
158,1979
159,1984
160,1989
161,2023
162,2026
163,2043
164,2084
165,2095
166,2132
167,2165
168,2223
169,2345
170,2419
171,2460
172,2650
173,2657
174,2886
175,3675
176,4148
177,4351
178,4360
179,4407
180,4438
181,4497
182,4499
183,4579
184,4627
185,4655
186,4657
187,4826
188,5039
189,5119
190,5414
191,5416
192,5428
193,5638
194,5733
195,5803
196,5896
197,6180
198,6192
199,6197
200,6933
201,7681
202,7711
203,7823
204,7931
205,8078
206,8302
207,8328
208,8544
209,8882
210,9700
211,9752
212,10903
213,11012
214,11112
215,11115
