step,node
1,16477
2,4705
3,15472
4,17795
5,20516
6,21224
7,549
8,822
9,4413
10,4519
11,5495
12,5865
13,6401
14,6826
15,7506
16,8593
17,9397
18,11118
19,11732
20,12115
21,12209
22,12276
23,12732
24,12808
25,14103
26,14241
27,14597
28,15107
29,15662
30,16978
31,17087
32,17103
33,17347
34,17977
35,18901
36,18980
37,19065
38,19399
39,19611
40,20476
41,28
42,43
43,162
44,173
45,303
46,314
47,527
48,593
49,611
50,724
51,772
52,811
53,842
54,883
55,976
56,995
57,1012
58,1018
59,1102
60,1151
61,1163
62,1235
63,1258
64,1314
65,1375
66,1464
67,1603
68,1624
69,1639
70,1705
71,1743
72,1758
73,1858
74,1863
75,1909
76,1918
77,1934
78,1940
79,1990
80,2040
81,2086
82,2178
83,2275
84,2286
85,2296
86,2415
87,2474
88,2519
89,2594
90,2603
91,2690
92,2730
93,2785
94,2836
95,2842
96,2853
97,2903
98,3012
99,3018
100,3061
101,3124
102,3150
103,3198
104,3203
105,3217
106,3225
107,3251
108,3255
109,3383
110,3399
111,3435
112,3505
113,3581
114,3613
115,3619
116,3649
117,3664
118,3690
119,3826
120,3856
121,3889
122,3932
123,3935
124,3946
125,3995
126,4064
127,4084
128,4109
129,4138
130,4177
131,4186
132,4214
133,4236
134,4347
135,4380
136,4425
137,4478
138,4548
139,4569
140,4590
141,4596
142,4616
143,4683
144,4774
145,4839
146,4846
147,4871
148,4968
149,4986
150,5002
151,5036
152,5063
153,5142
154,5159
155,5163
156,5185
157,5226
158,5240
159,5289
160,5320
161,5329
162,5357
163,5381
164,5423
165,5430
166,5484
167,5546
168,5596
169,5620
170,5672
171,5688
172,5730
173,5733
174,5737
175,5784
176,5807
177,5830
178,5900
179,5947
180,5958
181,6002
182,6072
183,6132
184,6137
185,6167
186,6174
187,6194
188,6239
189,6274
190,6281
191,6389
192,6456
193,6464
194,6486
195,6520
196,6529
197,6547
198,6592
199,6626
200,6668
201,6693
202,6798
203,6819
204,6854
205,6940
206,6971
207,7035
208,7081
209,7106
210,7129
211,7207
212,7223
213,7233
214,7241
215,7291
216,7338
217,7386
218,7392
219,7402
220,7434
221,7476
222,7491
223,7499
224,7522
225,7534
226,7581
227,7601
228,7647
229,7660
230,7751
231,7775
232,7801
233,7818
234,7837
235,7955
236,7960
237,8003
238,8046
239,8074
240,8122
241,8140
242,8168
243,8185
244,8243
245,8342
246,8381
247,8403
248,8419
249,8428
250,8456
251,8478
252,8488
253,8500
254,8566
255,8585
256,8602
257,8618
258,8650
259,8665
260,8712
261,8733
262,8736
263,8768
264,8804
265,8835
266,8859
267,8864
268,8961
269,8984
270,9028
271,9046
272,9076
273,9094
274,9140
275,9143
276,9147
277,9226
278,9249
279,9297
280,9307
281,9322
282,9394
283,9501
284,9547
285,9598
286,9602
287,9670
288,9674
289,9680
290,9692
291,9758
292,9787
293,9793
294,9802
295,9856
296,9873
297,9882
298,9923
299,9934
300,9988
301,9998
302,10070
303,10083
304,10097
305,10130
306,10177
307,10184
308,10266
309,10290
310,10329
311,10346
312,10425
313,10473
314,10493
315,10538
316,10548
317,10638
318,10643
319,10662
320,10700
321,10729
322,10758
323,10778
324,10806
325,10816
326,10886
327,10963
328,10988
329,11000
330,11058
331,11076
332,11080
333,11172
334,11176
335,11194
336,11213
337,11237
338,11281
339,11305
340,11309
341,11325
342,11362
343,11374
344,11520
345,11523
346,11597
347,11607
348,11636
349,11665
350,11682
351,11700
352,11757
353,11772
354,11796
355,11808
356,11907
357,11978
358,12166
359,12189
360,12215
361,12228
362,12318
363,12434
364,12458
365,12500
366,12599
367,12694
368,12719
369,12768
370,12828
371,12856
372,13031
373,13143
374,13148
375,13160
376,13181
377,13208
378,13253
379,13294
380,13403
381,13420
382,13506
383,13578
384,13592
385,13597
386,13611
387,13622
388,13714
389,13810
390,13822
391,13826
392,13834
393,13898
394,13922
395,13934
396,13979
397,14008
398,14076
399,14252
400,14362
401,14378
402,14397
403,14456
404,14469
405,14491
406,14495
407,14518
408,14558
409,14571
410,14579
411,14606
412,14635
413,14652
414,14667
415,14722
416,14735
417,14793
418,14833
419,14845
420,14881
421,14918
422,14974
423,15011
424,15022
425,15040
426,15048
427,15054
428,15104
429,15114
430,15118
431,15172
432,15232
433,15236
434,15252
435,15265
436,15311
437,15316
438,15386
439,15444
440,15494
441,15533
442,15542
443,15585
444,15604
445,15616
446,15671
447,15677
448,15698
449,15705
450,15729
451,15801
452,15862
453,15937
454,15978
455,16046
456,16160
457,16200
458,16239
459,16260
460,16266
461,16330
462,16373
463,16406
464,16412
465,16470
466,16473
467,16525
468,16529
469,16578
470,16580
471,16622
472,16688
473,16713
474,16719
475,16724
476,16731
477,16825
478,16848
479,16875
480,16930
481,16969
482,16997
483,17136
484,17140
485,17148
486,17204
487,17253
488,17277
489,17301
490,17317
491,17336
492,17382
493,17431
494,17438
495,17466
496,17542
497,17599
498,17613
499,17673
500,17682
501,17806
502,17857
503,17864
504,17967
505,18066
506,18081
507,18105
508,18236
509,18246
510,18258
511,18360
512,18376
513,18435
514,18505
515,18516
516,18533
517,18606
518,18627
519,18713
520,18762
521,18792
522,18800
523,18805
524,18869
525,18915
526,18966
527,18992
528,19109
529,19180
530,19196
531,19254
532,19268
533,19297
534,19376
535,19414
536,19481
537,19506
538,19524
539,19632
540,19688
541,19774
542,19800
543,19823
544,20038
545,20052
546,20229
547,20568
548,20701
549,20800
550,20928
551,21005
552,21247
553,21399
554,21443
555,21537
556,21582
557,21905
558,21998
559,22012
560,5
561,49
562,51
563,122
564,123
565,128
566,369
567,400
568,492
569,513
570,577
571,645
572,679
573,689
574,744
575,784
576,792
577,814
578,828
579,834
580,838
581,901
582,925
583,935
584,954
585,986
586,1184
587,1231
588,1354
589,1404
590,1423
591,1461
592,1526
593,1533
594,1582
595,1595
596,1665
597,1730
598,1761
599,1807
600,1812
601,1890
602,1913
603,1963
604,2026
605,2075
606,2084
607,2121
608,2155
609,2181
610,2222
611,2248
612,2255
613,2512
614,2515
615,2554
616,2561
617,2684
618,2688
619,2751
620,2866
621,2879
622,2916
623,3026
624,3046
625,3053
626,3071
627,3191
628,3231
629,3248
630,3286
631,3327
632,3369
633,3497
634,3541
635,3635
636,3640
637,3683
638,3685
639,3704
640,3765
641,3888
642,3897
643,3899
644,3949
645,3959
646,3984
647,4070
648,4097
649,4132
650,4148
651,4324
652,4327
653,4395
654,4438
655,4452
656,4456
657,4558
658,4632
659,4634
660,4655
661,4743
662,4810
663,4826
664,4888
665,4933
666,4954
667,4994
668,5039
669,5067
670,5119
671,5128
672,5223
673,5229
674,5286
675,5394
676,5428
677,5555
678,5638
679,5639
680,5896
681,5920
682,5984
683,6012
684,6037
685,6076
686,6106
687,6197
688,6223
689,6289
690,6306
691,6328
692,6359
693,6365
694,6444
695,6502
696,6582
697,6598
698,6697
699,6762
700,6768
701,6784
702,6923
703,6946
704,7048
705,7095
706,7374
707,7418
708,7461
709,7479
710,7546
711,7589
712,7609
713,7637
714,7742
715,7841
716,7878
717,7882
718,7895
719,7931
720,7976
721,8095
722,8110
723,8227
724,8234
725,8278
726,8279
727,8305
728,8359
729,8378
730,8519
731,8544
732,8558
733,8597
734,8630
735,8642
736,8645
737,8743
738,8755
739,8762
740,8784
741,8792
742,9026
743,9042
744,9059
745,9181
746,9201
747,9312
748,9361
749,9383
750,9487
751,9574
752,9587
753,9637
754,9700
755,9704
756,9752
757,9887
758,10002
759,10008
760,10030
761,10071
762,10192
763,10237
764,10248
765,10520
766,10652
767,10751
768,10864
769,10868
770,10903
771,10916
772,10931
773,11065
774,11112
775,11115
776,11133
777,11168
778,11234
779,11319
780,11353
781,11398
782,11421
783,11430
784,11497
785,11546
786,11626
787,11688
788,11696
789,11793
790,11839
791,11862
792,11990
793,12102
794,12174
795,12259
796,12292
