step,node
1,4555
2,1006
3,11046
4,9852
5,9049
6,5539
7,4203
8,3527
9,17105
10,1179
11,1130
12,4018
13,8837
14,9683
15,1122
16,8566
17,17462
18,20772
19,9274
20,14106
21,6572
22,16425
23,17664
24,80
25,15507
26,16447
27,3398
28,16040
29,9074
30,7004
31,5867
32,3234
33,4671
34,19830
35,16111
36,7106
37,2120
38,1972
39,8618
40,2070
41,7588
42,17569
43,7364
44,12728
45,5980
46,16737
47,850
48,15810
49,9878
50,11692
51,2684
52,19455
53,8011
54,1713
55,11784
56,6271
57,17660
58,13423
59,13180
60,18853
61,18177
62,7779
63,12361
64,4378
65,14990
66,1474
67,887
68,15572
69,4999
70,16490
71,6515
72,1798
73,18447
74,5128
75,18723
76,2561
77,8300
78,6181
79,10102
80,14257
81,17900
82,8476
83,3848
84,8108
85,7829
86,5170
87,14579
88,5924
89,15478
90,14832
91,14190
92,1608
93,13408
94,13993
95,4050
96,11911
97,15947
98,5433
99,3841
100,10334
101,8562
102,6081
103,14371
104,15298
105,12405
106,20372
107,15277
108,7389
109,19098
110,17180
111,17448
112,1145
113,5445
114,18594
115,583
116,17974
117,7228
118,9836
119,6208
120,1537
121,5075
122,12894
123,20353
124,16400
125,7554
126,5197
127,15265
128,20950
129,9177
130,14776
131,10669
132,3529
133,6221
134,3399
135,5846
136,17140
137,13128
138,12455
139,6362
140,17219
141,13888
142,10090
143,13842
144,9491
145,8416
146,5243
147,3405
148,12033
149,11884
150,2168
151,17699
152,1045
153,2814
154,3756
155,14844
156,4093
157,18880
158,16330
159,10076
160,14281
161,1567
162,9192
163,9133
164,14301
165,11497
166,12694
167,6018
168,13316
169,179
170,16305
171,21792
172,2845
173,16243
174,12804
175,18001
176,7086
177,18739
178,15464
179,8140
180,2776
181,7165
182,10617
183,4006
184,11094
185,39
186,17438
187,17396
188,6784
189,12143
190,18966
191,4547
192,12356
193,2703
194,15475
195,7530
196,15715
197,12328
198,15360
199,4941
200,4090
201,9546
202,19060
203,4998
204,13623
205,19680
206,13167
207,4
208,14890
209,7933
210,11946
211,417
212,2906
213,9140
214,21456
215,7793
216,6155
217,1629
218,6218
219,14592
220,2158
221,2598
222,18638
223,12318
224,2026
225,19482
226,13586
227,19995
228,3655
229,3508
230,16682
231,12533
232,14252
233,20246
234,6877
235,13672
236,16612
237,11016
238,5766
239,14017
240,19714
241,19132
242,18380
243,5594
244,18915
245,8284
246,10293
247,17426
248,16621
249,9653
250,11786
251,13578
252,11777
253,3433
254,6647
255,6092
256,1775
257,8996
258,540
259,15974
260,14666
261,6356
262,15620
263,5977
264,156
265,2642
266,19430
267,16605
268,1801
269,6400
270,2043
271,932
272,8881
273,2251
274,13946
275,6697
276,7801
277,18017
278,13188
279,6077
280,14785
281,4218
282,20085
283,15640
284,15774
285,13049
286,7049
287,12853
288,11342
289,5441
290,2909
291,3030
292,18724
293,12434
294,9859
295,11766
296,11308
297,12849
298,1726
299,18926
300,18496
301,18674
302,3049
303,1902
304,11248
305,9530
306,3560
307,7284
308,5555
309,5578
310,15272
311,12473
312,4409
313,12069
314,5302
315,8508
316,13359
317,7687
318,2425
319,12565
320,15890
321,3222
322,1668
323,18816
324,15785
325,426
326,3255
327,7263
328,5107
329,11887
330,14438
331,14418
332,6570
333,11519
334,1915
335,5149
336,12228
337,26
338,11669
339,10548
340,13607
341,8481
342,12692
343,17002
344,19956
345,14644
346,5005
347,5932
348,8890
349,6761
350,2057
351,16970
352,16208
353,2004
354,9390
355,1932
356,1620
357,17566
358,21328
359,15520
360,16137
361,5220
362,1913
363,15511
364,3042
365,5906
366,2456
367,17887
368,2460
369,7500
370,12104
371,4518
372,17282
373,7954
374,18252
375,17961
376,1186
377,19397
378,3065
379,12917
380,21336
381,17690
382,17253
383,16865
384,9817
385,8212
386,6656
387,9882
388,7841
389,8751
390,12094
391,4607
392,20428
393,9501
394,14401
395,10079
396,2748
397,250
398,14667
399,19728
400,17530
401,3986
402,20199
403,16685
404,7139
405,21582
406,9200
407,4683
408,11212
409,2779
410,8031
411,11607
412,9211
413,5456
414,14362
415,17152
416,9862
417,19987
418,16876
419,322
420,17635
421,9782
422,3979
423,4760
424,8820
425,4384
426,4047
427,17737
428,5822
429,9046
430,9776
431,19844
432,7407
433,11133
434,7079
435,8907
436,16673
437,16223
438,8384
439,1858
440,3627
441,21224
442,9361
443,1572
444,81
445,11150
446,4851
447,8978
448,6530
449,14913
450,18651
451,14559
452,18918
453,578
454,4479
455,3240
456,5900
457,18465
458,1258
459,12286
460,19723
461,18563
462,5850
463,15292
464,20252
465,1694
466,10698
467,12195
468,1507
469,12106
470,7570
471,8671
472,4287
473,12013
474,19338
475,13955
476,5971
477,8642
478,6126
479,6582
480,14287
481,971
482,6758
483,11489
484,14342
485,8959
486,9592
487,6020
488,4434
489,13418
490,1439
491,16240
492,8178
493,7564
494,16913
495,12144
496,10789
497,8281
498,8092
499,959
500,7297
501,14222
502,11449
503,10092
504,3006
505,10125
506,12835
507,19269
508,14854
509,18954
510,11638
511,1030
512,5142
513,9758
514,7245
515,9699
516,1705
517,20294
518,15623
519,13037
520,11605
521,15703
522,18383
523,4766
524,14694
525,7485
526,9456
527,20188
528,15828
529,21
530,18775
531,20017
532,7845
533,13522
534,15688
535,3189
536,12080
537,11421
538,5119
539,10996
540,18533
541,11358
542,15176
543,12048
544,15288
545,11353
546,5160
547,7696
548,15654
549,14473
550,6924
551,11108
552,15450
553,21595
554,7
555,11200
556,10913
557,8124
558,16141
559,12808
560,17116
561,16664
562,16454
563,8204
564,19251
565,17564
566,6931
567,4000
568,11118
569,19699
570,14088
571,4117
572,9042
573,11673
574,8762
575,7883
576,6115
577,1023
578,2230
579,9779
580,17963
581,3376
582,17436
583,16342
584,7856
585,15054
586,19445
587,15549
588,9590
589,6225
590,367
591,4628
592,16617
593,8748
594,7878
595,20504
596,21943
597,2554
598,9991
599,5377
600,17681
601,5664
602,18580
603,12577
604,17801
605,19989
606,21701
607,17644
608,6552
609,18598
610,17431
611,10398
612,9959
613,11076
614,19313
615,9627
616,10903
617,17288
618,3735
619,11697
620,9444
621,10952
622,13986
623,13211
624,3897
625,5895
626,6589
627,10807
628,16284
629,6477
630,9207
631,3057
632,16760
633,16389
634,14145
635,18755
636,17867
637,3046
638,8494
639,16836
640,15994
641,839
642,17168
643,17791
644,15878
645,11754
646,7985
647,9971
648,188
649,19573
650,7571
651,6444
652,15414
653,8276
654,17417
655,18314
656,19964
657,16957
658,8778
659,11132
660,16131
661,15197
662,11380
663,16538
664,12729
665,18821
666,4949
667,10438
668,4979
669,5962
670,9349
671,10442
672,757
673,8280
674,7452
675,15036
676,14997
677,21774
678,8545
679,15668
680,4300
681,17562
682,10143
683,20033
684,3200
685,14553
686,11365
687,755
688,19743
689,8423
690,13388
691,13134
692,14793
693,764
694,2358
695,14469
696,9217
697,3742
698,18812
699,10099
700,4818
701,1225
702,6139
703,8369
704,7601
705,5215
706,10140
707,7455
708,8061
709,16628
710,19705
711,8585
712,6389
713,16457
714,18468
715,9405
716,5802
717,19255
718,2433
719,10811
720,653
721,17043
722,12294
723,1397
724,8099
725,5329
726,14746
727,1963
728,18105
729,21292
730,1083
731,17383
732,837
733,6554
734,4938
735,19590
736,685
737,14434
738,4109
739,6064
740,3484
741,11931
742,15300
743,3275
744,13409
745,5458
746,10992
747,16202
748,6674
749,17509
750,8733
751,4441
752,14514
753,14538
754,17789
755,16616
756,3359
757,17984
758,19499
759,4425
760,7618
761,3793
762,14142
763,810
764,7900
765,14526
766,16018
767,9064
768,9718
769,16806
770,5132
771,2353
772,14335
773,16314
774,21170
775,15210
776,6351
777,3111
778,16595
779,18617
780,7609
781,16401
782,14942
783,19841
784,3875
785,19647
786,14354
787,19141
788,1168
789,8583
790,13151
791,11017
792,16694
793,9171
794,2238
795,12468
796,15634
797,8519
798,598
799,10600
800,12249
801,3497
802,11130
803,9257
804,15609
805,11556
806,17472
807,4600
808,11143
809,4909
810,18625
811,13746
812,16300
813,7338
814,15347
815,13662
816,19953
817,12187
818,12137
819,11362
820,18409
821,15040
822,7195
823,8456
824,6596
825,2861
826,7425
827,11538
828,6580
829,19119
830,11889
831,14542
832,15237
833,17122
834,10011
835,8608
836,917
837,13695
838,8327
839,5192
840,12599
841,5750
842,9607
843,6937
844,9796
845,7512
846,15202
847,17756
848,7446
849,14479
850,628
851,13826
852,5223
853,2783
854,7434
855,18803
856,10934
857,13146
858,14642
859,21765
860,6652
861,17958
862,12732
863,16802
864,18981
865,13221
866,11973
867,744
868,3646
869,8074
870,6502
871,10762
872,18249
873,6814
874,8462
875,17413
876,15529
877,10432
878,13056
879,21390
880,14452
881,9460
882,11406
883,14861
884,8992
885,9679
886,19249
887,13276
888,7582
889,8407
890,7082
891,6491
892,3991
893,20354
894,5636
895,9069
896,3871
897,14769
898,19083
899,5326
900,5928
901,6280
902,13756
903,8288
904,22119
905,16215
906,15025
907,16752
908,8130
909,3523
910,5645
911,8788
912,6590
913,10454
914,5144
915,8743
916,683
917,21350
918,15071
919,4321
920,8679
921,1627
922,1892
923,15618
924,8699
925,20251
926,4264
927,18906
928,14127
929,3478
930,575
931,16294
932,8999
933,13760
934,13879
935,12958
936,10575
937,5603
938,1883
939,7701
940,13991
941,3931
942,2419
943,11715
944,14826
945,2790
946,16717
947,18493
948,2023
949,4924
950,4740
951,16514
952,9587
953,3139
954,7774
955,4338
956,16533
957,12483
958,17653
959,17501
960,18165
961,7190
962,15658
963,11348
964,13694
965,13506
966,9446
967,17290
968,13282
969,9657
970,16892
971,18714
972,2732
973,18032
974,3747
975,6644
976,19085
977,7398
978,8321
979,21938
980,3000
981,5247
982,7728
983,5790
984,16620
985,2751
986,6994
987,35
988,12649
989,14270
990,18062
991,14564
992,9383
993,1357
994,7715
995,9353
996,9072
997,14177
998,2734
999,20854
1000,8543
1001,19713
1002,17965
1003,6532
1004,13515
1005,4252
1006,16901
1007,7468
1008,5178
1009,9375
1010,4870
1011,2726
1012,2321
1013,5733
1014,10242
1015,18789
1016,17528
1017,9733
1018,14129
1019,5002
1020,15037
1021,10611
1022,13090
1023,9163
1024,16042
1025,16959
1026,19275
1027,14316
1028,3171
1029,19594
1030,1460
1031,14529
1032,10733
1033,20021
1034,8485
1035,936
1036,3978
1037,8020
1038,18692
1039,19602
1040,820
1041,9189
1042,18913
1043,1735
1044,6798
1045,15546
1046,16918
1047,14651
1048,9763
1049,6437
1050,19892
1051,14540
1052,16079
1053,3899
1054,15395
1055,11580
1056,13782
1057,11080
1058,10868
1059,4199
1060,5984
1061,11109
1062,13867
1063,16365
1064,10046
1065,13731
1066,18473
1067,1425
1068,15152
1069,3958
1070,10753
1071,9356
1072,11281
1073,4545
1074,14060
1075,17154
1076,16
1077,18234
1078,15585
1079,14275
1080,2413
1081,7256
1082,17382
1083,12333
1084,17033
1085,15260
1086,2186
1087,7472
1088,9692
1089,19765
1090,5086
1091,10567
1092,15088
1093,16622
1094,4799
1095,1101
1096,9848
1097,6146
1098,11062
1099,19593
1100,720
1101,19711
1102,14881
1103,4177
1104,8381
1105,4576
1106,16156
1107,5357
1108,6202
1109,17134
1110,10802
1111,17507
1112,11544
1113,14771
1114,17022
1115,17068
1116,8901
1117,16320
1118,20075
1119,5671
1120,13847
1121,7292
1122,17822
1123,5944
1124,3308
1125,11951
1126,15269
1127,12149
1128,18006
1129,10115
1130,50
1131,11253
1132,11278
1133,17320
1134,5978
1135,16256
1136,22060
1137,17273
1138,12573
1139,11932
1140,21657
1141,14038
1142,21739
1143,11614
1144,7408
1145,8991
1146,14348
1147,8812
1148,15214
1149,1995
1150,11632
1151,17099
1152,15095
