step,node
0,4212
1,8570
2,3538
3,2669
4,1215
5,17006
6,2694
7,18392
8,23015
9,13813
10,5181
11,21758
12,16495
13,28589
14,4430
15,28730
16,3424
17,28563
18,14650
19,27533
20,24765
21,26835
22,3328
23,3332
24,5279
25,5579
26,25404
27,25094
28,25632
29,25639
30,7844
31,28703
32,23308
33,23325
34,16453
35,28554
36,14628
37,28731
38,4434
39,22271
40,21622
41,19020
42,6742
43,21618
44,23464
45,6340
46,20846
47,13539
48,24100
49,23345
50,15960
51,5645
52,11947
53,11221
54,28355
55,4294
56,6030
57,9423
58,3930
59,18321
60,10942
61,7285
62,5936
63,6244
64,7567
65,5060
66,5519
67,4782
68,3974
69,4190
70,7249
71,4872
72,4941
73,6127
74,6520
75,4741
76,5178
77,5327
78,7784
79,4825
80,7665
81,2913
82,4818
83,2771
84,5563
85,6987
86,9368
87,9493
88,7727
89,7502
90,7716
91,8233
92,7356
93,8198
94,13977
95,9067
96,7422
97,10445
98,28532
99,8568
100,11671
101,16279
102,6904
103,12766
104,9915
105,9340
106,10565
107,14455
108,11423
109,14039
110,8299
111,18016
112,17098
113,10288
114,7035
115,11820
116,16287
117,14555
118,16444
119,8720
120,17668
121,18150
122,11170
123,11015
124,8320
125,14438
126,12647
127,18852
128,18844
129,9887
130,21361
131,15810
132,15939
133,10106
134,12498
135,6221
136,11821
137,12265
138,14819
139,15106
140,15380
141,11612
142,12844
143,13084
144,6615
145,9816
146,8441
147,16308
148,8294
149,6792
150,6039
151,5694
152,14126
153,15346
154,13526
155,18485
156,13006
157,11475
158,13854
159,14727
160,14015
161,15846
162,15472
163,14186
164,15269
165,15411
166,10101
167,14176
168,14370
169,16674
170,14362
171,18080
172,15766
173,21025
174,16916
175,21206
176,19250
177,18742
178,21230
179,18795
180,19949
181,19897
182,20569
183,17814
184,20083
185,18226
186,15203
187,14845
188,15662
189,13910
190,18929
191,15077
192,14966
193,14968
194,19082
195,12848
196,14806
197,15898
198,11317
199,17145
200,10248
201,11142
202,7959
203,13036
204,11152
205,14309
206,9030
207,8047
208,24442
209,2120
210,11782
211,8062
212,7627
213,5576
214,1740
215,10352
216,24166
217,24035
218,852
219,26345
220,23949
221,25061
222,7120
223,242
224,4896
225,23966
226,7268
227,23890
228,3916
229,4929
230,23560
231,11237
232,28373
233,11624
234,11399
235,9943
236,25114
237,4867
238,13044
239,22528
240,11186
241,11419
242,2588
243,22957
244,14986
245,9895
246,9976
247,5209
248,11112
249,11035
250,15753
251,22400
252,19400
253,23465
254,25928
255,10497
256,23985
257,10934
258,22851
259,11837
260,1210
261,26927
262,20000
263,14603
264,2406
265,22724
266,2372
267,20109
268,1611
269,1823
270,1909
271,23939
272,23968
273,9140
274,12247
275,2299
276,28366
277,25103
278,4737
279,5050
280,9166
281,9063
282,7645
283,8925
284,9265
285,8748
286,4692
287,23386
288,14114
289,18555
290,24227
291,28970
292,8680
293,8736
294,6456
295,955
296,9481
297,8684
298,15062
299,7004
300,12322
301,5544
302,16598
303,25149
304,21203
305,14493
306,10260
307,21808
308,22561
309,28963
310,10133
311,13692
312,9104
313,9131
314,203
315,9702
316,12456
317,24914
318,16125
319,8066
320,6468
321,24281
322,9102
323,16532
324,15855
325,7414
326,9765
327,16070
328,10664
329,9232
330,15260
331,9091
332,5588
333,4837
334,10022
335,7011
336,9613
337,21002
338,26192
339,24246
340,15006
341,8016
342,5072
343,22159
344,16345
345,5869
346,21010
347,8993
348,21424
349,17901
350,15214
351,17102
352,12774
353,7218
354,16228
355,18507
356,6731
357,26362
358,5363
359,15476
360,20304
361,22787
362,17465
363,18719
364,25933
365,22091
366,7688
367,8190
368,13656
369,15796
370,9109
371,22515
372,21068
373,9669
374,15676
375,12286
376,16540
377,9925
378,25773
379,28604
380,3292
381,16426
382,21553
383,20402
384,21665
385,25740
386,19659
387,20251
388,671
389,19595
390,20818
391,10087
392,21550
393,21703
394,20836
395,23492
396,10794
397,25842
398,28677
399,21211
400,20913
401,19625
402,15599
403,27094
404,21052
405,25025
406,25041
407,17829
408,19863
409,19742
410,21692
411,17874
412,13392
413,12954
414,15899
415,17372
416,17507
417,19455
418,14686
419,15274
420,20056
421,17789
422,16506
423,20146
424,17834
425,20641
426,16328
427,21779
428,13660
429,12719
430,17861
431,14657
432,23545
433,12420
434,11922
435,12983
436,11493
437,21460
438,5677
439,13985
440,13821
441,10691
442,27169
443,21475
444,13162
445,24997
446,25008
447,6568
448,13014
449,2133
450,10008
451,8841
452,10013
453,13861
454,24857
455,4740
456,21342
457,15492
458,11759
459,24091
460,6592
461,24020
462,16251
463,26026
464,16942
465,24344
466,18144
467,16908
468,11896
469,12840
470,25146
471,28404
472,16260
473,11746
474,12354
475,21795
476,21732
477,7157
478,23204
479,7466
480,22114
481,11609
482,6173
483,24278
484,22508
485,13509
486,13733
487,6423
488,1888
489,10478
490,18670
491,25080
492,15501
493,8458
494,14858
495,12178
496,21649
497,5173
498,13237
499,27140
500,13646
501,27619
502,21762
503,27277
504,7329
505,1748
506,6414
507,21725
508,11462
509,13068
510,22008
511,1684
512,2014
513,21714
514,27314
515,12386
516,13486
517,13424
518,13474
519,22277
520,22988
521,24309
522,22034
523,9411
524,20230
525,13568
526,8861
527,21575
528,3715
529,7918
530,22449
531,15164
532,4128
533,6955
534,25874
535,22500
536,8895
537,22973
538,20421
539,23627
540,22225
541,4374
542,8854
543,9252
544,12012
545,1269
546,20274
547,11791
548,2126
549,22175
550,27156
551,8863
552,27871
553,22192
554,26643
555,8053
556,28533
557,7275
558,26216
559,7483
560,19846
561,19407
562,16866
563,13371
564,8364
565,13294
566,11326
567,15070
568,8104
569,6084
570,14961
571,11227
572,8421
573,20271
574,8804
575,8989
576,22151
577,22363
578,28476
579,12550
580,10301
581,8965
582,10695
583,15802
584,19646
585,21990
586,19306
587,10390
588,21910
589,13900
590,11362
591,16440
592,19487
593,22522
594,20368
595,23844
596,13241
597,13589
598,23523
599,2519
600,8875
601,28902
602,22017
603,3313
604,20602
605,10024
606,22168
607,18122
608,6180
609,8715
610,11966
611,19543
612,16515
613,26684
614,12181
615,24896
616,16989
617,8011
618,6088
619,22582
620,15784
621,16816
622,3961
623,21759
624,22001
625,7470
626,5903
627,14033
628,19868
629,26560
630,21581
631,8511
632,17415
633,12878
634,7371
635,4361
636,20777
637,8050
638,10485
639,9617
640,12084
641,13925
642,16703
643,19504
644,24361
645,20106
646,11540
647,5701
648,15044
649,25249
650,20567
651,6673
652,23677
653,21986
654,19225
655,8180
656,4482
657,19433
658,13695
659,12701
660,14229
661,8107
662,7889
663,23778
664,3664
665,4058
666,6960
667,16383
668,23099
669,20331
670,18411
671,11750
672,17905
673,15789
674,13748
675,26749
676,3318
677,19268
678,26538
679,3451
680,8344
681,18832
682,7527
683,28420
684,10587
685,16458
686,4232
687,22676
688,6574
689,14406
690,17060
691,4437
692,7263
693,7367
694,19211
695,7552
696,7489
697,990
698,13087
699,7060
700,25900
701,17502
702,2306
703,3671
704,19310
705,18659
706,4033
707,19424
708,15018
709,17420
710,9039
711,8359
712,14887
713,19443
714,13010
715,11763
716,7112
717,18284
718,12359
719,3668
720,19301
721,4142
722,12816
