step,node
1,28730
2,28589
3,12766
4,7150
5,11237
6,12012
7,13057
8,13660
9,17507
10,19897
11,26674
12,203
13,520
14,621
15,633
16,3854
17,4179
18,6039
19,6127
20,6423
21,7263
22,7285
23,7466
24,7688
25,7844
26,8680
27,9368
28,9943
29,11759
30,12034
31,12187
32,12247
33,13320
34,14203
35,14968
36,15077
37,15085
38,15106
39,15164
40,15599
41,15708
42,15899
43,16279
44,16328
45,17758
46,17789
47,18540
48,18795
49,21259
50,21725
51,22091
52,23325
53,23949
54,25025
55,25750
56,26616
57,28355
58,102
59,132
60,142
61,171
62,191
63,224
64,358
65,371
66,389
67,406
68,412
69,419
70,435
71,444
72,451
73,468
74,494
75,505
76,524
77,553
78,586
79,609
80,666
81,671
82,681
83,696
84,706
85,735
86,778
87,806
88,852
89,949
90,1025
91,1036
92,1050
93,1053
94,1093
95,1121
96,1134
97,1140
98,1157
99,1182
100,1192
101,1221
102,1248
103,1267
104,1273
105,1293
106,1362
107,1399
108,1422
109,1477
110,1490
111,1511
112,1554
113,1559
114,1563
115,1661
116,1684
117,1716
118,1723
119,1736
120,1748
121,1777
122,1797
123,1805
124,1845
125,1871
126,1878
127,1895
128,1924
129,1932
130,1980
131,1985
132,2029
133,2037
134,2075
135,2089
136,2116
137,2126
138,2133
139,2157
140,2186
141,2275
142,2335
143,2361
144,2398
145,2406
146,2414
147,2444
148,2454
149,2466
150,2483
151,2496
152,2519
153,2539
154,2613
155,2629
156,2682
157,2705
158,2733
159,2761
160,2821
161,2848
162,2865
163,2871
164,2875
165,2913
166,2937
167,3119
168,3133
169,3145
170,3188
171,3197
172,3242
173,3318
174,3332
175,3399
176,3424
177,3439
178,3447
179,3451
180,3468
181,3491
182,3500
183,3519
184,3538
185,3590
186,3597
187,3604
188,3612
189,3634
190,3641
191,3693
192,3758
193,3794
194,3866
195,3890
196,3911
197,3916
198,3937
199,3961
200,3980
201,3998
202,4005
203,4024
204,4058
205,4073
206,4092
207,4100
208,4116
209,4142
210,4164
211,4177
212,4190
213,4220
214,4241
215,4251
216,4262
217,4266
218,4272
219,4279
220,4305
221,4340
222,4357
223,4361
224,4374
225,4389
226,4394
227,4413
228,4430
229,4437
230,4443
231,4467
