step,node
0,2694
1,23015
2,2669
3,18150
4,1215
5,12254
6,22811
7,5209
8,9695
9,15946
10,7245
11,26232
12,2439
13,1378
14,15360
15,3538
16,3286
17,23550
18,27314
19,26188
20,14957
21,7249
22,6025
23,25459
24,12766
25,5181
26,28589
27,1653
28,4212
29,27905
30,8570
31,17006
32,25928
33,21758
34,19020
35,24765
36,2523
37,18545
38,27533
39,6702
40,2483
41,18392
42,16495
43,25966
44,25970
45,4430
46,25842
47,3496
48,26202
49,25980
50,7571
51,7688
52,28703
53,1422
54,24246
55,1435
56,28730
57,5279
58,1121
59,12012
60,7844
61,203
62,955
63,18321
64,406
65,25908
66,2708
67,22938
68,13660
69,11237
70,19897
71,17507
72,1335
73,23392
74,23012
75,1563
76,14628
77,16279
78,6742
79,14229
80,20436
81,24309
82,2372
83,5348
84,6423
85,25080
86,19874
87,24166
88,18852
89,7285
90,4116
91,7146
92,9368
93,22034
94,4092
95,2519
96,23094
97,24205
98,21259
99,5869
100,15960
101,13030
102,4934
103,5019
104,25168
105,24100
106,23661
107,5925
108,28355
109,6937
110,25239
111,7784
112,9427
113,21622
114,6350
115,11142
116,4782
117,4272
118,12034
119,8294
120,4760
121,7716
122,7814
123,25208
124,7414
125,8356
126,12404
127,26564
128,18844
129,14968
130,22271
131,11245
132,10248
133,12468
134,11475
135,17150
136,6550
137,8749
138,17874
139,9481
140,7599
141,11746
142,15147
143,5387
144,8071
145,10101
146,28532
147,17845
148,11093
149,14126
150,12652
151,9915
152,15599
153,14438
154,12655
155,11061
156,9423
157,9736
158,9907
159,15106
160,11337
161,18795
162,18754
163,8720
164,18144
165,9468
166,17789
167,18759
168,13166
169,15310
170,16410
171,27701
172,10119
173,8859
174,10704
175,17145
176,13068
177,12386
178,11881
179,13101
180,14661
181,13474
182,8647
183,8392
184,26616
185,13235
186,16136
187,15913
188,19058
189,25114
190,16070
191,18080
192,19225
193,25377
194,26345
195,26759
196,16674
197,13286
198,25404
199,19238
200,18485
201,15613
202,16581
203,14837
204,15260
205,15351
206,8736
207,23464
208,21225
209,24401
210,7627
211,17777
212,25149
213,23949
214,25389
215,26835
216,25494
217,23916
218,24442
219,3086
220,25061
221,25276
222,25791
223,25103
224,23876
225,23567
226,4936
227,2865
228,12265
229,5563
230,2913
231,3916
232,21485
233,21277
234,4044
235,22091
236,1823
237,6173
238,12322
239,2116
240,16298
241,18555
242,2705
243,7011
244,6106
245,852
246,28482
247,17108
248,23894
249,24857
250,22892
251,11837
252,18828
253,1036
254,1063
255,21664
256,9084
257,9067
258,27329
259,15476
260,11418
261,16328
262,17102
263,14309
264,4741
265,20836
266,4354
267,11624
268,26253
269,3188
270,9691
271,16640
272,8487
273,9765
274,3242
275,5677
276,6127
277,6913
278,17253
279,20201
280,23077
281,23627
282,6611
283,9932
284,9347
285,22232
286,20056
287,10376
288,13821
289,23386
290,19659
291,21990
292,10049
293,18235
294,14347
295,15032
296,10821
297,21361
298,17816
299,10008
300,20045
301,10899
302,25094
303,17372
304,20231
305,24281
306,15164
307,16294
308,21725
309,16358
310,22500
311,13509
312,17132
313,27618
314,14023
315,9087
316,14833
317,7163
318,15085
319,10260
320,10133
321,16302
322,11759
323,11334
324,17749
325,5713
326,12736
327,21575
328,11820
329,26927
330,14539
331,18592
332,20372
333,15242
334,28677
335,6459
336,9102
337,18574
338,20602
339,12006
340,1924
341,18122
342,16260
343,2075
344,14702
345,13454
346,22971
347,23438
348,15176
349,4058
350,12715
351,2130
352,13409
353,7218
354,16368
355,16251
356,10788
357,10544
358,20345
359,7150
360,14069
361,10022
362,15899
363,13952
364,14064
365,14102
366,13515
367,16660
368,28351
369,14085
370,19128
371,19283
372,23523
373,7990
374,17627
375,29097
376,6627
377,16308
378,15830
379,44
380,27166
381,19625
382,19725
383,18988
384,12692
385,12289
386,6199
387,16218
388,20368
389,2459
390,21752
391,23778
392,5178
393,6244
394,18722
395,19705
396,8807
397,22479
398,9474
399,8287
400,23677
401,18866
402,9163
403,26674
404,20899
405,19478
406,27008
407,3328
408,26601
409,12472
410,8006
411,22544
412,9849
413,8925
414,13044
415,7275
416,21986
417,21307
418,7323
419,10342
420,23099
421,24344
422,8190
423,8850
424,24023
425,11922
426,11857
427,15203
428,1477
429,14039
430,1554
431,4027
432,21891
433,13639
434,12848
435,19294
436,29024
437,7466
438,13178
439,21137
440,16920
441,20777
442,4294
443,8621
444,21648
445,6564
446,22376
447,3668
448,4896
449,2726
450,5645
451,9361
452,19235
453,21068
454,22001
455,3024
456,4190
457,27156
458,24952
459,9131
460,22715
461,8651
462,4818
463,14484
464,3930
465,7107
466,4986
467,13813
468,3954
469,13104
470,13949
471,7470
472,4409
473,4186
474,4142
475,28427
476,3425
477,17083
478,14268
479,4833
480,8680
481,15762
482,3832
483,2140
484,12247
485,5370
486,22536
487,8410
488,27070
489,3404
490,15018
491,23593
492,197
493,8062
494,17735
495,12111
496,26487
497,13265
498,20478
499,9925
500,14654
501,20841
502,8142
503,4033
504,304
505,3922
506,14596
507,3961
508,17758
509,2984
510,24524
511,4572
512,12122
513,15799
514,15637
515,13968
516,25882
517,15936
518,23412
519,190
520,14114
521,7079
522,4123
523,3714
524,17476
525,4449
526,23514
527,20285
528,17354
529,26382
530,3343
531,806
532,16996
533,12983
534,9014
535,18370
536,6760
537,13320
538,25025
539,21759
540,12919
541,23193
542,9909
543,15458
544,4266
545,20933
546,21116
547,4374
548,24967
549,13171
550,9992
551,21703
552,24888
553,21732
554,2275
555,21032
556,24648
557,4584
558,4305
559,5507
560,1192
561,5486
562,25994
563,6463
564,14638
565,20890
566,3447
567,7793
568,14847
569,4642
570,18792
571,1883
572,224
573,11797
574,9927
575,10422
576,2152
577,6246
578,13910
579,14571
580,21474
581,3451
582,18622
583,20083
584,20976
585,14568
586,22600
587,10442
588,894
589,27301
590,11791
591,6152
592,8640
593,13580
594,5053
595,22712
596,18820
597,4100
598,17942
599,13769
600,28345
601,18942
602,4692
603,17885
604,24899
605,22315
606,358
607,4579
608,4532
609,13072
610,26117
611,22280
612,2422
613,7825
614,13692
615,21948
616,5331
617,9170
618,1820
619,17130
620,7641
621,24029
622,4379
623,404
624,28778
625,24990
626,24417
627,24971
628,26892
629,3468
630,13280
631,29167
632,8861
633,16246
634,8617
635,21795
