step,node
1,3206
2,4430
3,3034
4,2266
5,5579
6,4872
7,4871
8,5582
9,3205
10,3116
11,10668
12,4212
13,10670
14,10611
15,10559
16,10537
17,4500
18,3958
19,5645
20,3538
21,4694
22,3706
23,4434
24,28563
25,4782
26,28485
27,8570
28,5136
29,3332
30,4833
31,5019
32,4849
33,4190
34,5085
35,6564
36,11922
37,11925
38,11511
39,11013
40,10942
41,15960
42,17006
43,16338
44,25644
45,25646
46,25654
47,25666
48,16334
49,28589
50,25404
51,14555
52,25407
53,13030
54,15441
55,23890
56,7844
57,15708
58,25094
59,25323
60,25408
61,28528
62,28532
63,8464
64,28544
65,28576
66,28598
67,28622
68,23972
69,28730
70,25632
71,25567
72,25639
73,25651
74,25736
75,25735
76,25934
77,25933
78,25465
79,24281
80,25075
81,17777
82,14650
83,17888
84,17952
85,26182
86,24802
87,25630
88,25941
89,25942
90,25977
91,9925
92,18545
93,10036
94,8535
95,8536
96,7655
97,7445
98,7221
99,7222
100,9073
101,13813
102,9955
103,10063
104,8534
105,8533
106,7654
107,7494
108,7292
109,7291
110,9106
111,18392
112,18512
113,16403
114,16404
115,16451
116,16452
117,17693
118,17694
119,14209
120,14143
121,9087
122,9357
123,9261
124,28703
125,11093
126,8875
127,9765
128,8841
129,18086
130,18150
131,8989
132,11221
133,28479
134,7837
135,7811
136,10713
137,10929
138,8845
139,8850
140,9121
141,28526
142,11170
143,22938
144,9702
145,21894
146,22034
147,21862
148,21758
149,21800
150,22215
151,9915
152,19874
153,16453
154,17027
155,9533
156,9423
157,9373
158,8783
159,9189
160,11321
161,5279
162,5563
163,5564
164,5313
165,5631
166,11598
167,28366
168,5370
169,28388
170,5568
171,8925
172,14628
173,14690
174,28740
175,28742
176,16813
177,16814
178,28359
179,18992
180,21424
181,8888
182,9175
183,9244
184,9302
185,8898
186,8868
187,8854
188,8736
189,8884
190,18540
191,11475
192,8441
193,11624
194,8693
195,11612
196,9943
197,11102
198,10782
199,9906
200,10960
201,22508
202,22689
203,22979
204,24166
205,23023
206,23308
207,23109
208,8804
209,8873
210,9097
211,8720
212,8448
213,8180
214,7990
215,9895
216,6792
217,28351
218,7727
219,8900
220,8939
221,28731
222,14531
223,14580
224,15476
225,17450
226,14938
227,28737
228,28749
229,17002
230,17001
231,21361
232,21364
233,20797
234,20798
235,18957
236,18448
237,21622
238,21626
239,10053
240,9686
241,22271
242,23099
243,22923
244,22351
245,22503
246,22506
247,10022
248,9149
249,9323
250,18795
251,10150
252,10018
253,9810
254,9528
255,9240
256,9208
257,10232
258,10314
259,10384
260,10458
261,23465
262,23520
263,23613
264,24209
265,23966
266,23800
267,6960
268,6868
269,6970
270,6945
271,11909
272,11947
273,11911
274,11948
275,11015
276,11017
277,21203
278,12373
279,11785
280,12449
281,23464
282,20846
283,21254
284,23463
285,6350
286,12160
287,17539
288,17540
289,20845
290,23916
291,9140
292,21620
293,21618
294,21629
295,6244
296,6400
297,6507
298,8299
299,8336
300,9039
301,8965
302,6340
303,12171
304,17538
305,17537
306,20812
307,20811
308,21272
309,21245
310,8891
311,24100
312,24227
313,24198
314,24202
315,13454
316,16186
317,17108
318,17513
319,4756
320,6662
321,10565
322,9887
323,10422
324,10332
325,10361
326,10373
327,10157
328,10442
329,4759
330,4769
331,8452
332,8729
333,8359
334,8395
335,14039
336,12468
337,12652
338,12592
339,11152
340,11245
341,10664
342,10623
343,10325
344,10485
345,10109
346,9789
347,9561
348,9185
349,9415
350,9186
351,10308
352,10352
353,12111
354,12088
355,12187
356,9361
357,8831
358,8653
359,22787
360,8257
361,9034
362,9017
363,9501
364,8245
365,24344
366,3399
367,3339
368,3343
369,3328
370,3330
371,5181
372,5213
373,18879
374,10390
375,5292
376,5315
377,10392
378,10305
379,10301
380,6127
381,5324
382,4272
383,6652
384,10144
385,4294
386,10106
387,18983
388,11809
389,28414
390,6934
391,6459
392,6598
393,6588
394,6594
395,4741
396,6611
397,6615
398,4537
399,6039
400,6702
401,7285
402,4936
403,5495
404,12655
405,13084
406,13086
407,12851
408,12386
409,8047
410,8019
411,9794
412,9976
413,10497
414,10189
415,12247
416,12213
417,10775
418,10934
419,10990
420,12736
421,11714
422,11782
423,11769
424,12017
425,12227
426,7112
427,7318
428,7848
429,7889
430,7933
431,9137
432,7567
433,9347
434,9613
435,11791
436,10339
437,11792
438,7570
439,28383
440,18710
441,8646
442,8645
443,8280
444,8232
445,8087
446,8093
447,15203
448,15099
449,8082
450,8038
451,10260
452,11186
453,11264
454,14251
455,9950
456,9824
457,14819
458,13491
459,12638
460,12215
461,12034
462,12006
463,11078
464,12196
465,11734
466,11334
467,16279
468,7662
469,6742
470,6726
471,12052
472,10478
473,9736
474,9900
475,9737
476,9492
477,9468
478,9300
479,9663
480,13166
481,10797
482,11097
483,12322
484,13268
485,12479
486,13235
487,12465
488,12544
489,13839
490,13733
491,10638
492,10899
493,11207
494,11120
495,11142
496,11167
497,28599
498,12776
499,12774
500,12949
501,24921
502,24627
503,24851
504,25235
505,25577
506,25928
507,14309
508,17978
509,25627
510,25707
511,23089
512,22403
513,23213
514,22957
515,24896
516,24588
517,24632
518,22187
519,23503
520,23949
521,24971
522,24842
523,24916
524,24966
525,24620
526,24568
527,24358
528,24254
529,23985
530,23900
531,25070
532,25276
533,25054
534,25366
535,23486
536,23492
537,23496
538,25791
539,25140
540,25294
541,24278
542,25025
543,24274
544,24401
545,25072
546,24304
547,24246
548,24085
549,24294
550,24300
551,957
552,955
553,23500
554,984
555,1230
556,1520
557,1732
558,2177
559,1964
560,2097
561,4719
562,4734
563,4745
564,4740
565,4818
566,4878
567,4824
568,4841
569,4842
570,4881
571,9127
572,9368
573,8588
574,8016
575,9109
576,7475
577,6753
578,6731
579,6495
580,6475
581,13405
582,7047
583,13985
584,7803
585,7537
586,6955
587,7527
588,7257
589,6867
590,6987
591,13392
592,13952
593,14248
594,14802
595,7254
596,6826
597,6698
598,6446
599,6112
600,7218
601,7060
602,7015
603,7260
604,7004
605,6580
606,6423
607,2588
608,2592
609,3840
610,2459
611,12983
612,12462
613,12502
614,13303
615,13675
616,14033
617,15085
618,14343
619,14847
620,14501
621,14064
622,14378
623,14666
624,15580
625,15762
626,15796
627,15926
628,16146
629,16328
630,16506
631,12173
632,12152
633,11955
634,11759
635,12715
636,13859
637,13977
638,13656
639,10978
640,13509
641,12789
642,12943
643,13093
644,13232
645,13325
646,13420
647,13036
648,13148
649,13221
650,13222
651,12890
652,13126
653,14438
654,14790
655,15019
656,15018
657,13687
658,12265
659,12266
660,13973
661,12191
662,11671
663,11277
664,11738
665,12302
666,12162
667,12054
668,12294
669,12328
670,12209
671,12766
672,10597
673,12647
674,12391
675,12525
676,12542
677,13068
678,12974
679,10743
680,10521
681,10507
682,10539
683,10577
684,11234
685,11314
686,11540
687,11554
688,11850
689,10766
690,11080
691,13057
692,13568
693,13816
694,14125
695,14126
696,23876
697,23856
698,23854
699,23844
700,23816
701,12701
702,13097
703,23652
704,23603
705,23431
706,23412
707,23234
708,23362
709,13335
710,13389
711,12099
712,12719
713,12753
714,12472
715,12915
716,12359
717,12395
718,12923
719,14966
720,15286
721,13162
722,13208
723,13409
724,14858
725,15030
726,13629
727,14698
728,15176
729,23677
730,23659
731,12726
732,12834
733,12748
734,12420
735,12335
736,12336
737,12848
738,13146
739,13368
740,13760
741,28345
742,7233
743,7055
744,7011
745,6996
746,6574
747,23752
748,23740
749,23590
750,23570
751,12458
752,12456
753,12460
754,12978
755,12977
756,13864
757,13861
758,12426
759,12246
760,12438
761,1335
762,1269
763,1235
764,1121
765,406
766,1459
767,1137
768,1233
769,1465
770,212
771,3217
772,3191
773,965
774,5624
775,5672
776,5788
777,671
778,5816
779,5858
780,2750
781,12919
782,13503
783,13769
784,13237
785,13113
786,14887
787,14681
788,15310
789,16287
790,19705
791,5445
792,25920
793,6199
794,26503
795,23929
796,23921
797,23924
798,23881
799,23833
800,23909
801,14845
802,14661
803,14114
804,14611
805,14260
806,14190
807,13918
808,13900
809,13756
810,13600
811,13133
812,13474
813,13280
814,13385
815,13536
816,12911
817,13574
818,12733
819,13594
820,13262
821,26345
822,27887
823,27905
824,27514
825,27169
826,27181
827,27715
828,27716
829,27801
830,27802
831,28380
832,28404
833,7557
834,7558
835,26350
836,26362
837,20045
838,7548
839,7589
840,26192
841,28831
842,28871
843,16104
844,16101
845,17064
846,11127
847,8308
848,8104
849,11035
850,11201
851,28922
852,16479
853,16455
854,16413
855,16383
856,28902
857,16483
858,16484
859,16319
860,16896
861,10887
862,11817
863,12390
864,12286
865,24059
866,24060
867,24067
868,24068
869,24071
870,24072
871,11061
872,20187
873,11145
874,11179
875,11199
876,11237
877,20212
878,11267
879,24061
880,24070
881,24080
882,24079
883,24143
884,24146
885,24089
886,24088
887,24108
888,24105
889,24106
890,24097
891,25890
892,8294
893,7230
894,20146
895,27246
896,25882
897,27619
898,27613
899,25900
900,25902
901,24074
902,21868
903,21944
904,24004
905,23512
906,23926
907,24063
908,20941
909,21567
910,21806
911,9252
912,9153
913,10073
914,11888
915,11961
916,9146
917,11997
918,12015
919,8640
920,12041
921,21137
922,21900
923,21517
924,21518
925,21206
926,21267
927,21277
928,21278
929,21257
930,21079
931,20206
932,20123
933,20083
934,19925
935,19909
936,29051
937,29076
938,29081
939,21256
940,21244
941,26608
942,26616
943,24205
944,22082
945,22748
946,22954
947,23094
948,23052
949,23012
950,22724
951,20230
952,26651
953,20074
954,19929
955,26643
956,26629
957,19801
958,26621
959,26601
960,3834
961,4052
962,4150
963,3880
964,2913
965,2777
966,2771
967,26668
968,26674
969,26680
970,26692
971,20250
972,20920
973,21074
974,21014
975,20986
976,21223
977,21230
978,20976
979,19891
980,19412
981,26722
982,26726
983,26730
984,26747
985,26749
986,26938
987,27007
988,27008
989,27014
990,27223
991,5466
992,5348
993,28476
994,5386
995,7808
996,7832
997,8291
998,17060
999,11837
1000,5936
1001,27166
1002,27176
1003,27713
1004,27714
1005,27799
1006,27800
1007,27863
1008,27864
1009,27877
1010,27878
1011,10087
1012,10682
1013,12275
1014,12276
1015,15946
1016,16306
1017,17313
1018,17314
1019,18074
1020,20631
1021,13294
1022,13371
1023,13711
1024,13695
1025,14069
1026,13356
1027,14179
1028,14776
1029,14806
1030,14978
1031,15484
1032,15566
1033,15314
1034,12732
1035,12811
1036,28677
1037,13660
1038,14026
1039,14332
1040,14480
1041,24396
1042,24395
1043,24340
1044,24339
1045,24190
1046,24008
1047,23968
1048,23870
1049,23624
1050,17764
1051,20731
1052,20746
1053,20253
1054,19839
1055,20388
1056,20580
1057,18599
1058,18600
1059,18161
1060,17735
1061,20418
1062,26717
