step,node
1,44
2,197
3,901
4,1085
5,1107
6,1358
7,1653
8,2152
9,2375
10,2633
11,2676
12,2694
13,4348
14,7245
15,9695
16,12254
17,12817
18,14957
19,15360
20,18828
21,22811
22,23015
23,23387
24,25459
25,26184
26,26232
27,26582
28,27905
29,27915
30,176
31,406
32,955
33,203
34,358
35,1036
36,1063
37,1050
38,1101
39,1121
40,1143
41,1171
42,1215
43,1422
44,1563
45,2157
46,2361
47,2444
48,2470
49,2483
50,2519
51,2865
52,3123
53,3119
54,3133
55,3145
56,3197
57,4044
58,4092
59,4116
60,4266
61,5181
62,5187
63,5209
64,5490
65,5869
66,6025
67,6382
68,6450
69,6702
70,7146
71,7249
72,7571
73,7688
74,10594
75,14229
76,17845
77,18150
78,19020
79,20354
80,21758
81,22874
82,23012
83,23094
84,22748
85,23392
86,23447
87,23661
88,24184
89,24205
90,24246
91,24309
92,24765
93,22536
94,24892
95,24902
96,25080
97,25168
98,25193
99,25377
100,25467
101,25543
102,25842
103,25882
104,26014
105,26164
106,26299
107,26409
108,26609
109,26625
110,26780
111,26987
112,27314
113,27533
114,27722
115,22
116,59
117,68
118,123
119,190
120,236
121,248
122,318
123,355
124,484
125,659
126,885
127,892
128,912
129,943
130,959
131,970
132,986
133,1070
134,1178
135,1233
136,1243
137,1324
138,1335
139,1337
140,1352
141,1378
142,1435
143,1574
144,1630
145,1645
146,1732
147,1964
148,2111
149,2174
150,2201
151,2244
152,2268
153,2309
154,2372
155,2439
156,2488
157,2523
158,2593
159,2655
160,2669
161,2682
162,2708
163,2954
164,3090
165,3100
166,3155
167,3166
168,3201
169,3226
170,3237
171,3251
172,3261
173,3286
174,3379
175,3510
176,3546
177,3768
178,3901
179,4039
180,4052
181,4081
182,4112
183,4140
184,4202
185,4354
186,4632
187,5315
188,5407
189,5958
190,6480
191,6726
192,6636
193,6787
194,7867
195,8469
196,8715
197,9195
198,9244
199,9308
200,9481
201,8962
202,9509
203,11255
204,12276
205,13152
206,14396
207,15261
208,16136
209,17314
210,17761
211,18167
212,19450
213,20412
214,20440
215,20448
216,20672
217,21177
218,21298
219,21328
220,21862
221,21918
222,21944
223,22069
224,22304
225,22468
226,22510
227,22544
228,22490
229,22380
230,22453
231,22592
232,22676
233,22712
234,22797
235,22899
236,23086
237,23244
238,23386
239,23489
240,23550
241,24004
242,24055
243,24367
244,24506
245,24654
246,24856
247,24952
248,25163
249,25208
250,25348
251,25368
252,25381
253,25581
254,25591
255,25659
256,25738
257,25790
258,25866
259,25900
260,25988
261,25998
262,26010
263,26127
264,26157
265,26204
266,26285
267,26391
268,26468
269,26684
270,26759
271,26951
272,26971
273,26973
274,27011
275,27031
276,27043
277,27088
278,27253
279,27542
280,27549
281,27631
282,27768
283,27868
284,29035
285,6423
286,12034
287,18795
288,102
289,132
290,142
291,389
292,435
293,444
294,505
295,567
296,494
297,593
298,616
299,666
300,720
301,742
302,671
303,696
304,778
305,852
306,806
307,1025
308,1016
309,1182
310,1267
311,1277
312,1239
313,1477
314,1554
315,1909
316,1664
317,1677
318,1727
319,1748
320,1805
321,2075
322,2130
323,1932
324,1891
325,1980
326,2089
327,2116
328,2335
329,2496
330,2613
331,2717
332,2875
333,2893
334,3404
335,3451
336,3916
337,3206
338,3961
339,4033
340,3937
341,4005
342,4020
343,4058
344,4073
345,4100
346,4361
347,4369
348,4374
349,4496
350,4896
351,5228
352,5240
353,5263
354,5374
355,5428
356,5038
357,5563
358,6173
359,5995
360,6006
361,5590
362,5694
363,5748
364,5903
365,5959
366,6123
367,6136
368,6199
369,6226
370,6164
371,6615
372,6127
373,5377
374,5579
375,5466
376,4872
377,5116
378,5178
379,5310
380,5900
381,6621
382,6779
383,6796
384,7107
385,7120
386,7268
387,7323
388,7449
389,7483
390,7857
391,7489
392,7968
393,8053
394,8062
395,8190
396,5830
397,8471
398,8511
399,8570
400,8647
401,8807
402,9411
403,8841
404,9874
405,9955
406,10167
407,9907
408,9906
409,11000
410,11164
411,11497
412,9312
413,11531
414,11686
415,11702
416,11881
417,12006
418,12103
419,12286
420,11015
421,9017
422,7079
423,11878
424,9014
425,9941
426,12456
427,12508
428,12901
429,12597
430,12655
431,13084
432,13104
433,13310
434,13656
435,13949
436,14906
437,13968
438,14571
439,15096
440,15446
441,15458
442,15982
443,16074
444,16260
445,16298
446,13821
447,13890
448,16739
449,17248
450,16769
451,17006
452,17627
453,17841
454,17942
455,17858
456,18144
457,18392
458,18485
459,18622
460,18754
461,18820
462,19255
463,19301
464,19455
465,19625
466,19642
467,19716
468,20208
469,19904
470,20246
471,20292
472,19737
473,18759
474,19294
475,20478
476,20602
477,20836
478,20976
479,21277
480,21485
481,21795
482,21820
483,21878
484,21948
485,22449
486,22724
487,22500
488,22515
489,22284
490,22576
491,22652
492,22744
493,22756
494,22792
495,22848
496,22855
497,22938
498,22968
499,23104
500,23151
501,23160
502,23285
503,23356
504,23560
505,23654
506,23774
507,23677
508,23666
509,23713
510,23193
511,23139
512,23234
513,23397
514,23712
515,23844
516,23531
517,23856
518,23884
519,23894
520,24052
521,24220
522,24361
523,24384
524,24274
525,23949
526,24404
527,24417
528,24442
529,24489
530,24575
531,24648
532,24735
533,24826
534,24836
535,24876
536,24790
537,24870
538,24888
539,24918
540,24990
541,24997
542,24971
543,25061
544,25090
545,25404
546,25966
547,26564
548,25103
549,25114
550,26835
551,8410
552,25994
553,7466
554,25258
555,25266
556,25272
557,25249
558,25344
559,25418
560,25360
561,25497
562,25333
563,25627
564,25494
565,25514
566,25597
567,25639
568,17777
569,27618
570,27619
571,25644
572,25713
573,25765
574,25770
575,25970
576,26892
577,26202
578,26026
579,25791
580,24512
581,24857
582,25120
583,25605
584,26100
585,26211
586,26305
587,26322
588,26350
589,26225
590,26365
591,26927
592,26337
593,26500
594,26550
595,26616
596,26660
597,26692
598,26755
599,26717
600,26772
601,26806
602,26846
603,26863
604,27140
605,27249
606,27287
607,27431
608,27482
609,27502
610,27638
611,27663
612,27684
613,27764
614,27730
615,84
616,76
617,163
618,304
619,183
620,212
621,217
622,222
623,265
624,269
625,284
626,287
627,332
628,379
629,404
630,398
631,558
632,687
633,766
634,787
635,790
636,818
637,826
638,772
639,758
640,845
641,920
642,931
643,949
644,977
645,996
646,1001
647,1053
648,1140
649,1371
650,1396
651,1433
652,1443
653,1454
654,1463
655,1484
656,1490
657,1511
658,1542
659,1559
660,1516
661,1595
662,1575
663,1703
664,1758
665,1766
666,1740
667,1777
668,1362
669,1688
670,1788
671,1845
672,1820
673,1844
674,1952
675,1858
676,1899
677,1985
678,1989
679,1942
680,1993
681,2024
682,2037
683,2029
684,2126
685,2281
686,2256
687,2306
688,2275
689,2406
690,2410
691,2582
692,2186
693,2219
694,2271
695,2537
696,2561
697,2565
698,2639
699,2745
700,2833
701,2803
702,2836
703,2855
704,2841
705,2829
706,2959
707,2972
708,2984
709,2761
710,3024
711,2913
712,4294
713,2588
714,3003
715,2454
716,1878
717,3021
718,3086
719,2771
720,2727
721,2848
722,3297
723,3313
724,3316
725,3364
726,3391
727,3410
728,3464
729,3698
730,3469
731,3851
732,3950
733,4002
734,4123
735,4142
736,4220
737,4177
738,4128
739,4251
740,4409
741,4279
742,4305
743,4186
744,4272
745,4960
746,4482
747,4664
748,4695
749,4989
750,4934
751,4500
752,4969
753,5010
754,5021
755,5004
756,5050
757,5024
758,4190
759,3996
760,5057
761,5068
762,5099
763,5289
764,5363
765,5393
766,5306
767,5456
768,5402
769,5515
770,5547
771,5546
772,5603
773,5622
774,5724
775,5576
776,5672
777,5884
778,6668
779,8388
780,5887
781,5919
782,5991
783,6484
784,5700
785,5998
786,6084
787,5735
788,6116
789,6139
790,5598
791,5170
792,5713
793,6072
794,5573
795,5676
796,5639
797,5688
798,5704
799,5721
800,6106
801,6334
802,4836
803,4837
804,5740
805,5763
806,6246
807,6284
808,6459
809,6507
810,6509
811,6520
812,6524
813,6659
814,6673
815,6602
816,6502
817,5980
818,6518
819,6713
820,6773
821,6826
822,6887
823,6899
824,7019
825,7426
826,7163
827,7184
828,7069
829,7123
830,7218
831,7221
832,7329
833,28380
834,7990
835,8308
836,6934
837,7458
838,7627
839,7671
840,7732
841,7770
842,7780
843,8281
844,8304
845,8329
846,8529
847,28476
848,7616
849,28359
850,7585
851,6760
852,6289
853,6913
854,7811
855,8342
856,8373
857,8426
858,8445
859,8460
860,8539
861,8651
862,8664
863,8758
864,8680
865,8712
866,8960
867,8939
868,9386
869,8736
870,9623
871,9173
872,9097
873,9192
874,9232
875,9252
876,9360
877,9408
878,9566
879,9613
880,11791
881,11142
882,10101
883,9617
884,9643
885,9927
886,9663
887,9719
888,10559
889,7861
890,9986
891,10040
892,9887
893,10119
894,10390
895,10565
896,9686
897,9702
898,10008
899,10080
900,10087
901,9075
902,8507
903,7710
904,9346
905,10228
906,10133
907,10188
908,10236
909,10323
910,10330
911,9909
912,9170
913,9060
914,9553
915,8299
916,8242
917,10442
918,10332
919,10929
920,22271
921,22448
922,7169
923,7225
924,7239
925,6840
926,5930
927,7578
928,7889
929,8119
930,8911
931,10347
932,10456
933,10467
934,10507
935,10623
936,9561
937,10870
938,10974
939,11429
940,11970
941,9827
942,10109
943,9678
944,10668
945,16495
946,3834
947,3538
948,3496
949,10689
950,10699
951,10708
952,11310
953,11067
954,10749
955,10956
956,11102
957,11097
958,11145
959,11237
960,11030
961,10544
962,10934
963,8965
964,9520
965,8831
966,10069
967,11186
968,11502
969,8730
970,8895
971,9309
972,9748
973,10224
974,11075
975,11110
976,11177
977,11416
978,10772
979,10519
980,10952
981,11245
982,11207
983,11651
984,11679
985,11605
986,12118
987,12107
988,12057
989,11438
990,11918
991,11462
992,11569
993,11612
994,11726
995,11857
996,12227
997,12630
998,12677
999,12624
1000,13232
1001,12545
1002,13044
1003,12774
1004,12844
1005,12964
1006,13289
1007,18722
1008,21182
1009,21310
1010,21426
1011,21664
1012,22619
1013,12418
1014,13030
1015,13036
1016,13610
1017,13087
1018,13126
1019,13197
1020,12322
1021,12247
1022,12094
1023,12430
1024,12611
1025,11906
1026,11337
1027,10704
1028,9849
1029,8910
1030,10342
1031,11598
1032,13185
1033,13222
1034,13245
1035,11671
1036,10993
1037,10049
1038,9621
1039,9817
1040,9950
1041,13268
1042,13360
1043,13428
1044,13962
1045,13700
1046,14372
1047,14638
1048,14448
1049,14384
1050,13992
1051,14874
1052,14945
1053,13515
1054,11997
1055,13685
1056,13787
1057,13819
1058,13861
1059,14023
1060,14114
1061,14661
1062,13692
1063,14328
1064,16345
1065,14172
1066,14309
1067,14435
1068,14438
1069,13833
1070,13506
1071,14006
1072,14484
1073,14694
1074,14986
1075,14568
1076,14756
1077,14994
1078,14996
1079,14672
1080,14966
1081,12915
1082,12012
1083,11966
1084,11820
1085,12647
1086,12338
1087,13057
1088,12438
1089,13122
1090,13377
1091,11891
1092,12217
1093,13777
1094,13670
1095,14293
1096,9513
1097,8432
1098,8875
1099,8501
1100,8184
1101,8224
1102,8392
1103,9137
1104,10248
1105,11734
1106,28490
1107,8646
1108,8954
1109,10817
1110,10482
1111,8214
1112,7683
1113,7784
1114,8969
1115,9247
1116,11448
1117,11375
1118,10890
1119,10295
1120,10221
1121,10622
1122,10695
1123,13589
1124,13956
1125,13385
1126,12099
1127,13097
1128,12692
1129,13280
1130,14176
1131,14608
1132,14364
1133,15074
1134,14776
1135,15109
1136,15115
1137,15246
1138,15487
1139,15536
1140,15590
1141,15613
1142,15626
1143,15634
1144,15692
1145,15799
1146,15930
1147,15986
1148,16052
1149,28859
1150,16168
1151,15934
1152,16319
1153,16196
1154,16444
1155,16170
1156,28731
1157,14347
1158,14064
1159,13808
1160,16331
1161,16358
1162,16218
1163,16509
1164,16560
1165,16386
1166,16577
1167,16920
1168,16098
1169,16570
1170,16581
1171,16587
1172,16814
1173,16826
1174,16831
1175,16846
1176,16926
1177,16953
1178,16973
1179,17774
1180,17048
1181,17130
1182,17450
1183,17229
1184,17286
1185,17292
1186,16674
1187,17407
1188,17789
1189,17471
1190,17714
1191,17709
1192,17847
1193,17901
1194,17959
1195,18021
1196,18046
1197,18087
1198,18682
1199,22315
1200,17912
1201,18142
1202,18235
1203,18285
1204,17972
1205,17853
1206,18303
1207,18482
1208,17861
1209,17650
1210,17334
1211,17394
1212,17145
1213,17410
1214,18545
1215,17735
1216,17904
1217,18019
1218,18550
1219,18852
1220,18033
1221,18569
1222,18588
1223,18619
1224,18879
1225,17856
1226,18942
1227,17163
1228,18947
1229,19058
1230,18853
1231,19062
1232,19478
1233,19725
1234,19147
1235,19245
1236,19346
1237,19394
1238,19426
1239,19580
1240,19839
1241,19949
1242,20092
1243,20126
1244,19500
1245,18964
1246,20239
1247,20243
1248,20187
1249,20271
1250,19929
1251,20102
1252,20641
1253,19991
1254,19407
1255,19209
1256,18927
1257,19766
1258,19581
1259,19806
1260,20383
1261,20434
1262,20567
1263,20777
1264,20696
1265,20730
1266,20737
1267,20794
1268,20811
1269,21225
1270,21116
1271,20748
1272,23464
1273,23479
1274,24294
1275,24302
1276,24342
1277,24281
1278,20896
1279,20929
1280,20974
1281,20980
1282,20989
1283,20813
1284,18579
1285,25146
1286,20168
1287,22428
1288,20712
1289,21052
1290,21079
1291,21089
1292,21094
1293,21259
1294,13733
1295,21152
1296,21087
