step,node
1,12766
2,7150
3,11237
4,12012
5,13660
6,17507
7,19897
8,26674
9,28730
10,203
11,520
12,621
13,633
14,3854
15,4179
16,6039
17,6127
18,6423
19,7263
20,7285
21,7466
22,7688
23,7844
24,8680
25,9368
26,9943
27,11759
28,12034
29,12187
30,12247
31,13057
32,13320
33,14203
34,14968
35,15085
36,15106
37,15599
38,15708
39,15899
40,16279
41,16328
42,17758
43,17789
44,18540
45,18795
46,21259
47,21725
48,22091
49,23325
50,23949
51,25025
52,25750
53,26616
54,28355
55,28589
56,44
57,102
58,132
59,142
60,176
61,191
62,197
63,224
64,358
65,371
66,389
67,406
68,419
69,435
70,444
71,451
72,468
73,505
74,524
75,586
76,609
77,666
78,671
79,681
80,732
81,778
82,806
83,852
84,901
85,949
86,955
87,1025
88,1036
89,1050
90,1053
91,1063
92,1085
93,1101
94,1107
95,1121
96,1143
97,1152
98,1192
99,1248
100,1293
101,1358
102,1362
103,1399
104,1477
105,1490
106,1554
107,1559
108,1563
109,1653
110,1661
111,1684
112,1723
113,1740
114,1748
115,1777
116,1797
117,1805
118,1845
119,1871
120,1883
121,1895
122,1980
123,2029
124,2075
125,2089
126,2116
127,2126
128,2152
129,2157
130,2275
131,2335
132,2361
133,2375
134,2398
135,2406
136,2444
137,2454
138,2466
139,2483
140,2496
141,2519
142,2539
143,2613
144,2633
145,2676
146,2682
147,2705
148,2733
149,2821
150,2848
151,2865
152,2871
153,2875
154,2913
155,2937
156,3119
157,3123
158,3133
159,3145
160,3188
161,3197
162,3242
163,3318
164,3332
165,3399
166,3424
167,3439
168,3447
169,3468
170,3496
171,3519
172,3531
173,3538
174,3594
175,3597
176,3616
177,3641
178,3693
179,3758
180,3794
181,3866
182,3890
183,3911
184,3916
185,3937
186,3961
187,3980
188,3998
189,4005
190,4024
191,4033
192,4058
193,4073
194,4100
195,4116
196,4142
197,4164
198,4177
199,4190
200,4220
201,4251
202,4266
203,4272
204,4279
205,4305
206,4315
207,4343
208,4348
209,4361
210,4374
211,4394
212,4413
213,4430
214,4437
215,4467
216,4491
217,4510
218,4537
219,4545
220,4556
221,4572
222,4590
223,4604
224,4618
225,4642
226,4656
227,4662
228,4699
229,4833
230,4872
231,4896
232,4929
233,4941
234,4978
235,4986
236,5019
237,5050
238,5109
239,5136
240,5178
241,5187
242,5209
243,5224
244,5263
245,5298
246,5327
247,5340
248,5377
249,5404
250,5490
251,5503
252,5547
253,5555
254,5563
255,5579
256,5635
257,5694
258,5748
259,5766
260,5774
261,5844
262,5854
263,5869
264,5900
265,5903
266,5912
267,5966
268,6030
269,6072
270,6112
271,6123
272,6152
273,6164
274,6173
275,6199
276,6214
277,6251
278,6322
279,6382
280,6414
281,6436
282,6450
283,6564
284,6602
285,6611
286,6647
287,6702
288,6726
289,6767
290,6796
291,6836
292,6853
293,6867
294,6889
295,6899
296,6987
297,6996
298,7065
299,7107
300,7218
301,7245
302,7260
303,7305
304,7352
305,7371
306,7376
307,7414
308,7449
309,7470
310,7477
311,7489
312,7502
313,7571
314,7579
315,7589
316,7641
317,7665
318,7671
319,7700
320,7735
321,7793
322,7803
323,7814
324,7923
325,7942
326,7968
327,7979
328,7990
329,8023
330,8033
331,8050
332,8053
333,8062
334,8100
335,8111
336,8190
337,8207
338,8224
339,8242
340,8257
