step,node
1,27455
2,4114
3,923
4,11145
5,9880
6,8762
7,5242
8,3769
9,24506
10,3172
11,26306
12,19136
13,1197
14,1070
15,3451
16,8946
17,9774
18,23343
19,27716
20,931
21,25660
22,8011
23,25373
24,19565
25,9261
26,21206
27,27046
28,13044
29,167
30,6212
31,20308
32,16089
33,13079
34,5971
35,9084
36,17108
37,3894
38,3380
39,18341
40,3560
41,18368
42,16714
43,12701
44,1598
45,23697
46,26857
47,5433
48,19440
49,3880
50,27712
51,14616
52,20593
53,8038
54,2604
55,1734
56,10845
57,14960
58,3097
59,11690
60,4002
61,21669
62,14890
63,24754
64,21272
65,6826
66,22119
67,20044
68,9488
69,14379
70,2653
71,7103
72,13175
73,6773
74,26203
75,22609
76,15744
77,11515
78,21460
79,6743
80,25276
81,23338
82,23531
83,999
84,4686
85,24491
86,513
87,24339
88,6594
89,9212
90,5555
91,1526
92,4297
93,26701
94,27279
95,17140
96,26252
97,22744
98,6701
99,4287
100,21352
101,15176
102,9074
103,26668
104,27311
105,21126
106,12860
107,2709
108,5392
109,2674
110,4998
111,23979
112,18092
113,17048
114,5416
115,24240
116,18915
117,11684
118,27475
119,19569
120,9705
121,28385
122,4530
123,2677
124,16228
125,28809
126,1762
127,24944
128,889
129,27058
130,2144
131,2980
132,21783
133,3179
134,25683
135,23022
136,11648
137,20800
138,1175
139,21620
140,9131
141,21314
142,15476
143,18122
144,5184
145,19225
146,27801
147,146
148,23824
149,24934
150,2273
151,24000
152,19209
153,25650
154,5803
155,26326
156,22899
157,7585
158,2264
159,6270
160,13313
161,3166
162,14472
163,26
164,25272
165,25239
166,5584
167,17478
168,26303
169,3619
170,18198
171,2148
172,23121
173,8570
174,23483
175,17910
176,22579
177,4198
178,3062
179,9252
180,27065
181,3326
182,20569
183,27098
184,19872
185,6
186,22539
187,7515
188,17209
189,274
190,2388
191,10248
192,29310
193,6991
194,5068
195,1116
196,5104
197,22122
198,1645
199,1920
200,26448
201,18933
202,1391
203,27156
204,21390
205,27345
206,2598
207,2679
208,25038
209,16866
210,22049
211,3408
212,5980
213,21211
214,23787
215,13910
216,4634
217,23215
218,27564
219,26843
220,26231
221,4401
222,26464
223,7443
224,12573
225,25654
226,25178
227,10670
228,15652
229,21717
230,16583
231,2500
232,5507
233,4929
234,1281
235,8291
236,379
237,24065
238,25065
239,5165
240,24071
241,5065
242,86
243,1642
244,27027
245,25374
246,1324
247,5263
248,1516
249,702
250,8445
251,1696
252,23060
253,5735
254,28320
255,26319
256,20959
257,4933
258,22988
259,2993
260,27810
261,24003
262,24146
263,20554
264,5754
265,20250
266,15256
267,4566
268,2227
269,2262
270,26498
271,17330
272,11017
273,16564
274,15793
275,21002
276,1115
277,26986
278,26540
279,26310
280,2330
281,1379
282,15253
283,17305
284,2726
285,6034
286,4590
287,4575
288,23833
289,19294
290,3250
291,17616
292,4462
293,8294
294,21395
295,6116
296,1850
297,19532
298,24395
299,2347
300,1061
301,27011
302,24148
303,269
304,2287
305,6073
306,4055
307,18144
308,22372
309,22351
310,5486
311,17313
312,1396
313,4039
314,14493
315,22
316,15512
317,7031
318,21753
319,7683
320,19034
321,25258
322,27889
323,22950
324,3831
325,4721
326,8176
327,5398
328,1427
329,26020
330,25090
331,1634
332,11922
333,1574
334,1088
335,26157
336,23007
337,23988
338,24857
339,4033
340,1386
341,24246
342,2044
343,4782
344,1967
345,26781
346,1820
347,6527
348,22561
349,4867
350,26048
351,6726
352,26927
353,26920
354,907
355,27631
356,2219
357,21260
358,26623
359,26042
360,24952
361,12275
362,7641
363,5564
364,10636
365,6495
366,11843
367,20423
368,3323
369,10689
370,23040
371,11404
372,1914
373,156
374,23273
375,26564
376,2771
377,2087
378,25826
379,6130
380,25235
381,8031
382,3503
383,14930
384,1848
385,7223
386,17736
387,9520
388,4202
389,22551
390,26350
391,11840
392,25874
393,123
394,26822
395,11334
396,2799
397,3758
398,8009
399,3131
400,3011
401,27024
402,4335
403,8544
404,10390
405,6276
406,16973
407,5588
408,8471
409,25758
410,25382
411,7697
412,1107
413,2585
414,23180
415,10076
416,960
417,51
418,18515
419,3776
420,8304
421,4621
422,24082
423,27641
424,23389
425,27864
426,162
427,3105
428,2168
429,4241
430,27546
431,860
432,21343
433,27732
434,4220
435,23701
436,3511
437,947
438,14015
439,21339
440,911
441,20746
442,6027
443,7940
444,2902
445,20976
446,23086
447,4475
448,28414
449,4764
450,5021
451,23391
452,488
453,5119
454,18019
455,23618
456,9501
457,11702
458,4715
459,3081
460,22315
461,905
462,25994
463,7072
464,6011
465,25567
466,21323
467,15987
468,7631
469,7163
470,524
471,5728
472,23408
473,18626
474,12958
475,2254
476,13582
477,29149
478,27593
479,23992
480,20251
481,965
482,3333
483,11217
484,5493
485,11961
486,954
487,3159
488,25135
489,21857
490,17949
491,25358
492,27871
493,3348
494,23443
495,6127
496,15119
497,1214
498,25536
499,30
500,6340
501,22662
502,25343
503,2167
504,21375
505,18377
506,3755
507,18117
508,18403
509,24594
510,20874
511,24568
512,17338
513,3919
514,5888
515,25104
516,23464
517,5212
518,18374
519,14766
520,4537
521,6692
522,16186
523,25114
524,2
525,4954
526,4844
527,3251
528,7529
529,24417
530,17142
531,18238
