step,node
0,36516
1,16346
2,18369
3,9363
4,3805
5,17502
6,27679
7,18804
8,18865
9,19191
10,19579
11,2830
12,23755
13,23195
14,4139
15,24572
16,4389
17,13724
18,3994
19,6147
20,4615
21,2899
22,10777
23,4647
24,32299
25,17437
26,17569
27,12871
28,23033
29,26842
30,33232
31,12802
32,32115
33,23365
34,15846
35,19368
36,22342
37,32186
38,17536
39,17879
40,18750
41,18091
42,18843
43,21105
44,30499
45,28722
46,33302
47,25002
48,32801
49,24296
50,23187
51,28788
52,32701
53,32777
54,32854
55,25442
56,26436
57,24717
58,29249
59,23973
60,22968
61,32630
62,19370
63,15079
64,21431
65,23737
66,22551
67,23692
68,19787
69,22926
70,22310
71,9552
72,9930
73,7041
74,11529
75,12457
76,25080
77,21937
78,12863
79,13360
80,13167
81,14481
82,12214
83,34465
84,12893
85,23820
86,13475
87,19765
88,3027
89,25076
90,15905
91,21631
92,25263
93,25243
94,20091
95,33909
96,21831
97,33151
98,27500
99,37619
100,21268
101,24780
102,24233
103,19705
104,18700
105,25356
106,29840
107,33751
108,29214
109,7956
110,28340
111,15539
112,257
113,28393
114,24655
115,28893
116,13596
117,26399
118,24829
119,26503
120,33138
121,22696
122,7096
123,28628
124,27070
125,27170
126,9262
127,15850
128,11434
129,6093
130,33128
131,31998
132,102
133,33261
134,33092
135,28193
136,24679
137,15608
138,15381
139,5522
140,12888
141,24555
142,24486
143,31420
144,16385
145,28595
146,16054
147,24898
148,30583
149,25170
150,27723
151,24708
152,19348
153,29624
154,29039
155,21338
156,28054
157,29052
158,29109
159,31640
160,29163
161,22019
162,571
163,1985
164,4455
165,2621
166,8643
167,6464
168,2293
169,34557
170,18539
171,26149
172,21757
173,3171
174,10978
175,10677
176,34325
177,14639
178,11291
179,22666
180,16180
181,16679
182,34358
183,2865
184,22097
185,16620
186,15232
187,1043
188,19100
189,15629
190,1228
191,17768
192,1099
193,16871
194,15838
195,35412
196,1083
197,9834
198,1153
199,30750
200,18386
201,1464
202,36717
203,3632
204,16539
205,20803
206,1423
207,35587
208,31774
209,3592
210,33827
211,9375
212,32837
213,35266
214,19207
215,31794
216,31261
217,29393
218,33803
219,20544
220,30106
221,27292
222,25422
223,26711
224,28673
225,35006
226,3619
227,34734
228,34856
229,35512
230,18893
231,3221
232,33241
233,24005
234,32707
235,11342
236,35132
237,34170
238,35612
239,27831
240,16431
241,19575
242,3218
243,24423
244,35190
245,34376
246,498
247,12348
248,31776
249,1903
250,23057
251,11117
252,25534
253,22046
254,26233
255,18351
256,2714
257,14911
258,20699
259,20020
260,37035
261,34495
262,1428
263,34783
264,7213
265,16695
266,34228
267,5363
268,1933
269,2597
270,28540
271,20131
272,19116
273,2305
274,27342
275,1865
276,4762
277,33394
278,5885
279,14853
280,13675
281,21088
282,15139
283,13581
284,33847
285,26981
286,20318
287,26029
288,22336
289,1729
290,3402
291,22182
292,1806
293,30847
294,3469
295,20939
296,31079
297,25558
298,33281
299,34015
300,5822
301,34091
302,2142
303,2733
304,8396
305,1588
306,1785
307,29690
308,35690
309,8100
310,34469
311,5223
312,9105
313,8728
314,31409
315,2468
316,23254
317,11586
318,2945
319,22490
320,9155
321,22876
322,33333
323,24470
324,1687
325,1652
326,2297
327,22987
328,33768
329,33601
330,20922
331,3278
332,7829
333,13411
334,35745
335,34849
336,17995
337,28206
338,2655
339,34708
340,30485
341,7975
342,20371
343,7184
344,31788
345,17910
346,363
347,23325
348,1040
349,725
350,883
351,10090
352,17695
353,1474
354,15939
355,34655
356,30707
357,722
358,2547
359,34454
360,23105
361,34874
362,5914
363,16570
364,3557
365,34682
366,25210
367,20532
368,14168
369,19887
370,3197
371,16648
372,29408
373,4041
374,8476
375,344
376,33540
377,24643
378,35203
379,2520
380,23459
381,29067
382,3654
383,32950
384,2480
385,5526
386,8523
387,37555
388,1828
389,3780
390,6504
391,30311
392,27673
393,12155
394,28199
395,33687
396,35636
397,29766
398,24517
399,35574
400,31008
401,11084
402,4689
403,22717
404,36893
405,30055
406,26518
407,35297
408,30854
409,3948
410,21668
411,21025
412,20770
413,34593
414,13150
415,2668
416,14759
417,34985
418,11818
419,18157
420,34520
421,28092
422,8081
423,16889
424,11167
425,13831
