step,node
1,36516
2,16612
3,28989
4,30000
5,30409
6,30514
7,30819
8,7213
9,12893
10,21431
11,9552
12,14783
13,3413
14,3619
15,6431
16,10993
17,13411
18,21105
19,725
20,2899
21,3291
22,3598
23,3948
24,3994
25,5033
26,5597
27,6186
28,7178
29,7395
30,7439
31,7653
32,7681
33,7844
34,8484
35,8530
36,8643
37,9375
38,11291
39,12871
40,14179
41,14633
42,14751
43,14953
44,15151
45,17021
46,17569
47,17713
48,19809
49,20916
50,23057
51,33281
52,33768
53,34508
54,35141
55,36931
56,46
57,90
58,114
59,162
60,173
61,196
62,253
63,269
64,348
65,363
66,415
67,460
68,498
69,567
70,571
71,594
72,627
73,689
74,718
75,739
76,752
77,802
78,824
79,833
80,883
81,914
82,932
83,1001
84,1013
85,1021
86,1029
87,1077
88,1099
89,1112
90,1150
91,1162
92,1187
93,1262
94,1327
95,1335
96,1408
97,1411
98,1434
99,1438
100,1518
101,1524
102,1556
103,1566
104,1600
105,1646
106,1678
107,1713
108,1730
109,1749
110,1784
111,1790
112,1816
113,1820
114,1828
115,1843
116,1883
117,1887
118,1897
119,1903
120,1909
121,1918
122,1961
123,2020
124,2064
125,2090
126,2093
127,2142
128,2159
129,2164
130,2190
131,2239
132,2272
133,2290
134,2413
135,2448
136,2459
137,2476
138,2480
139,2484
140,2493
141,2563
142,2571
143,2597
144,2603
145,2630
146,2696
147,2728
148,2753
149,2782
150,2793
151,2804
152,2823
153,2941
154,2945
155,3066
156,3101
157,3129
158,3193
159,3203
160,3218
161,3221
162,3233
163,3283
164,3301
165,3309
166,3325
167,3339
168,3362
169,3418
170,3456
171,3485
172,3609
173,3612
174,3632
175,3762
176,3798
177,3816
178,3829
179,3890
180,3978
181,4037
182,4048
183,4095
184,4126
185,4139
186,4151
187,4159
188,4200
189,4252
190,4322
191,4346
192,4360
193,4432
194,4435
195,4506
196,4550
197,4612
198,4671
199,4724
200,4858
201,4862
202,4868
203,4878
204,5009
205,5058
206,5090
207,5113
208,5310
209,5427
210,5435
211,5506
212,5509
213,5522
214,5600
215,5604
216,5659
217,5851
218,5935
219,6014
220,6048
221,6060
222,6128
223,6143
224,6204
225,6342
226,6412
227,6459
228,6517
229,6601
230,6620
231,6800
232,6894
233,6910
234,6982
235,7128
236,7191
237,7377
238,7443
239,7465
240,7602
241,7794
242,7837
243,8003
244,8022
245,8043
246,8111
247,8177
248,8188
249,8344
250,8556
251,8594
252,8604
253,8656
254,8670
255,8754
256,8769
257,8777
258,8782
259,8874
260,8936
261,9003
262,9030
263,9039
264,9052
265,9071
266,9145
267,9222
268,9313
269,9450
270,9648
271,9759
272,9766
273,9815
274,9820
275,9847
276,9958
277,10097
278,10114
279,10216
280,10265
281,10528
282,10673
283,10677
284,10742
285,10753
286,10777
287,10781
288,10876
289,10891
290,10929
291,10974
292,11014
293,11154
294,11222
295,11359
296,11392
297,11453
298,11455
299,11466
300,11490
301,11538
302,11569
303,11574
304,11598
305,11666
306,11747
307,11777
308,11852
309,12093
310,12142
311,12164
312,12171
313,12303
314,12331
315,12358
316,12361
317,12450
318,12464
319,12603
320,12622
321,12671
322,12680
323,12688
324,12693
325,12711
326,12747
327,12802
328,12825
329,12829
330,12867
331,12934
332,12974
333,13117
334,13122
335,13141
