step,node
0,3805
1,17502
2,27679
3,35010
4,27806
5,3941
6,18424
7,22987
8,4262
9,23048
10,25748
11,30599
12,33440
13,23334
14,3654
15,7062
16,7538
17,9000
18,25615
19,33551
20,106
21,897
22,29570
23,974
24,146
25,213
26,411
27,18369
28,1068
29,3768
30,4051
31,4192
32,4446
33,10767
34,12244
35,12258
36,30400
37,26159
38,26858
39,28125
40,32100
41,32879
42,33055
43,16346
44,31798
45,2830
46,9363
47,19705
48,16679
49,17768
50,17721
51,18409
52,36516
53,36524
54,24572
55,28540
56,9313
57,29214
58,4389
59,25002
60,15674
61,25879
62,18689
63,32837
64,498
65,28619
66,28455
67,29434
68,2733
69,28057
70,33092
71,35562
72,31814
73,7751
74,4139
75,18793
76,1240
77,35266
78,10252
79,1785
80,12711
81,27547
82,3090
83,232
84,23506
85,18681
86,29159
87,24317
88,28991
89,15905
90,15539
91,29163
92,2782
93,6542
94,28511
95,3001
96,30645
97,32380
98,535
99,24347
100,4762
101,32056
102,29805
103,35612
104,4612
105,30422
106,17624
107,35512
108,24704
109,26195
110,26272
111,15850
112,33020
113,35745
114,8656
115,25243
116,33594
117,33660
118,25238
119,11222
120,29551
121,30573
122,8081
123,35636
124,33407
125,31192
126,5935
127,4624
128,4578
129,32498
130,29588
131,24632
132,18128
133,31292
134,31284
135,19687
136,26000
137,32993
138,31306
139,29854
140,162
141,28486
142,31972
143,5427
144,27258
145,28393
146,12821
147,29363
148,32262
149,9222
150,29870
151,33321
152,31227
153,17400
154,321
155,3840
156,571
157,30857
158,24377
159,14589
160,747
161,718
162,28157
163,1518
164,28875
165,29899
166,34288
167,17844
168,4643
169,35262
170,11658
171,24568
172,31558
173,35607
174,26144
175,21866
176,29978
177,3557
178,30836
179,22486
180,20669
181,4363
182,13724
183,32842
184,31914
185,29400
186,30719
187,8799
188,2593
189,12353
190,24407
191,31113
192,23008
193,10216
194,23304
195,19342
196,24423
197,7587
198,29348
199,2488
200,2994
201,1143
202,17010
203,27387
204,26107
205,20177
206,33384
207,19837
208,34047
209,2223
210,18852
211,18924
212,18901
213,14014
214,18879
215,2765
216,30832
217,30759
218,5647
219,7203
220,5526
221,30084
222,30634
223,7184
224,5437
225,19033
226,2551
227,31079
228,32088
229,2571
230,13314
231,19406
232,33191
233,19628
234,29882
235,32938
236,32820
237,29690
238,26057
239,28023
240,28362
241,15349
242,31538
243,26544
244,30824
245,13054
246,13203
247,11380
248,19178
249,12599
250,16518
251,25558
252,2823
253,28406
254,32158
255,25548
256,4862
257,31902
258,114
259,27557
260,4506
261,25526
262,30712
263,11208
264,25866
265,15680
266,25576
267,30177
268,35238
269,32633
270,17569
271,12893
272,16425
273,21431
274,20825
275,2498
276,23195
277,18046
278,7213
279,9552
280,14783
281,13411
282,15233
283,21105
284,3619
285,10993
286,3413
287,23755
288,6431
289,12871
290,23057
291,2899
292,8643
293,3994
294,3598
295,3485
296,24236
297,17017
298,16871
299,16965
300,17695
301,9375
302,19370
303,32186
304,25114
305,23033
306,18804
307,18625
308,17879
309,22342
310,21640
311,18091
312,16306
313,18865
314,32294
315,28963
316,16695
317,22592
318,23091
319,23072
320,18079
321,18465
322,18182
323,18215
324,30583
325,33261
326,33751
327,32299
328,32799
329,23880
330,33343
331,32233
332,35587
333,24180
334,32777
335,20861
336,20318
337,32866
338,7870
339,4392
340,6147
341,24245
342,28046
343,33302
344,24922
345,24717
346,23544
347,27980
348,26842
349,14308
350,22541
351,22170
352,19981
353,3948
354,22556
355,22481
356,21338
357,6014
358,22114
359,19787
360,37423
361,13471
362,19606
363,19657
364,20752
365,19207
366,20994
367,20803
368,18700
369,34325
370,23365
371,28788
372,32177
373,33155
374,29971
375,32194
376,28725
377,31776
378,29371
379,30106
380,27865
381,27796
382,15079
383,7681
384,7728
385,36931
386,6186
387,29331
388,12676
389,8594
390,17713
391,15795
392,22087
393,17970
