step,node
1,17328
2,17614
3,15658
4,17327
5,16758
6,16346
7,13995
8,18668
9,18499
10,17768
11,19635
12,19575
13,18865
14,17569
15,17777
16,18177
17,16607
18,18739
19,18597
20,18395
21,24508
22,17437
23,17559
24,23880
25,20421
26,22807
27,21903
28,23195
29,23890
30,23651
31,23544
32,24540
33,30845
34,4392
35,32299
36,25044
37,28709
38,23163
39,27831
40,4139
41,19606
42,18995
43,18826
44,18825
45,18471
46,18103
47,17857
48,17389
49,16963
50,16809
51,24180
52,20803
53,23654
54,23199
55,21019
56,24086
57,20738
58,21273
59,22071
60,21163
61,18824
62,18821
63,18878
64,18700
65,18747
66,18150
67,19173
68,18819
69,18833
70,18152
71,16695
72,19403
73,17017
74,16871
75,16233
76,16389
77,21640
78,20242
79,18539
80,17811
81,15674
82,15582
83,21457
84,19368
85,18586
86,16306
87,15897
88,16124
89,15763
90,15846
91,17883
92,17953
93,18625
94,17539
95,17525
96,18772
97,16745
98,15949
99,16539
100,17467
101,18465
102,18131
103,18091
104,18035
105,19644
106,19066
107,18947
108,18754
109,17713
110,16740
111,33232
112,33302
113,33252
114,33214
115,32801
116,33085
117,33281
118,33316
119,32799
120,28084
121,28601
122,32701
123,26842
124,30106
125,30352
126,31798
127,30536
128,28209
129,32284
130,31783
131,28722
132,29971
133,32194
134,30790
135,32520
136,32718
137,32756
138,32792
139,32950
140,32445
141,1343
142,1985
143,1745
144,1639
145,2621
146,2459
147,2453
148,3585
149,4538
150,4307
151,23365
152,24489
153,4206
154,25143
155,25263
156,24930
157,3666
158,3798
159,24898
160,24885
161,3619
162,3675
163,3829
164,3948
165,3876
166,4017
167,4200
168,4216
169,4234
170,3221
171,29249
172,2804
173,2853
174,28963
175,2894
176,2910
177,3383
178,3955
179,4012
180,4011
181,32235
182,32219
183,32115
184,29802
185,29624
186,26933
187,29272
188,32096
189,32033
190,32248
191,26755
192,25203
193,25213
194,25226
195,25006
196,12540
197,13006
198,13724
199,5597
200,7802
201,25080
202,26880
203,25256
204,26010
205,25022
206,29840
207,37468
208,7096
209,29773
210,29746
211,12802
212,27382
213,27254
214,12867
215,4689
216,12550
217,12882
218,26976
219,26711
220,26414
221,20444
222,22346
223,10083
224,24773
225,24901
226,25180
227,25098
228,24940
229,25434
230,24780
231,25219
232,24974
233,25094
234,25611
235,11833
236,28054
237,24829
238,28416
239,28595
240,24655
241,7484
242,8643
243,9394
244,9051
245,9052
246,10126
247,7931
248,30885
249,30583
250,8717
251,6342
252,5015
253,5865
254,6140
255,6366
256,6464
257,6474
258,4977
259,11434
260,13922
261,25356
262,25058
263,26208
264,25800
265,20922
266,28362
267,28350
268,28370
269,28390
270,21086
271,25099
272,25116
273,24708
274,24448
275,23820
276,33971
277,33909
278,34325
279,28556
280,34329
281,12391
282,24933
283,25068
284,25300
285,25333
286,23895
287,24287
288,20657
289,37555
290,12450
291,26445
292,24351
293,24648
294,24555
295,24568
296,24903
297,26478
298,26503
299,27044
300,25059
301,24757
302,24683
303,24692
304,24841
305,25463
306,25063
307,24909
308,22782
309,23921
310,23373
311,10908
312,10722
313,3027
314,3113
315,9567
316,2785
317,2753
318,35412
319,12032
320,3129
321,12888
322,12918
323,12917
324,12129
325,12379
326,12597
327,9329
328,6093
329,13596
330,20635
331,24679
332,22746
333,27269
334,25149
335,25633
336,26799
337,24000
338,24250
339,23033
340,23216
341,6227
342,6131
343,6451
344,5401
345,9375
346,4817
347,5932
348,6645
349,20811
350,10851
351,13172
352,13343
353,36532
354,36520
355,36569
356,13310
357,14783
358,11150
359,11529
360,16753
361,12961
362,21431
363,13167
364,13672
365,14751
366,14384
367,15079
368,22053
369,15608
370,15389
371,28310
372,28140
373,26634
374,27566
375,21757
376,22019
377,24296
378,24750
379,24226
380,24175
381,11586
382,12555
383,4452
384,6504
385,5323
386,4573
387,5797
388,4643
389,1153
390,8976
391,12228
392,9834
393,21814
394,21025
395,21298
396,20091
397,20755
398,25474
399,21592
400,12607
401,12893
402,6601
403,8150
404,12628
405,8548
406,12320
407,9030
408,9864
409,11274
410,7213
411,8418
412,7822
413,7733
414,8108
415,10227
416,9467
417,11167
418,11827
419,12265
420,13193
421,15375
