step,node
1,3805
2,106
3,146
4,213
5,411
6,706
7,897
8,974
9,1068
10,3024
11,3036
12,3238
13,3654
14,3768
15,3852
16,3941
17,4051
18,4192
19,4262
20,4270
21,4446
22,7062
23,7538
24,8966
25,10767
26,12244
27,12258
28,17502
29,18424
30,18606
31,22987
32,23048
33,23334
34,25615
35,25748
36,25767
37,26159
38,26858
39,27679
40,27806
41,27814
42,28125
43,29570
44,30400
45,30599
46,30623
47,32100
48,32879
49,33055
50,33288
51,33375
52,33437
53,33551
54,34964
55,35010
56,114
57,162
58,232
59,356
60,348
61,480
62,498
63,529
64,564
65,571
66,600
67,718
68,747
69,1143
70,1240
71,1518
72,1785
73,2223
74,2551
75,2571
76,2593
77,2488
78,2733
79,2765
80,2782
81,2823
82,2830
83,2994
84,3001
85,3090
86,3840
87,4048
88,4095
89,4142
90,4159
91,4171
92,4346
93,4377
94,4360
95,4432
96,4435
97,4506
98,4578
99,4624
100,4612
101,4762
102,4806
103,4862
104,5427
105,5437
106,5647
107,5526
108,5935
109,6542
110,7184
111,7203
112,7443
113,7587
114,7602
115,7676
116,7765
117,7864
118,8003
119,8081
120,8656
121,8799
122,9068
123,9222
124,9313
125,9363
126,10216
127,10252
128,11208
129,11222
130,11380
131,11658
132,12353
133,12599
134,12711
135,12821
136,13054
137,13203
138,13314
139,14014
140,14589
141,15349
142,15539
143,15674
144,15680
145,15850
146,16518
147,17010
148,17400
149,17511
150,17624
151,17844
152,18128
153,18200
154,18244
155,18304
156,18438
157,18554
158,18572
159,18681
160,18689
161,18793
162,18852
163,18879
164,18885
165,19342
166,19033
167,19406
168,19687
169,19837
170,19628
171,20177
172,20669
173,21866
174,22486
175,23008
176,23304
177,23506
178,24108
179,24124
180,24208
181,24317
182,24347
183,24377
184,24407
185,24423
186,24568
187,24572
188,24632
189,24704
190,25238
191,25243
192,25526
193,25548
194,25558
195,25576
196,25866
197,25879
198,26000
199,26033
200,26057
201,26073
202,26093
203,26107
204,26272
205,26544
206,26587
207,27258
208,27387
209,27547
210,27557
211,27973
212,28023
213,28057
214,28157
215,28362
216,28446
217,28455
218,28654
219,28486
220,28393
221,28511
222,28583
223,28619
224,28875
225,28991
226,29159
227,29163
228,29214
229,29348
230,29363
231,29400
232,29434
233,29551
234,29588
235,29690
236,29805
237,29854
238,29870
239,29882
240,29899
241,29978
242,30084
243,30177
244,30422
245,30573
246,30634
247,30645
248,30712
249,30719
250,30832
251,30759
252,30836
