step,node
1,7213
2,12893
3,21431
4,9552
5,14783
6,3413
7,3619
8,6431
9,10993
10,13411
11,21105
12,36516
13,725
14,2899
15,3291
16,3598
17,3805
18,3948
19,3994
20,5033
21,5597
22,6025
23,6186
24,6426
25,7178
26,7395
27,7439
28,7653
29,7681
30,7714
31,7844
32,8484
33,8530
34,8594
35,8643
36,9375
37,11291
38,11627
39,11666
40,12871
41,14179
42,14633
43,14751
44,14953
45,15151
46,17021
47,17569
48,17713
49,19809
50,20916
51,23057
52,33281
53,33768
54,34508
55,35141
56,36656
57,36931
58,36962
59,46
60,90
61,106
62,114
63,136
64,146
65,162
66,173
67,196
68,209
69,224
70,253
71,269
72,348
73,356
74,363
75,370
76,411
77,460
78,472
79,498
80,535
81,564
82,567
83,571
84,587
85,594
86,621
87,627
88,665
89,689
90,706
91,718
92,735
93,752
94,802
95,824
96,833
97,845
98,883
99,897
100,907
101,914
102,936
103,974
104,981
105,1013
106,1021
107,1029
108,1040
109,1052
110,1068
111,1083
112,1099
113,1112
114,1135
115,1143
116,1150
117,1162
118,1173
119,1187
120,1221
121,1240
122,1262
123,1304
124,1320
125,1327
126,1335
127,1340
128,1389
129,1408
130,1411
131,1434
132,1438
133,1490
134,1503
135,1518
136,1524
137,1544
138,1552
139,1556
140,1588
141,1600
142,1608
143,1620
144,1646
145,1670
146,1678
147,1695
148,1700
149,1707
150,1711
151,1730
152,1749
153,1760
154,1784
155,1790
156,1816
157,1820
158,1828
159,1843
160,1865
161,1883
162,1887
163,1897
164,1903
165,1909
166,1913
167,1918
168,1933
169,1943
170,1982
171,1987
172,1999
173,2020
174,2064
175,2093
176,2142
177,2159
178,2164
179,2180
180,2190
181,2223
182,2226
183,2239
184,2272
185,2290
186,2364
187,2408
188,2427
189,2448
190,2459
191,2468
192,2476
193,2484
194,2493
195,2551
196,2558
197,2563
198,2571
199,2589
200,2597
201,2630
202,2635
203,2714
204,2728
205,2733
206,2753
207,2782
208,2793
209,2804
210,2823
211,2941
212,2945
213,2954
214,2990
215,3024
216,3046
217,3078
218,3129
219,3145
220,3193
221,3203
222,3218
223,3221
224,3233
225,3238
226,3273
227,3283
228,3301
229,3309
230,3325
231,3339
232,3344
233,3350
234,3362
235,3418
236,3456
237,3459
238,3485
239,3554
240,3609
241,3612
242,3662
243,3694
244,3768
245,3801
246,3829
247,3840
248,3852
249,3890
250,3941
251,3978
252,4037
253,4048
254,4051
255,4095
256,4139
257,4142
258,4151
259,4159
260,4171
261,4192
262,4200
263,4252
264,4262
265,4322
266,4346
267,4360
268,4377
269,4432
270,4435
271,4446
272,4506
273,4550
274,4578
275,4602
276,4624
277,4671
278,4709
279,4720
280,4724
281,4762
282,4781
283,4789
284,4801
285,4833
286,4862
287,4868
288,4878
289,4948
290,5009
291,5052
292,5058
293,5090
294,5113
295,5141
296,5164
297,5270
298,5310
299,5408
300,5427
301,5432
302,5435
303,5437
304,5493
305,5506
306,5509
307,5522
308,5600
309,5604
310,5629
311,5659
312,5686
313,5737
314,5928
315,5932
316,5935
317,5953
318,5955
319,6007
320,6014
321,6060
322,6064
323,6107
324,6128
325,6143
326,6147
327,6342
328,6355
329,6412
330,6421
331,6492
332,6513
333,6601
334,6620
335,6639
336,6660
337,6665
338,6710
339,6800
340,6839
341,6845
342,6855
343,6860
344,6894
345,6966
346,6982
347,6986
348,7004
349,7011
350,7062
351,7092
352,7106
353,7128
354,7184
355,7191
356,7203
357,7313
358,7374
359,7443
360,7465
361,7473
362,7538
363,7562
364,7570
365,7602
366,7629
367,7728
368,7762
369,7771
370,7794
371,7808
372,7811
373,7822
374,7837
375,7864
376,7975
377,7992
378,8003
379,8043
380,8081
381,8096
382,8111
383,8177
384,8188
385,8239
386,8260
387,8274
388,8288
389,8311
390,8368
391,8371
392,8396
393,8508
394,8519
395,8556
396,8590
397,8604
398,8656
399,8670
400,8694
401,8728
402,8754
403,8769
404,8777
405,8782
406,8792
407,8813
408,8843
409,8847
410,8869
411,8874
412,8885
413,8911
414,8932
415,8966
416,9008
417,9024
418,9030
419,9039
420,9052
421,9068
422,9113
423,9145
424,9217
425,9222
426,9239
427,9252
428,9270
429,9313
430,9363
431,9440
432,9492
433,9648
434,9740
435,9759
436,9766
437,9786
438,9806
439,9815
440,9820
441,9935
442,9976
443,9983
444,9994
445,10097
446,10114
447,10118
448,10216
449,10220
450,10252
451,10265
452,10318
453,10330
454,10378
455,10438
456,10471
457,10485
458,10528
459,10534
460,10543
461,10586
462,10627
463,10640
464,10673
465,10703
466,10742
467,10753
468,10767
469,10781
470,10827
471,10853
472,10876
473,10891
474,10929
475,10939
476,10974
477,11014
478,11069
479,11084
480,11142
481,11154
482,11172
483,11181
484,11228
485,11283
486,11303
487,11355
488,11359
489,11380
490,11392
491,11420
492,11453
493,11455
494,11466
495,11472
496,11490
497,11499
498,11520
499,11538
500,11569
501,11574
502,11598
503,11658
504,11706
505,11713
506,11744
507,11747
508,11777
509,11837
510,11852
511,11889
512,11896
513,11918
514,11945
515,12015
516,12027
517,12032
518,12058
519,12083
520,12112
521,12114
522,12142
523,12168
524,12171
525,12220
526,12223
527,12244
528,12248
529,12258
530,12267
531,12284
532,12291
533,12344
534,12348
535,12350
536,12358
537,12375
538,12379
539,12421
540,12425
541,12450
542,12482
543,12495
544,12540
545,12580
546,12590
547,12599
548,12603
549,12622
550,12652
551,12671
552,12680
553,12693
554,12711
555,12740
556,12743
557,12772
558,12802
559,12809
560,12821
561,12825
562,12851
563,12867
564,12934
565,12948
566,12958
567,12974
568,13054
569,13073
570,13094
571,13107
572,13117
573,13122
574,13150
575,13184
576,13196
577,13244
578,13288
579,13291
580,13317
581,13343
582,13399
583,13471
