step,node
1,28041
2,4448
3,953
4,32412
5,11841
6,38573
7,9699
8,5518
9,32656
10,4203
11,29926
12,32740
13,24467
14,3649
15,27180
16,18803
17,1320
18,1231
19,4032
20,9812
21,10580
22,22660
23,27501
24,1119
25,25437
26,8705
27,32089
28,29216
29,31741
30,24660
31,19024
32,9899
33,20173
34,26613
35,12945
36,36699
37,199
38,34023
39,36227
40,6733
41,31796
42,21457
43,16394
44,13180
45,6645
46,10538
47,34511
48,16211
49,4299
50,3973
51,18182
52,4116
53,18152
54,16501
55,27977
56,12720
57,2030
58,33386
59,21351
60,25071
61,5310
62,20075
63,3448
64,25972
65,14201
66,29326
67,28955
68,17359
69,27110
70,9299
71,32814
72,3038
73,2103
74,31015
75,11598
76,35486
77,14455
78,3628
79,11301
80,4424
81,18462
82,13828
83,21616
84,30119
85,18173
86,7906
87,18198
88,17786
89,10050
90,31921
91,13536
92,33313
93,32686
94,30861
95,3221
96,29621
97,30393
98,7755
99,25754
100,34381
101,12228
102,7386
103,22630
104,18709
105,13515
106,30764
107,32950
108,27089
109,11146
110,32877
111,16405
112,37151
113,2625
114,11382
115,1482
116,16207
117,19888
118,14006
119,2961
120,10939
121,28189
122,34337
123,16265
124,10673
125,31913
126,24581
127,19779
128,31383
129,22736
130,7147
131,13548
132,6415
133,12702
134,35721
135,27888
136,26901
137,13592
138,37049
139,29121
140,21308
141,29268
142,20030
143,18536
144,11108
145,38537
146,25763
147,25478
148,4123
149,2439
150,4819
151,7529
152,31658
153,7604
154,33905
155,21562
156,30190
157,2895
158,19922
159,19563
160,30619
161,24107
162,27234
163,13811
164,28295
165,442
166,34263
167,35739
168,5266
169,34284
170,27770
171,15221
172,32796
173,18014
174,5000
175,15861
176,22610
177,8239
178,23890
179,67
180,37655
181,37380
182,14299
183,26000
184,10240
185,26598
186,4738
187,32486
188,16524
189,33082
190,26533
191,31712
192,10655
193,7324
194,19944
195,8031
196,28402
197,27988
198,6
199,31413
200,17799
201,25757
202,795
203,5036
204,19560
205,16923
206,13145
207,2799
208,13460
209,29891
210,3765
211,4045
212,25823
213,3358
214,28524
215,38540
216,6249
217,34454
218,25254
219,29382
220,8581
221,15029
222,28367
223,32552
224,23158
225,11986
226,29003
227,35765
228,11238
229,17543
230,21809
231,35182
232,38280
233,20328
234,23765
235,27957
236,24361
237,5802
238,14496
239,12655
240,3090
241,18947
242,861
243,31786
244,30790
245,13031
246,32037
247,12468
248,291
249,3504
250,33798
251,2839
252,13167
253,3395
254,1520
255,18804
256,3584
257,28435
258,36560
259,16708
260,35553
261,26705
262,12207
263,29688
264,6609
265,31470
266,31720
267,26208
268,14565
269,26219
270,23072
271,10916
272,4538
273,4668
274,35452
275,24054
276,19838
277,24086
278,23216
279,26146
280,2725
281,35380
282,35150
283,4748
284,3015
285,22489
286,19256
287,5321
288,15233
289,11037
290,11142
291,30304
292,25305
293,7735
294,24173
295,10740
296,16795
297,26191
298,15938
299,3847
300,25089
301,31263
302,4713
303,2568
304,35730
305,30741
306,550
307,4577
308,14628
309,9344
310,23427
311,28079
312,27723
313,13107
314,23334
315,2912
316,9243
317,22023
318,32
319,22766
320,16544
321,26281
322,17451
323,24431
324,31962
325,28134
326,8874
327,11833
328,37279
329,13621
330,2969
331,33189
332,31340
333,3203
334,18819
335,2842
336,2563
337,33470
338,27741
339,29209
340,30824
341,8972
342,2915
343,29629
344,4121
345,11396
346,3735
347,38260
348,3595
349,36659
350,23763
351,6696
352,33135
353,15897
354,33522
355,34188
356,2288
357,35310
358,35985
359,25102
360,33733
361,32987
362,30736
363,19240
364,16636
365,12913
366,19154
367,15441
368,17729
369,23627
370,7369
371,18630
372,27439
373,19587
374,3884
375,378
376,27477
377,35697
378,33837
379,5110
380,3982
381,32161
382,13763
383,30583
384,17133
385,7587
386,20956
387,3710
388,16112
389,22399
390,18187
391,9529
392,26471
393,32752
394,19075
395,35600
396,32009
397,312
398,33218
399,18852
400,5586
401,8235
402,17208
403,6545
404,6480
405,33648
406,9695
407,18010
408,18282
409,35620
410,14430
411,21263
412,13630
413,17528
414,31068
415,30037
416,16807
417,2865
418,4789
419,26341
420,18269
421,2342
422,256
423,21080
424,7935
425,17556
426,10723
427,28651
428,33650
429,26695
430,34321
431,411
432,6204
433,4082
434,9748
435,33565
436,2060
437,23472
438,35289
439,33951
440,9710
441,27288
442,7745
443,2269
444,20028
445,23519
446,2333
447,22983
448,14980
449,17213
450,5940
451,23040
452,34609
453,26124
454,10562
455,16762
456,11397
457,12265
458,26414
459,1324
460,13006
461,21667
462,26530
463,17274
464,18388
465,11524
466,6426
467,24725
468,2172
469,30307
470,16001
471,14330
472,29790
473,24044
474,20628
475,16439
476,16774
477,1343
478,13692
479,25789
480,21866
481,19164
482,3921
483,19319
484,23365
485,32902
486,26187
487,35538
488,22066
489,1497
490,6767
491,18421
492,12767
493,18669
494,2093
495,6269
496,28919
497,23403
498,21125
499,29074
500,33400
501,7526
502,25572
503,14403
504,18453
505,2571
506,29192
507,44
508,33847
509,34856
510,15277
511,24605
512,28981
513,3992
514,22541
515,21400
516,8585
517,20619
518,33442
519,21067
520,27874
521,22602
522,27654
523,20448
524,35631
525,9030
526,14595
527,28802
528,25693
529,12904
530,21019
531,27989
532,35542
533,12
534,21268
535,20063
536,16419
537,29497
538,22696
539,31590
540,30276
541,30290
542,16376
543,34051
544,32374
545,12634
546,4645
547,20676
548,34361
549,23521
550,5166
551,17548
552,21891
553,16886
554,15408
555,11028
556,1377
557,2903
558,18237
559,32842
560,4167
561,31431
562,28834
563,15049
564,27645
565,33666
566,28228
567,18409
568,11349
569,321
570,6705
571,29903
572,16866
573,13199
574,35055
575,32547
576,2780
577,18865
578,8478
579,32226
580,9732
581,32790
582,35716
583,22968
584,31202
585,34635
586,30113
587,31472
588,12271
589,33277
590,31791
591,19705
592,18861
593,20430
594,35442
595,33628
596,18401
597,20057
598,31218
599,4427
600,20666
601,18104
602,19981
603,24128
604,23651
605,4554
606,10459
607,11882
608,18094
609,27733
610,11857
611,16978
612,3742
613,29872
614,29440
615,24230
616,33212
617,30047
618,3672
619,16640
620,30482
621,28563
622,989
623,27799
624,33941
625,257
626,27451
627,23099
628,28594
629,30631
630,17999
631,34690
632,17832
633,20473
634,32082
635,34581
636,1719
637,28590
638,24780
639,29556
640,13045
641,33727
642,9170
643,1600
644,29089
645,1588
646,4862
647,31965
648,10627
649,33593
650,15266
651,3062
652,20192
653,28345
654,24553
655,17587
656,33353
657,24457
658,24966
659,28319
660,20973
661,31505
662,19605
663,4786
664,34407
665,1021
666,3183
667,25940
668,18199
669,4088
670,2385
671,1828
672,19408
673,16731
674,1070
675,12489
676,19409
677,9895
678,34939
679,25383
680,3619
681,22204
682,34823
683,7895
684,18917
685,26704
686,10114
687,29703
688,15920
689,5262
690,23563
691,23724
692,35323
693,28646
694,27596
695,3592
696,29691
697,31435
698,5064
699,35506
700,13211
701,3404
702,22739
703,665
704,34598
705,36622
706,23199
707,25785
708,34058
709,35344
710,16385
711,16969
712,35327
713,27752
714,6603
715,2272
716,23408
717,26742
718,32630
719,24351
720,9148
721,3251
722,26968
723,30310
724,12921
725,32823
726,27785
727,23709
728,31361
729,3902
730,32177
731,22460
732,30379
733,1097
734,15626
735,21260
736,18175
737,25554
738,16239
739,2300
740,20256
741,25798
742,14948
743,444
744,33043
745,18102
746,32541
747,20068
748,3344
749,18828
750,36971
751,16026
752,24884
753,34240
754,32777
755,19204
756,28015
757,4675
758,18573
759,5657
760,28951
761,21242
762,26169
763,11580
764,24524
765,32326
766,35168
767,22126
768,31088
769,19969
770,19543
771,18660
772,33172
773,29109
774,23905
775,11408
776,14789
777,33528
778,10016
779,33111
780,35731
781,2793
782,11976
783,34484
784,19497
785,10871
786,30145
787,19830
788,23767
789,24651
790,27024
791,16926
792,15546
793,752
794,20389
795,33764
796,14651
797,6103
798,20369
799,8359
800,16231
801,32621
802,36430
803,15735
804,12889
805,34938
806,24648
807,28773
808,34917
809,12292
810,23307
811,241
812,22659
813,6910
814,2651
815,10082
816,30305
817,18410
818,20811
819,23847
820,31456
821,10553
822,32130
823,20728
824,26998
825,29749
826,21338
827,19712
828,32938
829,405
830,3040
831,13544
832,9492
833,18508
834,28813
835,10660
836,14492
837,28010
838,24480
839,17180
840,20770
841,24000
842,22928
843,16372
844,19540
845,31533
846,23779
847,15701
848,16808
849,29576
850,20553
851,12703
852,14516
853,11428
854,10929
855,3944
856,30725
857,7143
858,15596
859,3962
860,32235
861,23509
862,32546
863,29385
864,6518
865,7406
866,8895
867,31879
868,21729
869,13554
870,31447
871,27859
872,32734
873,23824
874,25743
875,13594
876,3295
877,34678
878,7541
879,14528
880,9837
881,18053
882,6014
883,15363
884,333
885,30857
886,23830
887,4098
888,13281
889,1451
890,1760
891,24559
892,14815
893,30509
894,4151
895,28114
896,36792
897,32919
898,22429
899,3474
900,282
901,25356
902,14222
903,21460
904,22118
905,20180
906,16980
907,6826
908,1784
909,12278
910,22081
911,3845
912,34934
913,2126
914,19209
915,22863
916,2461
917,25400
918,28272
919,30702
920,1749
921,5078
922,4894
923,35307
924,25127
925,15795
926,2899
927,12385
928,4081
929,24951
930,33567
931,19862
932,27516
933,27052
934,34442
935,28223
936,10590
937,33899
938,24013
939,18766
940,21086
941,21059
942,15558
943,26735
944,20202
945,16488
946,25619
947,28465
948,1943
949,28054
950,33251
951,3956
952,35443
953,8799
954,28853
955,9274
956,13704
957,30750
958,2782
