step,node
0,2847
1,6295
2,6218
3,11973
4,8896
5,4063
6,9441
7,8976
8,6173
9,9203
10,9026
11,9176
12,5551
13,7072
14,3289
15,3714
16,7257
17,11479
18,523
19,8955
20,11541
21,10809
22,4630
23,8769
24,4015
25,3658
26,3534
27,10235
28,10270
29,10204
30,8879
31,4419
32,7328
33,4343
34,4735
35,4315
36,4126
37,4326
38,4472
39,4790
40,5814
41,6127
42,12870
43,7830
44,1152
45,3038
46,2217
47,926
48,1030
49,7530
50,5064
51,5697
52,13287
53,12900
54,4866
55,8560
56,7245
57,6313
58,9631
59,7264
60,9159
61,7142
62,7007
63,7350
64,8661
65,6523
66,7205
67,6921
68,11036
69,6611
70,7440
71,5096
72,12250
73,11200
74,10919
75,6110
76,7575
77,10024
78,11393
79,4493
80,8251
81,705
82,1508
83,1101
84,1027
85,12610
86,12257
87,4102
88,862
89,1967
90,2151
91,2154
92,8393
93,5917
94,6870
95,7102
96,6025
97,9123
98,6002
99,6423
100,13819
101,9129
102,5887
103,13854
104,11583
105,11952
106,6965
107,7987
108,8535
109,6047
110,8887
111,10293
112,3408
113,13058
114,10252
115,8875
116,4021
117,1612
118,8263
119,4206
120,10169
121,9511
122,4267
123,11757
124,1599
125,1047
126,2481
127,12416
128,10475
129,11894
130,3626
131,10712
132,3103
133,4938
134,3229
135,10348
136,3838
137,8379
138,11568
139,14883
140,1084
141,7581
142,2953
143,900
144,3239
145,1626
146,6398
147,7149
148,11064
149,10610
150,652
151,3056
152,4834
153,12963
154,5497
155,1872
156,424
157,3949
158,5687
159,2788
160,7776
161,13192
162,12579
163,544
164,1857
165,1624
166,477
167,2362
168,6232
169,5404
170,3006
171,10909
172,7749
173,6080
174,4971
175,2983
176,5471
177,5016
178,9626
179,8224
180,14411
181,1293
182,6270
183,2886
184,2313
185,4531
186,5826
187,6469
188,8457
189,1426
190,8081
191,2895
192,1014
193,10766
194,6882
195,1941
196,7493
197,7355
198,13257
199,13201
200,13891
201,6007
202,7193
203,14143
204,1814
205,4967
206,5379
207,13187
208,12710
209,1830
210,14128
211,5474
212,1772
213,10855
214,9572
215,5340
216,12543
217,2761
218,5612
219,12190
220,2858
221,11418
222,6985
223,14483
224,2119
225,4798
226,2828
227,11115
228,8219
229,10424
230,13344
231,2647
232,3914
233,1188
234,1693
235,9705
236,13128
237,1558
238,7656
239,3675
240,3550
241,11619
242,7211
243,9717
244,1725
245,1753
246,4795
247,12151
248,5452
249,9010
250,10124
251,1530
252,7561
253,10683
254,7339
255,8004
256,226
257,634
258,1862
259,3930
260,952
261,8669
262,3504
263,4536
264,10523
265,8060
266,1471
267,3682
268,10566
269,813
270,7648
271,9415
272,13025
273,9386
274,2926
275,7343
276,3817
277,893
278,267
279,3619
280,10090
281,8344
282,9961
283,12677
284,10046
285,6724
286,7679
287,13278
288,7901
289,7928
290,8092
291,11895
292,3811
293,12404
294,8014
295,10218
296,10020
297,10618
298,7305
299,11178
300,6998
301,6348
302,14327
303,3013
304,2581
305,2938
306,6344
307,9207
308,11458
309,7249
310,6357
311,7032
312,13684
313,9938
314,4452
315,13041
316,2499
317,7061
318,9541
319,4164
320,10014
321,203
322,3644
323,9986
324,4615
325,8839
326,6255
327,13973
328,12925
329,11282
330,6583
331,14440
332,6393
333,4115
334,5192
335,404
336,1354
337,12476
338,6546
339,4724
340,13872
341,3999
342,7309
343,2268
344,10401
345,5056
346,6894
347,12023
348,8029
349,581
350,4210
351,6634
352,16
353,12858
354,12438
355,2192
356,13361
357,11328
358,6553
359,7811
360,8612
361,10114
362,11348
363,9443
364,12965
365,13028
366,5399
367,10997
368,10502
369,7611
370,9732
371,5799
372,11863
373,5845
374,306
375,10093
376,4647
377,8196
378,12601
379,12275
380,9892
381,8522
382,4784
383,10368
384,12721
385,5074
386,10281
387,6487
388,97
389,3300
390,8414
391,10984
392,4214
393,1397
394,10775
395,11194
396,12474
397,11448
398,11208
399,9083
400,11411
401,5646
402,11109
403,3334
404,4445
405,1486
406,10450
407,6769
408,7899
409,5140
410,44
411,945
412,4288
413,130
414,857
415,4518
416,12233
417,11095
418,286
419,8182
420,11521
421,12622
422,1450
