step,node
1,2804
2,5365
3,6218
4,4315
5,4938
6,5551
7,14395
8,6295
9,2836
10,8479
11,1693
12,7072
13,10779
14,11260
15,11973
16,1872
17,3041
18,3609
19,3615
20,4291
21,4321
22,5612
23,6467
24,6511
25,7082
26,7257
27,7493
28,7513
29,7738
30,8379
31,9207
32,9423
33,10290
34,13754
35,14225
36,2
37,139
38,160
39,226
40,257
41,284
42,289
43,324
44,390
45,410
46,424
47,477
48,482
49,523
50,544
51,584
52,641
53,686
54,700
55,705
56,718
57,762
58,781
59,806
60,846
61,893
62,926
63,956
64,977
65,1006
66,1043
67,1053
68,1059
69,1089
70,1108
71,1167
72,1190
73,1270
74,1276
75,1327
76,1342
77,1365
78,1382
79,1415
80,1422
81,1450
82,1482
83,1568
84,1596
85,1599
86,1607
87,1672
88,1676
89,1753
90,1809
91,1818
92,1862
93,1915
94,1938
95,1964
96,2030
97,2034
98,2056
99,2104
100,2119
101,2151
102,2168
103,2205
104,2263
105,2315
106,2350
107,2362
108,2416
109,2430
110,2456
111,2526
112,2661
113,2704
114,2730
115,2745
116,2772
117,2831
118,2843
119,2904
120,2910
121,2926
122,2953
123,2990
124,2996
125,3057
126,3086
127,3103
128,3166
129,3193
130,3203
131,3212
132,3239
133,3247
134,3285
135,3289
136,3296
137,3334
138,3351
139,3374
140,3402
141,3416
142,3441
143,3456
144,3504
145,3526
146,3538
147,3541
148,3602
149,3619
150,3637
151,3649
152,3661
153,3702
154,3798
155,3830
156,3849
157,3853
158,3873
159,3923
160,3936
161,3977
162,3986
163,4015
164,4021
165,4048
166,4053
167,4098
168,4102
169,4126
170,4158
171,4214
172,4232
173,4355
174,4362
175,4412
176,4460
177,4505
178,4530
179,4536
180,4584
181,4589
182,4631
183,4635
184,4644
185,4684
186,4687
187,4707
188,4724
189,4741
190,4746
191,4750
192,4784
193,4809
194,4824
195,4869
196,4929
197,5016
198,5056
199,5133
200,5140
201,5192
202,5250
203,5277
204,5304
205,5316
206,5362
207,5447
208,5452
209,5479
210,5600
211,5609
212,5642
213,5656
214,5678
215,5684
216,5697
217,5723
218,5729
219,5763
220,5781
221,5806
222,5815
223,5834
224,5845
225,5881
226,5922
227,5944
228,5950
229,6080
230,6102
231,6133
232,6137
233,6232
234,6255
235,6272
236,6313
237,6379
238,6408
239,6419
240,6450
241,6553
242,6585
243,6590
244,6593
245,6625
246,6634
247,6654
248,6702
249,6788
250,6811
251,6820
252,6828
253,6856
254,6917
255,6928
256,6941
257,6965
258,7002
259,7020
260,7032
261,7149
262,7165
263,7193
264,7205
265,7216
266,7249
267,7339
268,7350
269,7355
270,7440
271,7469
272,7537
273,7570
274,7600
275,7607
276,7643
277,7714
278,7758
279,7813
280,7895
281,7899
282,7913
283,7929
284,7987
285,8009
286,8014
287,8036
288,8092
289,8129
290,8183
291,8196
292,8224
293,8251
294,8326
295,8333
296,8375
297,8440
298,8447
299,8464
300,8516
301,8526
302,8612
303,8638
304,8731
305,8735
306,8753
307,8761
308,8797
309,8801
310,8822
311,8839
312,8879
313,8887
314,8896
315,8910
316,8955
317,8992
318,9019
319,9042
320,9123
321,9129
322,9159
323,9172
324,9200
