step,node
0,9441
1,11479
2,4374
3,5273
4,12161
5,11874
6,8896
7,3714
8,6173
9,7257
10,6218
11,700
12,523
13,5917
14,11458
15,4130
16,8839
17,4053
18,11091
19,12334
20,5763
21,11895
22,4750
23,810
24,5133
25,485
26,10901
27,3666
28,9705
29,6931
30,11973
31,6894
32,11965
33,12653
34,12543
35,3
36,609
37,8976
38,4063
39,9216
40,6295
41,10323
42,13361
43,10176
44,6292
45,9203
46,5651
47,2886
48,5551
49,11541
50,8955
51,10809
52,11406
53,4938
54,7072
55,14395
56,4419
57,4321
58,1693
59,9176
60,10779
61,11260
62,3239
63,7082
64,4343
65,9207
66,4015
67,14872
68,8669
69,2847
70,5365
71,8379
72,7317
73,3609
74,7581
75,14225
76,9614
77,9950
78,8950
79,13757
80,3289
81,3534
82,4267
83,5479
84,4630
85,13854
86,5806
87,3658
88,926
89,5096
90,7832
91,4315
92,3038
93,7493
94,7328
95,2217
96,9037
97,4252
98,4021
99,3930
100,5034
101,5205
102,7245
103,6071
104,5575
105,13494
106,4911
107,7575
108,14401
109,13875
110,4464
111,12875
112,9423
113,12900
114,13072
115,5447
116,4007
117,1422
118,11894
119,6469
120,10475
121,3615
122,1967
123,1006
124,9114
125,12548
126,7550
127,10348
128,12345
129,8251
130,5904
131,6965
132,6511
133,6828
134,7895
135,10261
136,5056
137,705
138,11068
139,6002
140,7193
141,6251
142,7440
143,6423
144,6301
145,10256
146,6313
147,6398
148,8865
149,770
150,544
151,862
152,2837
153,1500
154,2151
155,2205
156,3307
157,4136
158,11393
159,2023
160,3923
161,8708
162,9511
163,1375
164,11583
165,11757
166,8797
167,836
168,10204
169,5471
170,13937
171,11625
172,3273
173,4149
174,3496
175,3619
176,1872
177,3193
178,2549
179,6393
180,7205
181,8041
182,2719
183,3109
184,3025
185,7350
186,2362
187,9689
188,1519
189,1717
190,13287
191,7561
192,2034
193,7749
194,7007
195,11952
196,13058
197,7149
198,2501
199,4158
200,11027
201,7901
202,6590
203,3252
204,10919
205,8533
206,4799
207,2926
208,8393
209,2260
210,4472
211,8224
212,3791
213,2950
214,10424
215,7530
216,7383
217,432
218,4214
219,5494
220,9168
221,6506
222,424
223,12579
224,9987
225,7611
226,2481
227,7929
228,13132
229,13197
230,12672
231,2904
232,2938
233,10174
234,5612
235,13818
236,8036
237,7983
238,4791
239,2755
240,5221
241,8790
242,10290
243,8748
244,1001
245,4824
246,1450
247,4987
248,6255
249,12714
250,4206
251,12493
252,7555
253,3717
254,1612
255,10924
256,6593
257,497
258,7238
259,11041
260,1607
261,6363
262,5002
263,10610
264,2921
265,6998
266,1047
267,3550
268,667
269,1657
270,3515
271,12526
272,7339
273,12135
274,916
275,9879
276,4530
277,4724
278,240
279,3374
280,9645
281,1676
282,12466
283,5437
284,8009
285,1444
286,7504
287,10120
288,8310
289,6450
290,12442
291,13022
292,3849
293,7981
294,7264
295,934
296,7648
297,1818
298,5950
299,8769
300,7219
301,12188
302,3774
303,6146
304,3937
305,9240
306,6769
307,12233
308,8644
309,9022
310,5380
311,863
312,1314
313,893
314,724
315,1014
316,3013
317,4659
318,6732
319,2104
320,197
321,4460
322,7738
323,1089
324,9893
325,1585
326,9740
327,11080
328,400
329,10913
330,10458
331,10090
332,12610
333,5325
334,7913
335,10960
336,12725
337,13292
338,5237
339,14073
340,1775
341,6489
342,10977
343,12446
344,5346
345,5967
346,2734
347,6935
348,4098
349,5666
350,6007
351,12891
352,7447
353,2772
354,7355
355,7966
356,2115
357,10490
358,5047
359,7987
360,2430
361,10705
362,1762
363,9415
364,10941
365,6147
366,13719
367,9374
368,11531
369,124
370,7142
371,9156
372,2490
373,2060
374,11447
375,157
376,13257
377,1583
378,1397
379,6679
380,11178
381,9997
382,10680
383,10093
384,1866
385,8544
386,10056
387,10394
388,10662
389,5074
390,199
391,1482
392,4784
393,4615
394,1412
395,10159
396,11296
397,11499
398,6102
399,5149
400,12831
401,5628
402,3606
403,4956
404,8444
405,12925
406,4917
407,8452
408,11147
409,1733
410,5308
411,9094
412,4717
413,13090
414,9304
415,11282
416,10991
417,11539
418,12952
419,8879
420,13293
421,6856
422,2141
