step,node
1,8942
2,9464
3,10377
4,10383
5,10352
6,10353
7,10416
8,11009
9,11010
10,11036
11,11757
12,11683
13,12345
14,12108
15,12416
16,8454
17,10003
18,9441
19,8793
20,8800
21,8735
22,8976
23,9138
24,11583
25,7328
26,9882
27,11289
28,11453
29,11584
30,10523
31,10833
32,10913
33,11357
34,11542
35,11541
36,11577
37,3289
38,3265
39,2941
40,3077
41,10876
42,11364
43,11545
44,11543
45,11574
46,11621
47,3714
48,3868
49,4630
50,2441
51,4799
52,5987
53,5243
54,5297
55,3038
56,3702
57,2961
58,7676
59,3624
60,4365
61,4635
62,4903
63,13811
64,13815
65,13959
66,2217
67,2730
68,2698
69,2828
70,14863
71,2172
72,2823
73,2168
74,2213
75,2231
76,2816
77,2727
78,2695
79,2950
80,2953
81,929
82,1152
83,1599
84,2490
85,2496
86,1587
87,1365
88,1585
89,926
90,4419
91,617
92,1006
93,1030
94,700
95,573
96,485
97,570
98,489
99,544
100,1964
101,5014
102,10261
103,10559
104,10235
105,5074
106,9645
107,5176
108,9729
109,10236
110,5494
111,8769
112,9249
113,9007
114,9250
115,10230
116,9207
117,9189
118,9197
119,10260
120,10558
121,10256
122,9870
123,10598
124,10232
125,10252
126,10426
127,8379
128,10207
129,8644
130,8654
131,8910
132,9123
133,9172
134,9182
135,9178
136,9186
137,8987
138,6928
139,6894
140,6930
141,10248
142,14483
143,10053
144,10054
145,10204
146,10107
147,10108
148,10203
149,10340
150,10315
151,5497
152,4770
153,5084
154,5479
155,5365
156,4866
157,4446
158,959
159,4666
160,4522
161,4948
162,956
163,963
164,2764
165,2763
166,2234
167,2233
168,1746
169,952
170,893
171,3225
172,3381
173,3789
174,3595
175,3790
176,2881
177,3229
178,2068
179,4217
180,4548
181,4464
182,4452
183,4897
184,4876
185,4911
186,5446
187,5551
188,4240
189,1171
190,1291
191,3615
192,2787
193,2780
194,2772
195,2774
196,2445
197,2065
198,2066
199,4048
200,3780
201,4355
202,4964
203,4932
204,4759
205,4944
206,4925
207,3712
208,3711
209,3374
210,3590
211,3408
212,3224
213,3768
214,3767
215,3750
216,3244
217,3252
218,4263
219,3162
220,4235
221,3411
222,3723
223,3739
224,3751
225,3818
226,3817
227,3255
228,4102
229,2926
230,3247
231,9019
232,9148
233,9216
234,9029
235,7233
236,7729
237,8259
238,8955
239,8694
240,8106
241,9287
242,9473
243,9664
244,9663
245,10114
246,10113
247,10288
248,10705
249,10287
250,10497
251,6025
252,6071
253,6235
254,3709
255,3691
256,6320
257,4031
258,4490
259,4488
260,4015
261,13757
262,4681
263,4531
264,4659
265,4656
