step,node
1,4370
2,5273
3,11479
4,11874
5,12158
6,7257
7,3
8,482
9,523
10,700
11,806
12,3666
13,3714
14,4053
15,4130
16,4536
17,4750
18,5133
19,5763
20,5815
21,6173
22,6292
23,6856
24,6931
25,8839
26,8896
27,10901
28,11091
29,11458
30,11824
31,11895
32,11965
33,12334
34,12337
35,12543
36,12653
37,28
38,49
39,86
40,215
41,443
42,485
43,509
44,581
45,810
46,834
47,1717
48,2098
49,3680
50,3743
51,3989
52,3996
53,4046
54,4477
55,4664
56,5165
57,5462
58,5579
59,5651
60,5914
61,5917
62,6386
63,6661
64,6716
65,6722
66,6752
67,6762
68,6860
69,7689
70,7692
71,8054
72,8527
73,8705
74,8708
75,8914
76,9037
77,9146
78,9405
79,9535
80,9676
81,9677
82,9682
83,9754
84,9840
85,10152
86,10361
87,10410
88,10499
89,10928
90,10936
91,11222
92,11406
93,11434
94,11476
95,11508
96,11515
97,11557
98,11605
99,11652
100,11855
101,11858
102,11892
103,11959
104,12161
105,12244
106,12366
107,12514
108,12694
109,13101
110,13224
111,13361
112,13393
113,13395
114,13459
115,13486
116,13494
117,13644
118,13645
119,14166
120,14181
121,11973
122,3609
123,390
124,410
125,432
126,231
127,2
128,226
129,449
130,588
131,641
132,640
133,770
134,781
135,846
136,893
137,959
138,1006
139,1084
140,1422
141,1607
142,1652
143,1763
144,1857
145,2023
146,2034
147,2260
148,2787
149,2895
150,2938
151,3006
152,3013
153,3086
154,3151
155,3307
156,3374
157,3496
158,3526
159,3534
160,3507
161,3619
162,3649
163,3661
164,3704
165,3830
166,3849
167,3949
168,3977
169,3930
170,4015
171,4048
172,4063
173,4174
174,4217
175,4252
176,4343
177,4460
178,4568
179,4530
180,4724
181,4606
182,4615
183,4684
184,4731
185,4784
186,4799
187,5016
188,5056
189,5140
190,5192
191,5221
192,5308
193,5346
194,5447
195,5467
196,5845
197,5922
198,5950
199,5967
200,5874
201,5948
202,6133
203,6007
204,6585
205,6593
206,6702
207,6788
208,6820
209,6828
210,6837
211,6894
212,6928
213,6941
214,7202
215,7245
216,7249
217,7383
218,7550
219,7561
220,7895
221,9207
222,9182
223,9176
224,8987
225,7046
226,8009
227,8084
228,8310
229,8333
230,8340
231,8457
232,8516
233,8526
234,8612
235,8748
236,8822
237,8786
238,8865
239,8976
240,9019
241,9022
242,9033
243,8999
244,9069
245,9216
246,9138
247,9240
248,8766
249,9296
250,9386
251,9441
252,9737
253,9788
254,9874
255,9892
256,9899
257,9981
258,10056
259,10093
260,9812
261,10176
262,10204
263,10235
264,9645
265,10260
266,10281
267,10394
268,10450
269,10472
270,10534
271,10625
272,10695
273,10909
274,10917
275,11178
276,11194
277,11393
278,11543
279,11593
280,11880
281,11907
282,11952
283,11955
284,11802
285,12013
286,11920
287,11924
288,12017
289,12030
290,12148
291,12193
292,12188
293,12190
294,12358
295,12233
296,12254
297,12466
298,12442
299,12458
300,12480
301,12493
302,12526
303,12677
304,12772
305,12579
306,12952
307,12994
308,13072
309,13172
310,13206
311,13280
312,12861
313,12875
314,12891
315,13875
316,14070
317,14408
318,9
319,61
320,89
321,103
322,139
323,136
324,143
325,32
326,66
327,153
328,193
329,167
330,197
331,199
332,247
333,252
334,306
335,313
336,368
337,289
338,400
339,439
340,544
341,686
342,454
343,477
344,527
345,551
346,584
347,424
348,364
349,355
350,324
351,345
352,331
353,652
354,669
355,762
356,825
357,926
358,773
359,857
360,956
361,1014
362,872
363,900
364,914
365,916
366,1010
367,917
368,1001
369,934
370,1034
371,1155
372,1027
373,1171
374,1180
375,1206
376,1339
377,1375
378,1435
379,1444
380,1446
381,1210
382,1471
383,1474
384,1964
385,1314
386,1583
387,1758
388,1830
389,1841
390,1741
391,1868
392,1880
393,1599
394,1885
395,2130
396,2268
397,2491
398,2496
399,3166
400,2499
401,2654
402,2661
403,2766
404,2904
405,2993
406,3025
407,3065
408,3073
409,3129
410,3193
411,3136
412,3155
413,2905
414,2973
415,3041
416,3264
417,3077
418,3289
419,3319
420,3325
421,3340
422,3296
423,3169
424,3377
425,3454
426,3477
427,3482
428,3578
429,3873
430,3923
431,3641
432,3466
433,3459
434,3056
435,3712
436,3774
437,3786
438,4102
439,4210
440,3834
441,3844
442,3911
443,4106
444,3955
445,4021
446,3986
447,3853
448,3682
449,3959
450,3825
451,3964
452,3894
453,4031
454,3791
455,3599
456,3806
457,3624
458,3709
459,3841
460,3908
461,13684
462,3999
463,4068
464,3838
465,3726
466,4115
467,13692
468,3885
469,3381
470,4133
471,4164
472,4178
473,4199
474,4214
475,4235
476,4256
477,4159
478,4277
479,4182
480,4271
481,13711
482,4324
483,4433
484,4436
485,4455
486,4631
487,4641
488,4668
489,4681
490,4692
491,4702
492,4735
493,4754
494,4656
495,4790
496,4791
497,4619
498,4909
499,4917
500,4956
501,4971
502,5051
503,5010
504,5078
505,5205
506,5034
507,5096
508,5226
509,8014
510,7913
511,8263
512,5014
513,4240
514,4362
515,3370
516,5086
517,5101
518,5137
519,5235
520,5143
521,5176
522,5211
523,5220
524,5399
525,5295
526,5281
527,5378
528,5413
529,5422
530,5440
531,5454
532,5466
533,5366
534,5512
535,5532
536,5542
537,5575
538,5578
539,5616
540,5646
541,5712
542,5768
543,5850
544,5932
545,5944
546,5987
547,5998
548,5818
549,5788
550,6012
551,6066
552,6071
553,5404
554,13831
555,6114
556,6179
557,6201
558,5795
559,5694
560,5687
561,7023
562,5145
563,5452
564,6225
565,6298
566,6393
567,6428
568,6453
569,6469
570,6611
571,6532
572,5650
573,6536
574,8281
575,6596
576,6624
577,6695
578,6728
579,6782
580,6908
581,6549
582,6944
583,6970
584,6979
585,7005
586,7039
587,7149
588,7053
589,7092
590,7116
591,7126
592,7229
593,7232
594,7233
595,7313
596,7447
597,7581
598,7828
599,7940
600,7832
601,7836
602,7870
603,7946
604,8008
605,8033
606,8092
607,8234
608,8125
609,8124
610,8879
611,9220
612,9253
613,10232
614,8277
615,8294
616,8313
617,8306
618,8231
619,8318
620,8522
621,8494
622,8544
623,8533
624,9193
625,9423
626,8566
627,8590
628,7182
629,7417
630,8620
631,8560
632,8490
633,8622
634,8669
635,8761
636,9987
637,8679
638,8779
639,8784
640,8858
641,8883
642,8801
643,8464
644,8452
645,8817
646,8835
647,8875
648,9687
649,8995
650,9063
651,9065
652,9052
653,9056
654,9094
655,8897
656,8921
657,8845
658,8937
659,9152
660,9154
661,9199
662,9233
663,9278
664,9299
665,9438
666,9323
667,9541
668,9304
669,9546
670,9590
671,9609
672,9619
673,9639
674,9689
675,9655
676,9614
677,9732
678,9752
679,9755
680,9830
681,9770
682,9721
683,9708
684,9114
685,8974
686,9263
687,9910
688,9942
689,9961
690,9996
691,10030
692,9999
693,10148
694,10159
695,9933
696,10003
697,7765
698,9445
699,10192
700,10195
701,10418
702,10270
703,9622
704,10248
705,10315
706,10207
707,10299
708,9954
709,10371
710,10349
711,10365
712,10397
713,10424
714,10433
715,10461
716,10475
717,10924
718,10478
719,10488
720,10964
721,10559
722,10632
723,10662
724,11038
725,10672
726,10552
727,10701
728,10649
729,10598
730,10252
731,9415
732,9340
733,9345
734,9367
735,10708
736,10801
737,10776
738,10602
739,10779
740,11109
741,10687
742,10861
743,10868
744,10439
745,10887
746,8661
747,8393
748,8475
749,8182
750,9715
