step,node
1,1693
2,2804
3,4315
4,4938
5,5365
6,5551
7,7072
8,10779
9,11260
10,11973
11,14395
12,1872
13,3041
14,3609
15,3615
16,4291
17,4321
18,5612
19,6218
20,6295
21,6467
22,6511
23,7082
24,7257
25,7493
26,7513
27,7738
28,8379
29,9207
30,9423
31,10290
32,13754
33,14225
34,2
35,139
36,160
37,226
38,257
39,284
40,289
41,324
42,390
43,410
44,424
45,477
46,482
47,523
48,544
49,584
50,641
51,686
52,700
53,705
54,718
55,762
56,781
57,806
58,846
59,893
60,926
61,956
62,977
63,1006
64,1043
65,1053
66,1059
67,1089
68,1108
69,1167
70,1190
71,1270
72,1276
73,1327
74,1342
75,1365
76,1382
77,1415
78,1422
79,1450
80,1482
81,1568
82,1596
83,1599
84,1607
85,1672
86,1676
87,1753
88,1809
89,1818
90,1862
91,1915
92,1938
93,1964
94,2030
95,2034
96,2056
97,2104
98,2119
99,2151
100,2168
101,2205
102,2263
103,2315
104,2350
105,2362
106,2416
107,2430
108,2456
109,2526
110,2661
111,2704
112,2730
113,2745
114,2772
115,2831
116,2836
117,2843
118,2904
119,2910
120,2926
121,2953
122,2990
123,2996
124,3057
125,3086
126,3103
127,3166
128,3193
129,3203
130,3212
131,3239
132,3247
133,3285
134,3289
135,3296
136,3334
137,3351
138,3374
139,3402
140,3416
141,3441
142,3456
143,3504
144,3526
145,3538
146,3541
147,3602
148,3619
149,3637
150,3649
151,3661
152,3702
153,3714
154,3798
155,3830
156,3849
157,3853
158,3873
159,3923
160,3936
161,3977
162,3986
163,4015
164,4021
165,4048
166,4053
167,4098
168,4102
169,4126
170,4158
171,4214
172,4232
173,4252
174,4355
175,4362
176,4370
177,4412
178,4460
179,4505
180,4530
181,4584
182,4589
183,4631
184,4635
185,4644
186,4684
187,4687
188,4707
189,4724
190,4741
191,4746
192,4750
193,4784
194,4809
195,4824
196,4869
197,4929
198,5016
199,5056
200,5133
201,5140
202,5192
203,5250
204,5273
205,5277
206,5304
207,5316
208,5362
209,5447
210,5452
211,5479
212,5600
213,5609
214,5642
215,5656
216,5678
217,5684
218,5697
219,5723
220,5729
221,5763
222,5781
223,5806
224,5815
225,5834
226,5845
227,5881
228,5922
229,5944
230,5950
231,6080
232,6102
233,6133
234,6137
235,6173
236,6232
237,6255
238,6272
239,6313
240,6379
241,6408
242,6419
243,6450
244,6553
245,6585
246,6590
247,6593
248,6625
249,6634
250,6654
251,6702
252,6788
253,6811
254,6820
255,6828
256,6856
257,6917
258,6928
259,6941
260,6965
261,7002
262,7020
263,7032
264,7149
265,7165
266,7193
267,7205
268,7216
269,7249
270,7339
271,7350
272,7355
273,7440
274,7469
275,7537
276,7570
277,7600
278,7607
279,7643
280,7714
281,7758
282,7813
283,7895
284,7899
285,7913
286,7929
287,7987
288,8009
289,8014
290,8036
291,8092
292,8129
293,8183
294,8196
295,8224
296,8251
297,8326
298,8333
299,8375
300,8440
301,8447
302,8464
303,8479
304,8516
305,8526
306,8612
307,8638
308,8731
309,8735
310,8753
311,8761
312,8797
313,8801
314,8822
315,8839
316,8879
317,8887
318,8896
319,8910
320,8955
321,8992
322,9019
323,9042
324,9123
325,9129
326,9159
327,9172
328,9200
329,9203
330,9240
331,9299
332,9325
333,9350
334,9386
335,9441
336,9443
337,9488
338,9511
339,9572
340,9604
341,9631
342,9687
343,9737
344,9762
345,9788
346,9882
347,9892
348,9955
349,9987
350,10056
351,10120
352,10176
353,10204
354,10218
355,10230
356,10232
357,10281
358,10311
359,10394
360,10418
361,10458
362,10480
363,10542
364,10585
365,10593
366,10602
367,10621
368,10725
369,10734
370,10855
371,10898
372,10906
373,10917
374,11027
375,11068
376,11109
377,11178
378,11184
379,11194
380,11282
381,11328
382,11335
383,11479
384,11541
385,11583
386,11593
387,11625
388,11642
389,11717
390,11741
391,11768
392,11798
393,11824
394,11874
395,11880
396,11895
397,11916
398,11965
399,12013
400,12033
401,12062
402,12135
403,12148
404,12158
405,12188
406,12193
407,12208
408,12233
409,12257
410,12290
411,12334
412,12345
413,12432
414,12466
415,12493
416,12526
417,12575
418,12653
419,12663
420,12710
421,12711
422,12774
423,12820
424,12841
425,12858
426,12870
427,12896
428,12913
429,12956
430,13128
431,13197
432,13684
433,13710
434,13819
435,13869
436,13937
437,13979
438,13990
439,14022
440,14106
441,14856
442,15
443,17
444,28
445,54
446,76
447,89
448,102
449,167
450,197
451,251
452,306
453,312
454,316
455,376
456,443
457,449
458,509
459,527
460,561
461,609
462,669
463,834
464,857
465,902
466,916
467,996
468,1001
469,1010
470,1014
471,1034
472,1051
473,1180
474,1312
475,1362
476,1396
477,1435
478,1446
479,1471
480,1474
481,1475
482,1504
483,1523
484,1539
485,1575
486,1583
487,1624
488,1652
489,1710
490,1725
491,1762
492,1772
493,1797
494,1853
495,1885
496,1989
497,2014
498,2023
499,2051
500,2065
501,2074
502,2086
503,2101
504,2132
505,2157
506,2276
507,2333
508,2487
509,2496
510,2666
511,2674
512,2766
513,2787
514,2837
515,2854
516,3065
517,3077
518,3136
519,3273
520,3325
521,3377
522,3666
523,3680
524,3691
525,3704
526,3712
527,3717
528,3723
529,3732
530,3774
531,3789
532,3806
533,3841
534,3894
535,3930
536,3959
537,3964
538,3989
539,3996
540,3999
541,4020
542,4031
543,4046
544,4115
545,4154
546,4182
547,4187
548,4256
549,4277
550,4324
551,4339
552,4343
553,4451
554,4477
555,4522
556,4536
557,4568
558,4624
559,4639
560,4706
561,4735
562,4754
563,4764
564,4770
565,4790
566,4799
567,4815
568,4834
569,4951
570,4956
571,4964
572,4987
573,5005
574,5010
575,5014
576,5086
577,5087
578,5105
579,5137
580,5162
581,5165
582,5203
583,5205
584,5211
585,5213
586,5237
587,5240
588,5281
589,5378
590,5379
591,5389
592,5471
593,5491
594,5494
595,5512
596,5521
597,5542
598,5579
599,5583
600,5719
601,5799
602,5804
603,5821
604,5859
605,5874
606,5910
607,5914
608,5917
609,5987
610,5992
611,5998
612,6012
613,6053
614,6061
615,6066
616,6132
617,6168
618,6171
619,6225
620,6292
621,6344
622,6356
623,6389
624,6398
625,6402
626,6412
627,6415
628,6475
629,6534
630,6624
631,6683
632,6716
633,6728
634,6749
635,6753
636,6796
637,6849
638,6882
639,6889
640,6894
641,6948
642,6985
643,7005
644,7037
645,7061
646,7116
647,7126
648,7129
649,7156
650,7219
651,7238
652,7272
653,7278
654,7307
655,7313
656,7317
657,7343
658,7361
659,7432
660,7447
661,7479
662,7530
663,7533
664,7543
665,7575
666,7581
667,7583
668,7589
669,7634
670,7659
671,7673
672,7676
673,7679
674,7692
675,7732
676,7763
677,7776
678,7809
679,7823
680,7870
681,7877
682,7894
683,7949
684,7954
685,7977
686,8033
687,8054
688,8074
689,8081
690,8121
691,8169
692,8199
693,8274
694,8277
695,8294
696,8318
697,8340
698,8352
699,8467
700,8470
701,8494
702,8533
703,8548
704,8552
705,8583
706,8590
707,8644
708,8660
709,8705
710,8708
711,8727
712,8875
713,8914
714,8931
715,8950
716,8976
717,8987
718,9018
719,9022
720,9054
721,9063
722,9074
723,9079
724,9094
725,9146
726,9182
727,9193
728,9221
729,9233
730,9278
731,9405
732,9415
733,9535
734,9541
735,9546
736,9609
737,9666
738,9676
739,9677
740,9682
741,9708
742,9754
743,9784
744,9812
745,9820
746,9836
747,9840
748,9913
749,9927
750,9942
751,9981
752,9996
753,10014
754,10048
755,10067
756,10152
757,10348
758,10349
759,10361
760,10363
761,10365
762,10424
763,10475
764,10478
765,10499
766,10523
767,10530
768,10552
769,10566
770,10648
771,10649
772,10662
773,10672
774,10691
775,10705
776,10719
777,10761
778,10801
779,10861
780,10876
781,10913
782,10924
783,10928
784,10941
785,10964
786,10981
787,10991
788,10997
789,11018
790,11036
791,11057
792,11083
793,11091
794,11101
795,11115
796,11147
797,11181
798,11208
799,11213
800,11222
801,11229
802,11252
803,11302
804,11352
805,11370
806,11382
807,11393
808,11406
809,11416
810,11434
811,11448
812,11458
813,11476
814,11496
815,11508
816,11515
817,11521
818,11524
819,11539
820,11605
821,11652
822,11665
823,11670
824,11683
825,11693
826,11791
827,11855
828,11863
829,11892
830,11894
831,11904
832,11941
833,11959
834,11992
835,11998
836,12040
837,12127
838,12185
839,12221
840,12244
841,12250
842,12294
843,12316
844,12358
845,12366
846,12404
847,12444
848,12454
849,12458
850,12514
851,12543
852,12590
853,12610
854,12613
855,12619
856,12642
857,12672
858,12685
859,12694
860,12706
861,12763
862,12772
863,12805
864,12861
865,12891
866,12921
867,12943
868,12952
869,12959
870,12970
871,12980
872,12994
873,13018
874,13022
875,13041
876,13058
877,13066
878,13072
879,13074
880,13085
881,13101
882,13124
883,13172
884,13187
885,13194
886,13206
887,13224
888,13240
889,13256
890,13280
891,13292
892,13293
893,13297
894,13308
895,13348
896,13359
