step,node
1,12885
2,2235
3,493
4,5659
5,5213
6,4677
7,3139
8,2108
9,13459
10,11308
11,1661
12,12080
13,8766
14,606
15,13515
16,1883
17,4639
18,4911
19,10322
20,12290
21,557
22,11548
23,13725
24,13140
25,11198
26,14327
27,4834
28,9311
29,12085
30,13915
31,88
32,3592
33,8841
34,6946
35,5878
36,3470
37,4575
38,6961
39,2079
40,1998
41,8068
42,2062
43,8738
44,7134
45,12385
46,5612
47,841
48,9705
49,11125
50,2890
51,7923
52,1542
53,11470
54,6265
55,12803
56,12757
57,8589
58,11916
59,4736
60,1283
61,857
62,13329
63,4832
64,6158
65,1664
66,4981
67,2104
68,7892
69,5821
70,10003
71,12993
72,8022
73,3696
74,7652
75,7432
76,4478
77,13502
78,5666
79,13174
80,1429
81,12550
82,13020
83,3962
84,11115
85,5237
86,3666
87,9699
88,7954
89,5742
90,13111
91,11583
92,4741
93,6716
94,1055
95,4906
96,612
97,6657
98,8786
99,5776
100,1305
101,4530
102,11959
103,6629
104,4598
105,13313
106,10683
107,8374
108,13157
109,9955
110,3197
111,5623
112,3070
113,5248
114,11747
115,11314
116,5540
117,12141
118,9023
119,12442
120,8840
121,14257
122,4724
123,3056
124,10662
125,10299
126,1975
127,875
128,2269
129,3441
130,12944
131,3685
132,8948
133,12403
134,1365
135,8318
136,8121
137,12402
138,9859
139,11153
140,13818
141,11597
142,226
143,2487
144,11271
145,5810
146,13195
147,14872
148,2749
149,6179
150,9273
151,3574
152,9632
153,29
154,5778
155,10705
156,3990
157,10730
158,2204
159,12995
160,13932
161,13187
162,10678
163,12854
164,4416
165,3550
166,8875
167,5841
168,11401
169,11177
170,230
171,12535
172,6885
173,10598
174,410
175,2399
176,7969
177,6558
178,5220
179,1047
180,5254
181,12270
182,1539
183,1772
184,10240
185,1310
186,11270
187,2807
188,2885
189,13875
190,10054
191,11707
192,3751
193,5662
194,11687
195,12710
196,9074
197,4664
198,11472
199,4750
200,6600
201,8587
202,13400
203,8188
204,9762
205,11056
206,9689
207,2661
208,5344
209,13810
210,1270
211,7225
212,443
213,12449
214,11817
215,5051
216,12473
217,4882
218,131
219,1432
220,13168
221,1508
222,5074
223,1312
224,634
225,7109
226,1585
227,10997
228,5316
229,5952
230,10305
231,4795
232,11553
233,2987
234,12125
235,12330
236,10075
237,5392
238,10078
239,8822
240,4339
241,2043
242,2019
243,14136
244,9282
245,7536
246,9790
247,9794
248,10188
249,982
250,13945
251,13443
252,2089
253,1108
254,8715
255,7245
256,2417
257,5503
258,4798
259,4335
260,11528
261,9733
262,3224
263,9295
264,4196
265,6034
266,9930
267,13831
268,1482
269,9672
270,11900
271,2157
272,1152
273,13988
274,11665
275,302
276,1958
277,5311
278,3831
279,8904
280,10458
281,10711
282,4954
283,8801
284,1101
285,3885
286,8326
287,32
288,8512
289,6050
290,9914
291,6532
292,9197
293,11991
294,10748
295,4048
296,4509
297,6430
298,5554
299,1106
300,12427
301,11750
302,1190
303,6843
304,2007
305,939
306,12562
307,10276
308,10935
309,11537
310,3786
311,1042
312,11036
313,1633
314,13710
315,1818
316,12725
317,1386
318,5229
319,8850
320,2930
321,12295
322,13828
323,12469
324,12714
325,818
326,13192
327,1768
328,9281
329,12849
330,12188
331,11440
332,6858
333,5865
334,4588
335,6904
336,5404
337,5989
338,8924
339,3025
340,14091
341,6537
342,10284
343,7042
344,1458
345,184
346,10192
347,13234
348,12184
349,2246
350,1486
351,12092
352,4932
353,11166
354,5845
355,3072
356,7579
357,1380
358,5582
359,8134
360,14131
361,3712
362,14459
363,11885
364,6624
365,13152
366,11592
367,143
368,12101
369,6666
370,2350
371,3108
372,5846
373,2633
374,2407
375,12088
376,3872
377,6068
378,6266
379,13075
380,4764
381,7592
382,4635
383,13638
384,5951
385,11133
386,10842
387,5603
388,1011
389,2263
390,13647
391,9423
392,6129
393,911
394,58
395,7504
396,3164
397,14002
398,5996
399,3821
400,9754
401,12129
402,9516
403,12283
404,209
405,2586
406,1562
407,3583
408,12007
409,682
410,8215
411,12686
412,12136
413,3541
414,9660
415,2993
416,837
417,6889
418,8135
419,799
420,8149
421,4971
422,6333
423,2302
424,7834
425,12334
426,9083
427,13364
428,3791
429,5508
430,3982
431,4197
432,9213
433,515
434,4276
435,7573
436,9199
437,5585
438,13962
439,4034
440,2568
441,14320
442,785
443,10411
444,5075
445,4587
446,10199
447,8041
448,6848
449,5266
450,5085
451,499
452,4460
453,9128
454,7355
455,6443
456,1512
457,6398
458,7987
459,11496
460,9033
461,11965
462,7557
463,700
464,2727
465,6120
466,4288
467,12794
468,6092
469,747
470,2497
471,13114
472,9777
473,7882
474,6989
475,9788
476,13258
477,11471
478,2770
479,9010
480,12771
481,4759
482,5752
483,877
484,9812
485,16
486,11633
487,12045
488,4621
489,8616
490,9774
491,1563
492,7475
493,13958
494,7145
495,3001
496,6807
497,11406
498,7171
499,9325
500,7293
501,9300
502,6662
503,12389
504,3239
505,4568
506,9553
507,8691
508,4168
509,13438
510,12646
511,6762
512,9248
513,12308
514,8
515,7039
516,6544
517,4889
518,9758
519,12870
520,13316
521,7264
522,10476
523,10046
524,9997
525,5037
526,11543
527,10734
528,4072
529,1846
530,6463
531,11636
532,13898
533,7539
534,2294
535,5413
536,6985
537,5194
538,4712
539,3876
540,560
541,909
542,5654
543,10794
544,13429
545,1579
546,10311
547,9483
548,12891
549,4681
550,8829
551,11332
552,9173
553,5616
554,3691
555,86
556,2823
557,14411
558,5497
559,4365
560,11809
561,10582
562,976
563,12629
564,5850
565,2905
566,10356
567,3229
568,10657
569,12069
570,12615
571,13344
572,7199
573,10070
574,13718
575,11516
576,9781
577,12401
578,10132
579,3930
580,10895
581,10386
582,5946
583,6971
584,14173
585,11924
586,11181
587,5638
588,6308
589,10062
590,1652
591,9452
592,5422
593,6279
594,7758
595,7307
596,12299
597,2233
598,3349
599,3766
600,5479
601,8887
602,3754
603,13848
604,1349
605,9600
606,9434
607,8910
608,12384
609,10695
610,9631
611,1237
612,5292
613,9748
