step,node
0,36026
1,36276
2,6439
3,11613
4,5606
5,17957
6,36487
7,23991
8,30741
9,28973
10,1943
11,5117
12,18766
13,29834
14,31335
15,14434
16,11023
17,10449
18,32519
19,34905
20,25789
21,1028
22,617
23,741
24,34228
25,32495
26,10056
27,5657
28,9773
29,32319
30,28684
31,9075
32,33709
33,31911
34,4167
35,29888
36,10395
37,20988
38,571
39,14440
40,48
41,22394
42,5218
43,20056
44,32533
45,31270
46,23010
47,32122
48,2693
49,27555
50,1194
51,24292
52,23700
53,25050
54,401
55,35423
56,34522
57,22449
58,32904
59,8609
60,26386
61,23660
62,21663
63,20376
64,9039
65,33518
66,23161
67,34043
68,28433
69,22483
70,33
71,4379
72,18218
73,34140
74,30215
75,18297
76,20742
77,22046
78,12834
79,439
80,27643
81,36871
82,29868
83,7204
84,36710
85,19830
86,8825
87,4080
88,4418
89,18589
90,29327
91,10814
92,9119
93,21077
94,35820
95,14407
96,37736
97,29006
98,20667
99,31661
100,22076
101,29921
102,36553
103,26134
104,19296
105,31627
106,19702
107,25257
108,15911
109,5754
110,6214
111,23092
112,2189
113,30985
114,23255
115,23112
116,24510
117,2420
118,29817
119,28469
120,34680
121,1375
122,21795
123,22131
124,19929
125,34654
126,17036
127,34565
128,20503
129,16311
130,4892
131,21214
132,53
133,123
134,23345
135,22188
136,16958
137,27582
138,33191
139,29652
140,31309
141,31154
142,21545
143,9807
144,14754
145,32227
146,29559
147,34055
148,9248
149,32511
150,28885
151,32379
152,34647
153,26926
154,22838
155,29072
156,30581
157,34356
158,1321
159,20327
160,30056
161,27776
162,4402
163,28051
164,33026
165,17429
166,8152
167,31755
168,29226
169,35873
170,21734
171,27962
172,33771
173,33491
174,28214
175,22272
176,18281
177,19708
178,25777
179,6539
180,20167
181,1888
182,16204
183,36334
184,11824
185,17553
186,32089
187,31769
188,806
189,1602
190,1725
191,32913
192,32875
193,28222
194,332
195,24146
196,8345
197,34930
198,9059
199,27957
200,34868
201,11180
202,10260
203,827
204,15832
205,11191
206,30068
207,31496
208,9144
209,1295
210,15946
211,34783
212,21155
213,30158
214,5269
215,4663
216,6516
217,9116
218,17019
219,1480
220,29104
221,3303
222,18036
223,1782
224,28111
225,29085
226,16716
227,27953
228,11096
229,34854
230,33044
231,34946
232,34317
233,10508
234,28202
235,7
236,16941
237,24210
238,9163
239,26092
240,20267
241,30240
242,4608
243,4281
244,21118
245,11598
246,9187
247,7371
248,8489
249,11542
250,878
251,23627
252,12710
253,31403
254,27918
255,30942
256,35490
257,8760
258,35324
259,8822
260,31726
261,33876
262,1079
263,15797
264,33765
265,10065
266,33435
267,32644
268,385
269,5899
270,32245
271,7390
272,7562
273,29399
274,18076
275,9575
276,36021
277,28281
278,16224
279,6492
280,27133
281,927
282,2989
283,35264
284,27493
285,1838
286,5412
287,9904
288,31368
289,30346
290,30681
291,9628
292,7532
293,34088
294,10082
295,6859
296,31251
297,27335
298,26852
299,7252
300,8695
301,20750
302,23064
303,23727
304,34882
305,35007
306,34687
307,28652
308,4084
309,16468
310,31273
311,35460
312,2449
313,27227
314,23484
315,35034
316,24180
317,30969
318,30900
319,30916
320,30964
321,19661
322,33796
323,28249
324,33396
325,17871
326,25655
327,18855
328,6956
329,5804
330,7159
331,34957
332,33632
333,14801
334,11844
335,28212
336,2040
337,1309
338,919
339,33336
340,35302
341,26627
342,13032
343,13872
344,27660
345,10966
346,7655
347,30664
348,1272
349,1298
350,10278
351,20982
352,18729
353,24837
354,16893
355,19070
356,13712
357,31575
358,17148
359,18032
360,9271
361,2598
362,14680
363,16014
364,15705
365,14372
366,13494
367,13909
368,27984
369,30002
370,30613
371,30869
372,33318
373,30704
374,33374
375,30659
376,31196
377,28002
378,27279
379,26778
380,26839
381,27263
382,2932
383,11894
384,25753
385,25080
386,28480
387,25322
388,20453
389,4314
390,28321
391,25491
392,9651
393,17918
394,25591
395,19788
396,10827
397,20685
398,25295
399,21414
400,14977
401,17589
402,22257
403,25858
404,29501
405,34366
406,1334
407,20975
408,9672
409,7642
410,10048
411,29904
412,8063
413,19588
414,9858
415,9732
416,994
417,32702
418,26572
419,22061
420,2186
421,644
422,1901
423,18688
424,34663
425,27783
426,14984
427,11399
428,28083
429,17226
430,26226
431,22546
432,26045
433,23754
434,1844
435,24730
436,26894
437,25680
438,7558
439,22676
440,32783
441,9337
442,8053
443,32791
444,28262
445,13396
446,30854
447,1863
448,22597
449,28297
450,32001
451,16983
452,29724
453,22080
454,28903
455,14578
456,31266
457,18067
458,27367
459,34076
460,34034
461,32153
462,30861
463,28721
464,6462
465,13944
466,23540
467,25942
468,7226
469,34615
470,21394
471,12813
472,8929
473,29875
474,1733
475,2028
476,16630
477,10611
478,33532
479,32681
480,3170
481,33299
482,7776
483,18293
484,33962
485,1687
486,22211
487,30014
488,2634
489,3151
490,21852
491,12377
492,23632
493,4587
494,19901
495,23190
496,3760
497,18085
498,32563
499,28416
500,7771
501,19624
502,27375
503,33077
504,29391
505,17335
506,886
507,31511
508,4575
509,4148
510,3926
511,8182
512,2738
513,26086
514,32720
515,17864
516,22622
517,24216
518,24531
519,16657
520,17945
521,32705
522,29296
523,34160
524,19857
525,23668
526,701
527,67
528,3139
529,31203
530,26785
531,33385
532,18819
533,609
534,23315
535,26162
536,24922
537,1140
538,14045
539,20385
540,29587
541,520
542,37227
543,17673
544,24768
545,21919
546,29873
547,26483
548,3896
549,27193
550,25826
551,5574
552,5664
553,27441
554,25182
555,20551
556,27612
557,22934
558,862
559,20458
560,202
561,18056
562,4462
563,1718
564,10894
565,27684
566,21264
567,26949
568,11827
569,26623
570,23890
571,3795
572,163
573,32013
574,12898
575,1701
576,7897
577,34670
578,34807
579,13723
580,34954
581,35420
582,3189
583,11298
584,244
585,33886
586,4747
587,25748
588,8764
589,10290
590,11717
591,10677
592,1084
593,34892
594,26434
595,31704
596,11250
597,28043
598,3841
599,11439
600,9579
601,283
602,4186
603,25918
604,3358
605,35093
606,2029
607,22560
608,29584
609,25497
610,9554
611,2251
612,908
613,32500
614,19113
615,35064
616,2394
617,2342
618,3041
619,28755
620,35139
621,26001
622,2701
623,1106
624,7950
625,7313
626,19956
627,2071
628,4070
629,7724
630,13547
631,35204
632,35021
633,2383
634,28168
635,24122
636,25892
637,27977
638,21820
639,18994
640,8936
641,8961
642,8590
643,1413
644,22722
645,2462
646,11557
647,16187
648,1462
649,8220
650,16168
651,35577
652,27929
653,25485
654,8502
655,29617
656,29907
657,17185
658,15638
659,33775
660,24694
661,31527
662,19800
663,21950
664,29882
665,9459
666,1814
667,631
668,16553
669,21482
670,28890
