step,node
1,36026
2,10437
3,6439
4,11248
5,14434
6,7431
7,27643
8,36871
9,8825
10,10431
11,10923
12,18484
13,19392
14,36710
15,2023
16,10180
17,15911
18,20667
19,4177
20,6516
21,12834
22,17299
23,17631
24,28355
25,19296
26,23092
27,25257
28,2420
29,3159
30,4080
31,4418
32,7319
33,7665
34,7958
35,8586
36,8648
37,9119
38,9651
39,9732
40,9807
41,10098
42,10260
43,11163
44,11409
45,11439
46,11598
47,11613
48,11750
49,13254
50,14118
51,14754
52,15721
53,16311
54,16428
55,17965
56,18680
57,18729
58,20503
59,20982
60,21077
61,21683
62,21792
63,22808
64,22851
65,24026
66,24088
67,24837
68,25630
69,26611
70,26852
71,27133
72,27488
73,27505
74,28115
75,28890
76,28915
77,29817
78,29921
79,31414
80,32932
81,33336
82,37168
83,7
84,23
85,48
86,53
87,123
88,167
89,180
90,244
91,283
92,312
93,316
94,323
95,332
96,367
97,385
98,401
99,425
100,475
101,498
102,571
103,604
104,666
105,736
106,746
107,761
108,870
109,878
110,912
111,927
112,933
113,1013
114,1018
115,1028
116,1075
117,1079
118,1194
119,1230
120,1295
121,1298
122,1309
123,1326
124,1368
125,1382
126,1409
127,1528
128,1569
129,1602
130,1611
131,1691
132,1722
133,1733
134,1751
135,1863
136,1901
137,1928
138,1963
139,2036
140,2045
141,2095
142,2110
143,2186
144,2251
145,2278
146,2299
147,2394
148,2449
149,2512
150,2588
151,2620
152,2628
153,2717
154,2770
155,2823
156,2860
157,2885
158,2972
159,3015
160,3114
161,3170
162,3206
163,3324
164,3668
165,3713
166,3726
167,3973
168,4047
169,4054
170,4091
171,4167
172,4195
173,4288
174,4363
175,4379
176,4457
177,4462
178,4478
179,4485
180,4502
181,4579
182,5256
183,5412
184,5553
185,5574
186,5590
187,5657
188,5774
189,5899
190,5927
191,5992
192,6462
193,6543
194,6572
195,6760
196,7165
197,7175
198,7252
199,7339
200,7380
201,7385
202,7570
203,7655
204,7684
205,7724
206,7736
207,7776
208,7798
209,7929
210,7995
211,8001
212,8063
213,8076
214,8120
215,8128
216,8163
217,8249
218,8389
219,8502
220,8596
221,8606
222,8714
223,8773
224,8854
225,8961
226,9036
227,9039
228,9095
229,9184
230,9187
231,9196
232,9297
233,9309
234,9444
235,9514
236,9567
237,9630
238,9668
239,9760
240,9773
241,9786
242,10020
243,10065
244,10265
245,10273
246,10508
247,10518
248,10522
249,10636
250,10785
251,10827
252,11116
253,11124
254,11187
255,11308
256,11362
257,11542
258,11606
259,11636
260,11643
261,11847
262,12262
263,12371
264,12448
265,12639
266,12710
267,12734
268,12758
269,12820
270,12887
271,12936
272,13312
273,13494
274,13585
275,13712
276,13796
277,14052
278,14578
279,14664
280,14680
281,14818
282,15025
283,15056
284,15160
285,15452
286,15480
287,15588
288,15765
289,15797
290,15994
291,16040
292,16053
293,16175
294,16289
295,16616
296,16716
297,16893
298,16917
299,16941
300,16958
301,16983
302,17094
303,17108
304,17120
305,17253
306,17335
307,17412
308,17451
309,17488
310,17553
311,17589
312,17742
313,17792
314,17860
315,17918
316,17950
317,17957
318,18076
319,18251
320,18297
321,18303
322,18478
323,18541
324,18577
325,18606
326,18699
327,18713
328,18935
329,19002
330,19194
331,19205
332,19232
333,19268
334,19302
335,19661
336,19736
337,19767
338,19800
339,19894
340,19947
341,20056
342,20257
343,20267
344,20315
345,20327
346,20368
347,20376
348,20430
349,20458
350,20631
351,20672
352,20742
353,20745
354,20750
355,20794
356,20965
357,21114
358,21177
359,21264
360,21446
361,21509
362,21514
363,21610
364,21751
365,21758
366,21776
367,21795
368,21820
369,21826
370,21857
371,21889
372,21907
373,22087
374,22113
375,22188
376,22257
377,22354
378,22366
379,22394
380,22527
381,22546
382,22585
383,22666
384,22747
385,22910
386,22943
387,23010
388,23064
389,23112
390,23126
391,23177
392,23186
393,23255
394,23297
395,23320
396,23345
397,23395
398,23418
399,23435
400,23505
401,23622
402,23663
403,23693
404,23727
405,23732
406,23801
407,23877
408,24010
409,24021
410,24071
411,24180
412,24216
413,24292
414,24332
415,24362
416,24563
417,24594
418,24750
419,24823
420,24992
421,25050
422,25117
423,25178
424,25209
425,25224
426,25228
427,25315
428,25335
429,25491
430,25583
431,25614
432,25635
433,25717
434,25736
435,25748
436,25803
437,25826
438,25872
439,25883
440,25908
441,25918
442,26022
443,26045
444,26134
445,26162
446,26342
447,26386
448,26404
449,26472
450,26504
451,26535
452,26699
453,26723
454,26728
455,26814
456,26848
457,26883
458,26894
459,26937
460,26946
461,27052
462,27147
463,27184
464,27215
465,27256
466,27279
467,27293
468,27331
469,27546
470,27573
471,27582
472,27585
473,27684
474,27770
475,27878
476,27897
477,27934
478,27957
479,27962
480,27970
481,28051
482,28202
483,28222
484,28249
485,28281
486,28412
487,28416
488,28428
489,28433
490,28469
491,28482
492,28573
493,28652
494,28721
495,28765
496,28912
497,29057
498,29085
499,29104
500,29139
501,29169
502,29286
503,29369
504,29391
505,29399
506,29443
507,29515
508,29559
509,29652
510,29700
511,29852
512,29868
513,29875
514,29907
515,29917
516,30020
517,30068
518,30133
519,30142
520,30215
521,30254
522,30322
523,30479
524,30508
525,30581
526,30613
527,30680
528,30738
529,30766
530,30806
531,30854
532,30869
533,30880
534,30900
535,30942
536,30969
537,30981
538,30985
539,31054
540,31108
541,31149
542,31208
543,31248
544,31266
545,31273
546,31287
547,31297
548,31332
549,31480
550,31496
551,31527
552,31551
553,31575
554,31597
555,31619
556,31711
557,31726
558,31778
559,31831
560,31857
561,31877
562,32013
563,32089
564,32122
565,32153
566,32173
567,32213
568,32223
569,32388
570,32480
571,32533
572,32557
573,32622
574,32644
575,32678
576,32696
577,32702
578,32705
579,32744
580,32783
581,32787
582,32801
583,32841
584,32875
585,32904
586,33026
587,33044
588,33077
589,33191
590,33265
591,33277
592,33299
593,33318
594,33325
595,33396
596,33485
597,33491
598,33518
599,33567
600,33624
601,33647
602,33765
603,33771
604,33775
605,33796
606,33806
607,33810
608,33872
609,33886
610,33957
611,33962
612,33994
613,34029
614,34034
615,34055
616,34140
617,34160
618,34228
619,34239
620,34317
621,34344
622,34356
623,34432
624,34497
625,34522
626,34565
627,34619
628,34640
629,34680
630,34710
631,34718
632,34828
633,34848
634,34854
635,34882
636,34914
637,34946
638,34954
639,34986
640,35007
641,35034
642,35044
643,35064
644,35076
645,35093
646,35144
647,35157
648,35204
649,35290
650,35298
651,35324
652,35337
653,35402
654,35423
655,35436
656,35460
657,35476
658,36896
659,37068
660,67
661,75
662,91
663,109
664,159
665,212
666,529
667,644
668,803
669,858
670,894
671,963
672,1050
673,1061
674,1074
675,1272
676,1291
677,1476
678,1484
679,1575
680,1632
681,1687
682,1739
683,1845
684,1856
685,1979
686,2028
687,2128
688,2146
689,2154
690,2683
691,2941
692,3131
693,3551
694,3626
695,3802
696,4045
697,4070
698,4146
699,4148
700,4181
701,4321
702,4783
703,4941
704,5050
705,5693
706,6793
707,7198
708,7222
709,7469
710,7600
711,7837
712,7846
713,7903
714,8048
715,8159
716,8386
717,8635
718,8655
719,8770
720,8929
721,9005
722,9124
723,9262
724,9418
725,9572
726,9763
727,9880
728,10030
729,10436
730,10463
731,10498
732,10535
733,11133
734,11333
735,12125
736,12424
