step,node
0,5606
1,36487
2,23991
3,36026
4,36276
5,6439
6,14434
7,12834
8,28973
9,11023
10,30741
11,11613
12,1943
13,7204
14,36871
15,35820
16,10449
17,14407
18,36334
19,27643
20,36710
21,19830
22,8825
23,18589
24,10814
25,36095
26,37736
27,15911
28,2189
29,6516
30,4236
31,17732
32,10927
33,5117
34,19702
35,25257
36,19296
37,23092
38,810
39,18766
40,3324
41,29868
42,1028
43,617
44,34228
45,571
46,29006
47,32495
48,29834
49,31335
50,28433
51,31911
52,32122
53,32519
54,34905
55,33709
56,9773
57,28684
58,32319
59,9119
60,9075
61,35423
62,5657
63,27555
64,4418
65,4080
66,21077
67,10056
68,5218
69,29888
70,8609
71,25050
72,34522
73,20988
74,401
75,21663
76,32533
77,1298
78,14440
79,22394
80,21795
81,23010
82,1194
83,2693
84,24292
85,23700
86,33518
87,34043
88,48
89,4167
90,26386
91,9039
92,22449
93,20376
94,23660
95,22076
96,31270
97,7665
98,20056
99,32904
100,22483
101,25789
102,33
103,23161
104,31627
105,4379
106,18218
107,30215
108,34140
109,18297
110,439
111,1480
112,20742
113,29327
114,11362
115,11207
116,17553
117,1417
118,17296
119,927
120,1272
121,17957
122,22046
123,24510
124,29817
125,28297
126,13396
127,36553
128,20167
129,21118
130,29652
131,27783
132,31403
133,1782
134,20670
135,24935
136,557
137,1125
138,15361
139,24048
140,30431
141,13525
142,1608
143,18029
144,19387
145,1629
146,1725
147,4297
148,33897
149,35848
150,5985
151,593
152,1814
153,29694
154,9014
155,36666
156,20496
157,1001
158,26194
159,31077
160,2707
161,25441
162,28469
163,27307
164,29296
165,26926
166,28071
167,28360
168,28535
169,3111
170,28168
171,14780
172,7317
173,27335
174,3469
175,4129
176,6214
177,5754
178,9125
179,9209
180,9927
181,14773
182,15733
183,16852
184,17531
185,22249
186,23827
187,23842
188,24472
189,24557
190,25752
191,27929
192,28010
193,29622
194,29667
195,30563
196,31172
197,17226
198,17470
199,31218
200,31540
201,32303
202,32245
203,32411
204,26852
205,33026
206,31069
207,30630
208,22851
209,36524
210,23437
211,23097
212,29921
213,28137
214,28202
215,28281
216,29057
217,28212
218,27488
219,27957
220,25667
221,25680
222,26572
223,25635
224,21878
225,26045
226,27962
227,27505
228,17965
229,14118
230,23685
231,19070
232,23255
233,10260
234,16213
235,16370
236,29837
237,9651
238,9606
239,30942
240,31661
241,27582
242,2420
243,25841
244,16292
245,19929
246,21734
247,20821
248,8678
249,33191
250,34565
251,30002
252,33044
253,27193
254,28249
255,23727
256,26134
257,21843
258,22397
259,11598
260,15721
261,28068
262,27441
263,27375
264,19157
265,27864
266,12939
267,27612
268,9154
269,9144
270,27614
271,27727
272,8015
273,9318
274,16311
275,9130
276,10290
277,14372
278,14801
279,9687
280,13516
281,26230
282,35327
283,7617
284,26894
285,30068
286,32783
287,28915
288,31496
289,11180
290,30158
291,29976
292,7319
293,29865
294,8586
295,2898
296,35985
297,9459
298,7128
299,33876
300,6462
301,9116
302,8120
303,8465
304,9271
305,11750
306,8648
307,11191
308,16428
309,10048
310,10508
311,11542
312,9858
313,10278
314,35873
315,6539
316,29584
317,34654
318,30916
319,35494
320,34366
321,32511
322,33796
323,33336
324,33110
325,33435
326,30613
327,33154
328,29133
329,30681
330,31026
331,22838
332,30900
333,31309
334,31154
335,32379
336,32227
337,29072
338,28952
339,33491
340,33365
341,33771
342,31332
343,30964
344,34088
345,28104
346,28727
347,29399
348,7688
349,332
350,8345
351,7558
352,18636
353,9620
354,9807
355,7916
356,29508
357,14680
358,16958
359,5479
360,16342
361,7867
362,1295
363,22546
364,33639
365,5590
366,11557
367,1375
368,23748
369,3358
370,8221
371,24233
372,4381
373,34492
374,25966
375,7368
376,8053
377,9337
378,33085
379,2251
380,2394
381,6339
382,6626
383,4892
384,1326
385,17589
386,4608
387,2186
388,20267
389,2383
390,34055
391,3159
392,2881
393,29085
394,1901
395,1654
396,7313
397,34337
398,20682
399,34558
400,7642
401,2083
402,8674
403,34356
404,34954
405,20503
406,28086
407,13704
408,32813
409,16893
410,12666
411,13688
412,27283
413,18211
414,21509
415,33318
416,18541
417,34592
418,22272
419,26543
420,26009
421,34158
422,19278
423,21545
424,34663
425,16271
426,34587
427,18899
428,32313
429,16630
430,4479
431,21792
432,17488
433,17945
434,17928
435,18965
436,20653
437,30659
438,850
439,21836
440,34034
441,1084
442,11962
443,30736
444,11523
445,1150
446,31208
447,1321
448,8044
449,27788
450,18729
451,9434
452,7995
453,22080
454,32318
455,33632
456,30994
457,17871
458,31280
459,30869
460,11643
461,31527
462,7562
463,22808
464,27133
465,19841
466,27918
467,25655
468,29559
469,32526
470,34578
471,29875
472,33325
473,34317
474,182
475,20442
476,27836
477,8764
478,2480
479,2172
480,3167
481,26092
482,26267
483,34515
484,30911
485,24837
486,4462
487,3640
488,2620
489,16484
490,29724
491,28811
492,17092
493,18335
494,26438
495,32681
496,34160
497,26627
498,33995
499,19079
500,26623
501,22002
502,7
503,24026
504,22406
505,36170
506,2918
507,24053
508,24080
509,26814
510,2342
511,3173
512,11827
513,9575
514,33538
515,33926
516,24575
517,20667
518,17673
519,385
520,9732
521,11439
522,23540
523,26248
524,22131
525,12710
526,806
527,23
528,6859
529,31949
530,32671
531,23334
532,1733
533,27367
534,1089
535,24805
536,7655
537,7695
538,15211
539,9281
540,145
541,30931
542,24768
543,29391
544,1678
545,886
546,32563
547,29852
548,17918
549,14023
550,254
551,307
552,4631
553,26434
554,32642
555,19872
556,19661
557,7532
558,19113
559,22203
560,1085
561,9630
562,35176
563,5412
564,21264
565,57
566,123
567,25826
568,34769
569,12459
570,13909
571,33439
572,31802
573,449
574,21374
575,21177
576,35446
577,17300
578,32011
579,9087
580,2028
581,67
582,19767
583,32251
584,2598
585,32787
586,1127
