step,node
1,3324
2,32737
3,33085
4,33277
5,1551
6,2272
7,1272
8,1417
9,1571
10,29694
11,5931
12,36026
13,6104
14,35820
15,3556
16,3786
17,5933
18,32001
19,27984
20,25841
21,19653
22,17957
23,29327
24,29773
25,9672
26,30693
27,28777
28,26230
29,9092
30,31707
31,8929
32,22099
33,22046
34,21322
35,7867
36,29514
37,29406
38,1326
39,9337
40,32594
41,27345
42,26611
43,24510
44,26396
45,25427
46,25715
47,25716
48,25335
49,27585
50,32590
51,3350
52,3543
53,3729
54,5913
55,5916
56,5725
57,32005
58,1555
59,27307
60,8678
61,8825
62,8120
63,8369
64,8828
65,10475
66,14049
67,11260
68,14050
69,11259
70,20685
71,8152
72,7886
73,8837
74,8839
75,8388
76,9270
77,9434
78,15532
79,15531
80,11278
81,20425
82,28754
83,29921
84,20197
85,19857
86,19803
87,29085
88,8695
89,22950
90,20479
91,33318
92,32644
93,32583
94,11399
95,32966
96,32800
97,33026
98,33121
99,31769
100,32770
101,31368
102,31372
103,31711
104,9095
105,8969
106,19708
107,32461
108,32827
109,8199
110,32927
111,33532
112,32702
113,33098
114,32983
115,29110
116,28480
117,28659
118,23255
119,24325
120,21817
121,22057
122,22028
123,21795
124,21426
125,21829
126,21843
127,21574
128,25566
129,21978
130,22008
131,5774
132,3226
133,2092
134,1611
135,1321
136,1075
137,1306
138,31982
139,32153
140,32154
141,7371
142,5785
143,4091
144,6446
145,6006
146,2941
147,2889
148,5992
149,901
150,11619
151,30869
152,31003
153,31021
154,30613
155,29133
156,29490
157,30766
158,30770
159,30913
160,30911
161,30865
162,31669
163,32136
164,32135
165,32194
166,32193
167,32222
168,32221
169,32351
170,32539
171,8220
172,9260
173,20453
174,4572
175,7688
176,21509
177,8424
178,18273
179,2428
180,13180
181,13279
182,12973
183,11894
184,11014
185,12685
186,12722
187,8724
188,8958
189,11557
190,8745
191,8333
192,8384
193,8918
194,8434
195,8328
196,9140
197,9294
198,9717
199,9380
200,9420
201,25439
202,22498
203,8104
204,8345
205,9119
206,8640
207,8778
208,8779
209,9170
210,8804
211,21856
212,15758
213,19656
