step,node
1,1943
2,5117
3,5606
4,5348
5,18766
6,23991
7,28973
8,29834
9,30741
10,31335
11,32519
12,34905
13,36487
14,10449
15,33
16,48
17,401
18,571
19,617
20,741
21,810
22,1028
23,1194
24,2693
25,4167
26,4379
27,5218
28,5657
29,8609
30,9039
31,9075
32,9773
33,10056
34,11044
35,14440
36,18218
37,18297
38,20056
39,20376
40,20988
41,21663
42,22394
43,22449
44,22483
45,23010
46,23161
47,23660
48,23700
49,24292
50,25050
51,25789
52,28433
53,28684
54,29888
55,30215
56,30296
57,31218
58,31911
59,32122
60,32495
61,32319
62,32533
63,32904
64,33518
65,33709
66,34043
67,34140
68,34228
69,34522
70,35423
71,227
72,547
73,593
74,648
75,831
76,1001
77,1037
78,1125
79,1143
80,1146
81,1170
82,1480
83,1608
84,1629
85,1644
86,1747
87,1759
88,1827
89,1832
90,1879
91,1918
92,1994
93,2707
94,3111
95,3469
96,4129
97,4297
98,7317
99,9014
100,9125
101,9209
102,9927
103,10238
104,10466
105,10661
106,10743
107,10703
108,11511
109,14671
110,14773
111,14780
112,15237
113,15738
114,15306
115,15733
116,15988
117,16852
118,17531
119,17852
120,18024
121,18029
122,18555
123,19102
124,19387
125,19445
126,19745
127,20670
128,20964
129,21068
130,21304
131,22249
132,23827
133,23842
134,24365
135,24472
136,24557
137,25752
138,26194
139,26087
140,28010
141,28364
142,29006
143,29622
144,29667
145,30194
146,30375
147,30408
148,30563
149,31077
150,31172
151,31270
152,31403
153,31540
154,31643
155,31782
156,31840
157,32303
158,32447
159,33897
160,34552
161,35842
162,7592
163,11023
164,10395
165,4080
166,4418
167,9119
168,21077
169,22851
170,27555
171,7
172,4
173,15
174,53
175,123
176,180
177,327
178,332
179,385
180,475
181,666
182,746
183,761
184,919
185,927
186,1079
187,1117
188,1298
189,1321
190,1375
191,1569
192,1602
193,1725
194,1977
195,1838
196,2012
197,1888
198,2449
199,2598
200,2729
201,2979
202,3509
203,4457
204,4047
205,4824
206,4667
207,4892
208,4402
209,5754
210,5863
211,5899
212,6095
213,6214
214,6481
215,6728
216,6486
217,6166
218,6462
219,5590
220,6523
221,6543
222,5785
223,6629
224,6567
225,6641
226,6866
227,7025
228,7036
229,6859
230,4084
231,2040
232,1306
233,6876
234,6688
235,6472
236,6956
237,7159
238,7165
239,7655
240,7684
241,7961
242,7776
243,7916
244,8044
245,8128
246,8345
247,8614
248,8822
249,9059
250,9130
251,9248
252,9187
253,8489
254,9575
255,9628
256,9904
257,10065
258,10082
259,10273
260,10811
261,10950
262,10761
263,10376
264,10966
265,11096
266,11180
267,11406
268,10553
269,10653
270,11542
271,11643
272,11598
273,12939
274,11652
275,11844
276,12429
277,12710
278,12906
279,12660
280,12153
281,13032
282,13872
283,14032
284,14062
285,14585
286,14680
287,14801
288,14887
289,14232
290,15093
291,15797
292,16187
293,16224
294,16468
295,14984
296,16561
297,16672
298,16848
299,16251
300,15946
301,16941
302,17415
303,17429
304,17019
305,16370
306,17036
307,17497
308,17342
309,17436
310,17553
311,17610
312,17871
313,17957
314,18036
315,18076
316,18281
317,16958
318,18798
319,18302
320,18944
321,19278
322,19624
323,19661
324,19708
325,19929
326,20267
327,20319
328,21155
329,20470
330,20095
331,20910
332,21135
333,20253
334,21214
335,21218
336,21553
337,21751
338,21737
339,21795
340,22046
341,20742
342,22076
343,13525
344,36553
345,22131
346,22431
347,22188
348,22272
349,22826
350,22907
351,22934
352,23264
353,22729
354,23320
355,23345
356,23569
357,23627
358,24180
359,24376
360,24510
361,24656
362,25209
363,25441
364,25887
365,26092
366,26128
367,24992
368,24987
369,26329
370,26627
371,26636
372,27052
373,27227
374,27256
375,27315
376,27335
377,26852
378,27375
379,27493
380,27582
381,27776
382,27897
383,27953
384,27687
385,27957
386,27962
387,28051
388,28202
389,28222
390,28249
391,28444
392,28469
393,28652
394,28885
395,29104
396,28104
397,29085
398,29327
399,28535
400,29493
401,29559
402,29652
403,29868
404,29951
405,29976
406,30020
407,29584
408,29057
409,26926
410,25777
411,27307
412,27675
413,28262
414,29837
415,26230
416,30056
417,37223
418,30068
419,31496
420,30138
421,30151
422,30240
423,30346
424,30681
425,30372
426,30450
427,30581
428,30391
429,30664
430,30854
431,30880
432,30942
433,30969
434,30985
435,31154
436,31212
437,31273
438,31131
439,31309
440,31446
441,31490
442,31543
443,31647
444,31665
445,31687
446,32049
447,31424
448,31458
449,31575
450,31624
451,31661
452,31332
453,31673
454,31551
455,31732
456,31809
457,31755
458,31778
459,31831
460,32089
461,31769
462,31143
463,32213
464,32233
465,32268
466,32511
467,32625
468,32678
469,32724
470,32809
471,32875
472,32913
473,32956
474,32994
475,33026
476,33044
477,33191
478,33396
479,33435
480,33485
481,33491
482,33771
483,33632
484,33765
485,33796
486,33526
487,33876
488,34055
489,34088
490,34492
491,34317
492,34356
493,34371
494,34565
495,34640
496,34654
497,34680
498,34848
499,34854
500,34828
501,34783
502,34710
503,34930
504,34918
505,34946
506,34882
507,35007
508,34687
509,35034
510,34957
511,35093
512,35149
513,35157
514,35198
515,35272
516,35290
517,35302
518,35324
519,35436
520,35460
521,35490
522,35685
523,36524
524,36545
525,37736
526,28214
527,67
528,75
529,78
530,91
531,103
532,109
533,133
534,167
535,153
536,159
537,163
538,176
539,191
540,316
541,375
542,271
543,202
544,212
545,221
546,261
547,367
548,312
549,397
550,411
551,427
552,916
553,453
554,631
555,641
556,473
557,607
558,614
559,684
560,806
561,1013
562,827
563,878
564,868
565,978
566,1102
567,858
568,866
569,870
570,1084
571,1089
572,1264
573,1272
574,1291
575,1348
576,1484
577,1522
578,1551
579,1534
580,1625
581,1641
582,1691
583,2005
584,2172
585,6006
586,1654
587,1669
588,1295
589,1104
590,1673
591,1678
592,1709
593,1814
594,1713
595,1716
596,1739
597,1851
598,1973
599,1979
600,2116
601,2133
602,4462
603,7344
604,2155
605,2380
606,2471
607,2577
608,2480
609,2602
610,2683
611,2867
612,8584
613,3076
614,3041
615,3173
616,3139
617,3119
618,3695
619,3185
620,3298
621,3324
622,5913
623,35820
624,3381
625,3563
626,3899
627,3710
628,3245
629,3802
630,5600
631,6108
632,6760
633,3921
634,4112
635,4424
636,3151
637,2355
638,2060
639,2843
640,4148
641,3941
642,4007
643,4062
644,3358
645,2028
646,1733
647,4063
648,4146
649,4302
650,2893
651,4354
652,4363
653,5664
654,4394
655,4613
656,4967
657,4982
658,5050
659,6862
660,5102
661,5143
662,5163
663,5265
664,5363
665,4689
666,5433
667,5563
668,5567
669,4591
670,4433
671,4370
672,4220
673,5635
674,5733
675,5851
676,5969
677,5259
678,5831
679,5888
680,5983
681,6153
682,5957
683,6217
684,5919
685,5889
686,6244
687,6720
688,6793
689,7058
690,8695
691,20750
692,23064
693,23517
694,7196
695,7198
696,7226
697,7325
698,7553
699,7415
700,6869
701,7459
702,7614
703,7637
704,7923
705,7660
706,7940
707,7663
708,7646
709,7532
710,7938
711,7837
712,6539
713,8120
714,8825
715,7350
716,7512
717,7319
718,7456
719,7950
720,8706
721,8053
722,7880
723,8074
724,8076
725,8163
726,8204
727,8386
728,8389
729,8155
730,7429
731,8410
732,8142
733,7724
734,7558
735,7312
736,8221
737,8459
738,8557
739,8107
740,8528
741,8674
742,8566
743,8567
744,8722
745,8700
746,7980
747,7988
748,8494
749,8627
750,8220
751,8730
752,9087
753,9295
754,9366
755,9531
756,9732
757,8778
758,8372
759,8817
760,8622
761,8832
762,8420
763,7929
764,8659
765,8936
766,8961
767,8943
768,9005
769,9043
770,9124
771,10785
772,10586
773,9154
774,9192
775,9011
776,4463
777,9200
778,9370
779,9228
780,9184
781,9387
782,9478
783,9404
784,9606
785,9535
786,9938
787,9557
788,9360
789,9442
790,9610
791,9630
792,9832
793,9742
794,9860
795,9574
796,9890
797,9880
798,9510
799,9989
800,10007
801,10023
802,10048
803,10060
804,10132
805,9579
806,10213
807,10278
808,11362
809,9262
810,10319
811,10366
812,10445
813,10494
814,10547
815,10593
816,10611
817,10657
818,10920
819,11014
820,8617
821,10033
822,9025
823,7798
824,9704
825,9797
826,11034
827,12589
828,12758
829,11116
830,11197
831,11207
832,11235
833,11333
834,11506
835,11018
836,11399
837,11141
838,11516
839,11532
840,11579
841,11873
842,11613
843,11783
844,11824
845,11916
846,11988
847,12008
848,12040
849,12057
850,12087
851,12134
852,12173
853,12215
854,12271
855,12333
856,12347
857,12510
858,12512
859,12194
860,12633
861,12694
862,12846
863,12851
864,12898
865,13291
866,12909
867,13007
868,13014
869,13041
870,13049
871,13242
872,13643
873,12887
874,14977
875,13200
876,13263
877,13819
878,14187
879,13000
880,12804
881,12111
882,12262
883,13300
884,13317
885,13340
886,13382
887,13438
888,13484
889,14378
890,13498
891,13504
892,13571
893,13623
894,13688
895,13704
896,13857
897,13908
898,14754
899,12459
900,12119
901,11907
902,12405
903,14041
904,14578
905,15056
906,14121
907,14194
908,14301
909,14349
910,14367
911,16204
912,14382
913,14490
914,12452
915,14539
916,14636
917,14765
918,13875
919,14805
920,14897
921,14940
922,14988
923,15002
924,15040
925,16494
926,16983
927,15041
928,15200
929,15226
930,14973
931,15357
932,15520
933,15711
934,16069
935,15802
936,15894
937,15468
938,16014
939,14372
940,16342
941,15110
942,15601
943,15146
944,15534
945,15560
946,15187
947,15311
948,15824
949,15090
950,14604
951,15922
952,15896
953,16018
954,16071
955,12388
956,16171
957,14458
958,11760
959,16179
960,16197
961,16716
962,16498
963,17078
964,15911
965,13909
966,14177
967,15018
968,13852
969,13958
970,14533
971,14792
972,14399
973,15067
974,15127
975,12236
976,15614
977,16230
978,16104
979,14908
980,16142
981,16236
982,16268
983,16276
984,16302
985,16373
986,16466
987,16395
988,16570
989,16591
990,16611
991,13648
992,16643
993,16448
994,16522
995,17698
996,16816
997,16271
998,16820
999,16492
1000,16881
1001,17123
1002,16893
1003,13729
1004,16966
1005,17002
1006,17013
1007,17040
1008,17099
1009,17181
1010,18342
1011,17439
1012,13186
1013,11721
1014,13146
1015,13132
1016,12687
1017,11742
1018,11419
1019,17514
1020,17520
1021,17542
1022,15492
1023,17279
1024,17652
1025,17709
1026,17727
1027,17787
1028,17899
1029,17756
1030,17916
1031,5992
1032,886
1033,2460
1034,2588
1035,2738
1036,6331
1037,18025
1038,17833
1039,18208
1040,18293
1041,17909
1042,17005
1043,17120
1044,16706
1045,17665
