step,node
1,36026
2,10437
3,6439
4,10927
5,14434
6,27643
7,36871
8,7204
9,7431
10,8825
11,10395
12,10431
13,10508
14,10923
15,11248
16,18484
17,18569
18,18589
19,19296
20,19392
21,19412
22,19550
23,23092
24,25257
25,36101
26,36424
27,36710
28,2023
29,2420
30,3159
31,4080
32,4418
33,7257
34,7319
35,7665
36,7731
37,7933
38,7958
39,8586
40,8648
41,9119
42,9271
43,9651
44,9732
45,9807
46,9884
47,9898
48,9917
49,9979
50,10098
51,10180
52,10260
53,10290
54,10449
55,10814
56,10848
57,11023
58,11163
59,11409
60,11439
61,11598
62,11613
63,11750
64,12091
65,13254
66,14118
67,14387
68,14754
69,15721
70,15911
71,16204
72,16213
73,16311
74,16428
75,17747
76,17965
77,18616
78,18680
79,18729
80,19127
81,19702
82,19830
83,20420
84,20503
85,20667
86,20982
87,21077
88,21683
89,21687
90,21792
91,22257
92,22808
93,22851
94,23255
95,24026
96,24088
97,24837
98,25630
99,25680
100,26611
101,26852
102,27133
103,27488
104,27505
105,27555
106,27612
107,28115
108,28281
109,28890
110,28915
111,29817
112,29921
113,31414
114,32932
115,33336
116,35809
117,36375
118,36553
119,37168
120,37205
121,37227
122,7
123,23
124,48
125,53
126,123
127,167
128,180
129,182
130,244
131,283
132,293
133,312
134,323
135,332
136,367
137,385
138,401
139,425
140,475
141,498
142,520
143,529
144,571
145,604
146,627
147,666
148,690
149,736
150,741
151,746
152,761
153,810
154,870
155,878
156,886
157,912
158,927
159,933
160,1013
161,1018
162,1028
163,1074
164,1075
165,1079
166,1194
167,1230
168,1243
169,1276
170,1283
171,1295
172,1309
173,1326
174,1368
175,1372
176,1382
177,1385
178,1390
179,1409
180,1422
181,1425
182,1430
183,1441
184,1451
185,1462
186,1469
187,1510
188,1528
189,1551
190,1561
191,1569
192,1602
193,1611
194,1680
195,1683
196,1691
197,1725
198,1733
199,1751
200,1814
201,1838
202,1863
203,1901
204,1928
205,1943
206,1963
207,2036
208,2045
209,2053
210,2068
211,2092
212,2110
213,2181
214,2186
215,2189
216,2195
217,2251
218,2262
219,2279
220,2299
221,2308
222,2319
223,2327
224,2342
225,2349
226,2394
227,2449
228,2462
229,2471
230,2534
231,2545
232,2588
233,2598
234,2620
235,2623
236,2642
237,2655
238,2717
239,2729
240,2770
241,2796
242,2820
243,2835
244,2840
245,2860
246,2863
247,2874
248,2881
249,2889
250,2898
251,2906
252,2913
253,2918
254,2937
255,2964
256,2968
257,2972
258,2989
259,2993
260,2997
261,3003
262,3015
263,3022
264,3114
265,3149
266,3167
267,3173
268,3177
269,3206
270,3259
271,3303
272,3350
273,3354
274,3378
275,3403
276,3415
277,3509
278,3522
279,3603
280,3668
281,3672
282,3686
283,3703
284,3713
285,3726
286,3760
287,3770
288,3795
289,3799
290,3803
291,3825
292,3831
293,3841
294,3889
295,3899
296,3913
297,3926
298,3966
299,3973
300,4047
301,4054
302,4084
303,4112
304,4121
305,4148
306,4167
307,4177
308,4180
309,4190
310,4195
311,4198
312,4216
313,4224
314,4265
315,4281
316,4288
317,4307
318,4323
319,4363
320,4379
321,4414
322,4457
323,4462
324,4478
325,4479
326,4485
327,4502
328,4536
329,4537
330,4562
331,4587
332,4597
333,4617
334,4627
335,4647
336,4658
337,4661
338,4667
339,4732
340,4783
341,4802
342,4810
343,4824
344,4886
345,4887
346,5117
347,5145
348,5218
349,5256
350,5269
351,5348
352,5412
353,5462
354,5467
355,5512
356,5543
357,5553
358,5562
359,5567
360,5574
361,5590
362,5606
363,5657
364,5667
365,5682
366,5754
367,5774
368,5793
369,5831
370,5888
371,5899
372,5913
373,5927
374,6035
375,6045
376,6095
377,6166
378,6183
379,6214
380,6244
381,6261
382,6277
383,6296
384,6324
385,6339
386,6373
387,6394
388,6446
389,6462
390,6468
391,6478
392,6481
393,6486
394,6516
395,6518
396,6523
397,6543
398,6549
399,6572
400,6580
401,6592
402,6605
403,6626
404,6629
405,6641
406,6649
407,6659
408,6760
409,6780
410,6800
411,6830
412,6859
413,6866
414,6894
415,6903
416,6906
417,6930
418,6934
419,6956
420,7021
421,7029
422,7036
423,7046
424,7091
425,7165
426,7174
427,7252
428,7254
429,7270
430,7280
431,7313
432,7368
433,7371
434,7376
435,7380
436,7401
437,7407
438,7421
439,7512
440,7532
441,7558
442,7562
443,7570
444,7578
445,7585
446,7600
447,7620
448,7624
449,7655
450,7684
451,7736
452,7744
453,7771
454,7776
455,7798
456,7809
457,7813
458,7820
459,7929
460,7969
461,7982
462,7995
463,8001
464,8015
465,8044
466,8063
467,8120
468,8128
469,8140
470,8163
471,8178
472,8182
473,8199
474,8212
475,8233
476,8249
477,8254
478,8294
479,8312
480,8333
481,8345
482,8353
483,8376
484,8389
485,8407
486,8420
487,8424
488,8440
489,8443
490,8476
491,8500
492,8502
493,8520
494,8534
495,8596
496,8614
497,8695
498,8709
499,8714
500,8737
501,8745
502,8749
503,8760
504,8764
505,8773
506,8845
507,8858
508,8868
509,8913
510,8961
511,9020
512,9029
513,9036
514,9051
515,9075
516,9095
517,9130
518,9163
519,9187
520,9192
521,9248
522,9288
523,9295
524,9301
525,9309
526,9337
527,9348
528,9428
529,9444
530,9463
531,9468
532,9510
533,9543
534,9554
535,9575
536,9579
537,9628
538,9646
539,9672
540,9708
541,9714
542,9760
543,9763
544,9773
545,9786
546,9904
547,9912
548,9950
549,9970
550,9992
551,10002
552,10020
553,10044
554,10056
555,10065
556,10089
557,10093
558,10116
559,10123
560,10184
561,10197
562,10213
563,10234
564,10273
565,10293
566,10303
567,10315
568,10343
569,10352
570,10376
571,10414
572,10436
573,10518
574,10525
575,10593
576,10620
577,10636
578,10646
579,10663
580,10677
581,10731
582,10739
583,10761
584,10785
585,10799
586,10820
587,10827
588,10857
589,10894
590,10905
591,10960
592,10966
593,11007
594,11044
595,11076
596,11096
597,11124
598,11129
599,11180
600,11187
601,11308
602,11343
603,11362
604,11417
605,11427
606,11492
607,11529
608,11539
609,11542
610,11571
611,11606
612,11632
613,11636
614,11652
615,11717
616,11732
617,11739
618,11766
619,11797
620,11824
621,11838
622,11844
623,11847
624,11873
625,11894
626,11907
627,11924
628,11954
629,12062
630,12087
631,12097
632,12130
633,12217
634,12236
635,12273
636,12284
637,12306
638,12316
639,12337
640,12353
641,12366
642,12371
643,12402
644,12410
645,12417
646,12444
647,12463
648,12527
649,12572
650,12575
651,12589
652,12603
653,12639
654,12644
655,12698
656,12734
657,12753
658,12758
659,12774
660,12784
661,12789
662,12813
663,12834
664,12851
665,12887
666,12893
667,12936
668,12964
669,12992
670,13000
671,13005
672,13032
673,13103
674,13112
675,13217
676,13229
677,13312
678,13343
679,13349
680,13358
681,13387
682,13396
683,13494
684,13562
685,13582
686,13585
687,13613
688,13620
689,13717
690,13732
691,13760
692,13763
693,13790
694,13796
695,13800
696,13832
697,13836
698,13868
699,13894
700,13903
701,13916
702,13944
703,13952
704,14045
705,14052
706,14062
707,14071
708,14129
709,14167
710,14174
711,14206
712,14324
713,14330
714,14332
715,14389
716,14399
717,14411
718,14454
719,14485
720,14512
721,14560
722,14578
723,14585
724,14664
725,14680
726,14801
727,14818
728,14851
729,14887
730,14922
731,14964
732,14973
733,14977
734,15025
735,15051
