step,node
1,29421
2,4605
3,818
4,33737
5,12095
6,11419
7,9772
8,6045
9,33446
10,4250
11,31041
12,33663
13,25231
14,4159
15,27594
16,19012
17,1054
18,1125
19,3799
20,9628
21,10362
22,23484
23,28266
24,1136
25,26329
26,8981
27,32775
28,29988
29,32483
30,25452
31,18897
32,9984
33,20485
34,27852
35,12595
36,176
37,34703
38,7064
39,32172
40,19102
41,15267
42,12347
43,6995
44,9801
45,34944
46,16168
47,4265
48,3708
49,17235
50,3981
51,16251
52,15591
53,28604
54,12330
55,1590
56,33676
57,21285
58,25973
59,5899
60,17436
61,3173
62,26251
63,13199
64,29593
65,29300
66,17200
67,27429
68,8882
69,32770
70,2611
71,1655
72,30987
73,10274
74,36962
75,13290
76,3203
77,10485
78,5404
79,17630
80,12939
81,21378
82,29962
83,16970
84,7754
85,17022
86,16310
87,9540
88,31520
89,12535
90,32805
91,32416
92,30408
93,2741
94,28955
95,30045
96,7923
97,25604
98,34052
99,11157
100,9258
101,22024
102,17931
103,12215
104,30260
105,32539
106,26635
107,10303
108,32219
109,14914
110,2189
111,10682
112,1293
113,36247
114,18656
115,12296
116,2754
117,9763
118,27482
119,33742
120,14480
121,9626
122,31184
123,24282
124,19260
125,30599
126,21944
127,6431
128,12510
129,6244
130,11323
131,35192
132,27385
133,26973
134,13150
135,35313
136,28699
137,20782
138,36870
139,18882
140,17185
141,10273
142,6247
143,24691
144,24193
145,3854
146,1716
147,4896
148,7313
149,30292
150,7870
151,32663
152,20566
153,29181
154,2878
155,18674
156,18299
157,29191
158,22826
159,26275
160,11719
161,27436
162,333
163,32743
164,34552
165,5259
166,32843
167,26708
168,12977
169,31266
170,16785
171,5084
172,13947
173,21137
174,7689
175,22918
176,78
177,34679
178,34654
179,12461
180,24710
181,8586
182,25174
183,5574
184,30450
185,14180
186,31682
187,25240
188,30120
189,9384
190,7363
191,19169
192,8066
193,26844
194,26296
195,18
196,29697
197,15951
198,24622
199,1061
200,5415
201,17679
202,36196
203,11358
204,2454
205,11853
206,28473
207,3235
208,3619
209,36060
210,24631
211,2651
212,26799
213,7159
214,6050
215,32671
216,24180
217,27878
218,8369
219,13000
220,26686
221,30145
222,21252
223,12417
224,27374
225,37698
226,33906
227,9760
228,34908
229,15237
230,19807
231,33144
232,32208
233,19286
234,22087
235,26603
236,22930
237,5709
238,11948
239,11546
240,2534
241,20250
242,674
243,29721
244,28274
245,11227
246,29771
247,14718
248,242
249,2814
250,34914
251,31655
252,2394
253,11627
254,2623
255,1111
256,17152
257,2845
258,26556
259,11700
260,13735
261,33762
262,24922
263,10589
264,27849
265,7217
266,29290
267,29511
268,26123
269,11831
270,24910
271,20995
272,9579
273,4328
274,4641
275,33117
276,22240
277,18099
278,21897
279,21081
280,24134
281,1987
282,33782
283,33137
284,32696
285,5384
286,2331
287,20653
288,17594
289,5275
290,12735
291,10278
292,9590
293,28147
294,23341
295,7317
296,22283
297,9282
298,14367
299,24189
300,12720
301,3480
302,23578
303,28812
304,8563
305,1856
306,33298
307,28398
308,453
309,4455
310,11931
311,8720
312,21558
313,25699
314,25490
315,11076
316,20986
317,2520
318,8614
319,20154
320,47
321,20531
322,14014
323,24308
324,14806
325,22701
326,35385
327,29167
328,34026
329,26396
330,8317
331,10074
332,15462
333,11094
334,2192
335,30293
336,28906
337,2406
338,16506
339,2369
340,1901
341,30535
342,25918
343,26769
344,36859
345,8401
346,2165
347,27585
348,3678
349,9535
350,2941
351,31089
352,2946
353,34597
354,12226
355,21316
356,7368
357,29937
358,12725
359,30268
360,31117
361,2389
362,32193
363,3647
364,22362
365,33989
366,30658
367,29841
368,28181
369,16724
370,13956
371,10532
372,34555
373,17210
374,12619
375,14019
376,21106
377,7037
378,34707
379,33494
380,16713
381,24594
382,17177
383,3130
384,255
385,24598
386,32534
387,29913
388,4943
389,3896
390,28984
391,11292
392,27719
393,14339
394,7298
395,18763
396,3627
397,13212
398,20075
399,16288
400,8539
401,23778
402,29388
403,16503
404,32394
405,34317
406,28793
407,219
408,34910
409,29836
410,16225
411,34710
412,5479
413,35858
414,15761
415,6442
416,5795
417,30307
418,8822
419,15063
420,15563
421,32324
422,11282
423,19079
424,10852
425,33662
426,17973
427,28055
428,26989
429,13813
430,1924
431,4397
432,33803
433,24236
434,15225
435,1663
436,91
437,18518
438,7919
439,33978
440,14554
441,9063
442,24589
443,30057
444,24042
445,30942
446,272
447,6543
448,4035
449,8385
450,29930
451,1611
452,20600
453,31760
454,30813
455,8470
456,23997
457,7616
458,35707
459,17289
460,20463
461,1575
462,20308
463,11372
464,14408
465,35490
466,6567
467,20631
468,30656
469,23024
470,33365
471,8662
472,13049
473,9119
474,9814
475,23156
476,858
477,9875
478,18665
479,25178
480,13852
481,14997
482,9738
483,7177
484,22160
485,1555
