step,node
0,13454
1,17987
2,19350
3,23244
4,2465
5,8380
6,10069
7,922
8,4552
9,23636
10,4270
11,23214
12,15308
13,23666
14,4239
15,10052
16,5736
17,10064
18,19734
19,11319
20,7715
21,4141
22,3819
23,3570
24,21903
25,5438
26,2965
27,4387
28,21337
29,22084
30,7683
31,10868
32,23247
33,19540
34,6469
35,5573
36,19706
37,4115
38,4197
39,22713
40,24
41,6170
42,2730
43,17232
44,11931
45,1298
46,25538
47,23571
48,4110
49,1834
50,21879
51,9229
52,9877
53,14116
54,11937
55,16289
56,16744
57,20614
58,23339
59,9485
60,22706
61,5025
62,6423
63,18530
64,830
65,5191
66,23417
67,20644
68,9215
69,16514
70,17915
71,1906
72,17242
73,21023
74,19604
75,9606
76,5732
77,9598
78,16609
79,21072
80,965
81,5304
82,5275
83,22927
84,5630
85,187
86,352
87,5091
88,3207
89,3526
90,1928
91,6420
92,5673
93,9996
94,673
95,21927
96,22869
97,22746
98,22149
99,14771
100,18235
101,1946
102,12873
103,11672
104,5361
105,6404
106,10422
107,2754
108,3103
109,2974
110,21675
111,22180
112,22272
113,17812
114,2702
115,3937
116,5224
117,4774
118,17033
119,1397
120,15777
121,21865
122,6162
123,13036
124,18041
125,15972
126,18762
127,20075
128,8609
129,5580
130,13082
131,14054
132,4384
133,15115
134,3702
135,13200
136,10261
137,20097
138,12694
139,23321
140,21495
141,8323
142,7724
143,6670
144,5547
145,21609
146,22626
147,23344
148,3633
149,6223
150,706
151,4828
152,6308
153,1252
154,22849
155,9927
156,253
157,15473
158,16092
159,5698
160,3947
161,4918
162,13806
163,6235
164,5477
165,10024
166,6615
167,2440
168,7188
169,5708
170,6013
171,11124
172,6047
173,4227
174,22661
175,5216
176,4283
177,4915
178,10131
179,9034
180,4435
181,4778
182,17261
183,14574
184,5601
185,15627
186,5838
187,18960
188,24950
189,19197
190,18450
191,21332
192,23106
193,20289
194,20801
195,19726
196,18928
197,20523
198,21769
199,18505
200,10242
201,4847
202,4251
203,9332
204,9018
205,9884
206,8938
207,17816
208,15240
209,16323
210,14333
211,15364
212,13153
213,15369
214,12289
215,17993
216,17545
217,17297
218,18675
219,19139
220,16158
221,13080
222,18521
223,12549
224,15319
225,20647
226,12648
227,9915
228,17998
229,14409
230,16858
231,10414
232,3599
233,15215
234,4944
235,4717
236,4527
237,15577
238,3578
239,3774
240,4029
241,4592
242,6212
243,20663
244,6913
245,2790
246,17532
247,15581
248,9267
249,6091
250,14695
251,6566
252,13217
253,14068
254,15084
255,13338
256,13878
257,20859
258,14186
259,11141
260,17456
261,16848
262,11300
263,10327
264,20251
265,17527
266,1009
267,9635
268,1540
269,18104
270,11364
271,6585
272,16732
273,16689
274,1702
275,12385
276,1735
277,13810
278,2398
279,989
280,10830
281,20749
282,15949
283,2425
284,11234
285,13465
286,6932
287,22095
288,15092
289,8754
290,7362
291,11965
292,14112
293,8086
294,12953
295,7808
296,14515
297,10324
298,15412
299,10273
300,2588
301,20198
302,512
303,12069
304,22405
305,7208
306,7570
307,13915
308,13660
309,722
310,9334
311,19807
312,1181
313,13696
314,19759
315,14853
316,9083
317,7117
318,7366
319,8720
320,20381
321,11114
322,20640
323,23140
324,18604
325,2550
326,18356
327,16020
328,1480
329,2580
330,4163
331,1077
332,718
333,7265
334,10159
335,13617
336,7620
337,7535
338,4324
339,4602
340,20062
341,17121
342,8034
343,13065
344,12440
345,20689
346,10083
347,12117
348,220
349,20555
350,15208
351,13330
352,18714
353,22516
354,7012
355,7473
356,15452
357,142
358,19304
359,11190
360,8823
361,20051
362,9800
363,7946
364,19608
365,20170
366,13836
367,2103
368,16624
369,18454
370,12752
371,10310
372,18797
373,8361
374,624
375,117
376,14973
377,16554
378,17562
379,5702
380,15632
381,10799
382,4754
383,11807
384,14205
385,12850
386,12523
387,2086
388,5943
389,12077
390,14235
391,15167
392,15026
393,9025
394,6662
395,7161
396,9307
397,21223
398,19911
399,8789
400,18216
401,22227
402,10304
403,18129
404,19017
405,22643
406,9173
407,17108
408,19259
409,17386
410,8136
411,19485
412,14677
413,8624
414,4317
415,7335
416,9984
417,20183
418,12225
419,16783
420,567
421,1407
422,9055
423,8338
424,16747
425,20870
426,20755
427,16084
428,19570
429,17265
430,19469
431,24163
432,22955
433,5347
434,1155
435,6321
436,18721
437,17578
438,207
439,9732
440,19379
441,5346
442,25281
443,15682
444,10930
445,17524
446,8513
447,7280
448,2906
449,9149
450,21502
451,9756
452,18822
453,8478
454,2446
455,6119
456,5968
457,896
458,16406
459,5584
460,912
461,15221
462,9865
463,1272
464,9987
465,6746
466,712
467,18178
468,872
469,8678
470,18651
471,4398
472,25428
473,8965
474,1606
475,13832
476,2158
477,9253
478,1006
479,7047
480,14995
481,21411
482,484
483,8250
484,14617
485,197
486,8649
487,15338
488,20460
489,18047
490,5907
491,9901
492,9577
493,1926
494,22807
495,15066
496,11345
497,3878
498,24703
499,5521
500,18017
501,12650
502,15233
503,18154
504,1586
505,7382
506,1351
507,6531
508,24652
509,8487
510,414
511,1411
512,11533
513,19547
514,1955
515,15841
516,8884
517,7450
518,13513
519,16311
520,17481
521,13444
522,825
523,15403
524,1120
525,10960
526,15876
527,3719
528,404
