step,node
1,13454
2,13036
3,11931
4,11133
5,22270
6,24933
7,9800
8,11173
9,11558
10,187
11,6469
12,6932
13,7550
14,7570
15,7683
16,7819
17,7852
18,9034
19,9732
20,9772
21,10032
22,11141
23,11570
24,12069
25,13152
26,13444
27,14907
28,14995
29,15972
30,17359
31,19608
32,19790
33,20988
34,23293
35,24678
36,25543
37,197
38,213
39,223
40,279
41,286
42,342
43,382
44,415
45,440
46,473
47,484
48,502
49,523
50,537
51,554
52,560
53,639
54,683
55,694
56,698
57,706
58,804
59,825
60,865
61,896
62,904
63,920
64,957
65,989
66,1009
67,1029
68,1048
69,1097
70,1120
71,1135
72,1155
73,1166
74,1181
75,1194
76,1200
77,1217
78,1244
79,1258
80,1280
81,1324
82,1338
83,1344
84,1347
85,1374
86,1407
87,1411
88,1441
89,1466
90,1492
91,1500
92,1517
93,1535
94,1543
95,1606
96,1626
97,1641
98,1654
99,1702
100,1708
101,1735
102,1906
103,1911
104,1928
105,1939
106,1946
107,2005
108,2030
109,2113
110,2197
111,2246
112,2300
113,2381
114,2446
115,2465
116,2475
117,2564
118,2595
119,2661
120,2666
121,2702
122,2730
123,2743
124,2754
125,2884
126,2906
127,2936
128,2965
129,2974
130,2977
131,3034
132,3085
133,3096
134,3141
135,3197
136,3223
137,3257
138,3373
139,3422
140,3501
141,3520
142,3540
143,3547
144,3557
145,3578
146,3664
147,3676
148,3816
149,3932
150,3952
151,3967
152,3972
153,3979
154,4053
155,4076
156,4102
157,4115
158,4124
159,4149
160,4155
161,4168
162,4185
163,4193
164,4205
165,4215
166,4219
167,4224
168,4251
169,4270
170,4290
171,4384
172,4387
173,4435
174,4527
175,4552
176,4602
177,4770
178,4774
179,4828
180,4853
181,4890
182,4915
183,4918
184,4944
185,4961
186,4984
187,4993
188,5025
189,5077
190,5091
191,5186
192,5197
193,5216
194,5245
195,5304
196,5361
197,5365
198,5418
199,5438
200,5457
201,5465
202,5521
203,5525
204,5540
205,5560
206,5580
207,5611
208,5671
209,5673
210,5698
211,5708
212,5732
213,5736
214,5792
215,5810
216,5841
217,5876
218,5907
219,5943
220,5962
221,5979
222,5994
223,6035
224,6053
225,6058
226,6079
227,6091
228,6119
229,6170
230,6220
231,6268
232,6300
233,6319
234,6344
235,6399
236,6423
237,6457
238,6478
239,6479
240,6491
241,6496
242,6534
243,6562
244,6615
245,6639
246,6654
247,6710
248,6746
249,6749
250,6811
251,6832
252,6835
253,6880
254,6957
255,7028
256,7056
257,7083
258,7096
259,7178
260,7184
261,7200
262,7220
263,7236
264,7267
265,7283
266,7328
267,7356
268,7377
269,7382
270,7386
271,7416
272,7424
273,7430
274,7435
275,7438
276,7473
277,7500
278,7523
279,7535
280,7542
281,7560
282,7598
283,7623
284,7632
285,7638
286,7712
287,7724
288,7728
289,7808
290,7832
291,7874
292,7897
293,7907
294,7927
295,7970
296,7984
297,8008
298,8015
299,8024
300,8047
301,8061
302,8070
303,8081
304,8086
305,8137
306,8154
307,8179
308,8216
309,8238
310,8250
311,8262
312,8269
313,8282
314,8286
315,8294
316,8310
317,8328
318,8338
319,8348
320,8366
321,8380
322,8384
323,8390
324,8403
325,8411
326,8416
327,8437
328,8454
329,8478
330,8493
331,8508
332,8513
333,8532
334,8552
335,8560
336,8563
337,8584
338,8597
339,8614
340,8642
341,8659
342,8678
343,8706
344,8754
345,8767
346,8789
347,8799
348,8842
349,8863
350,8878
351,8949
352,8967
353,8981
354,8988
355,9008
356,9013
357,9037
358,9055
359,9069
360,9140
361,9166
362,9173
363,9183
364,9187
365,9212
366,9222
367,9259
368,9264
369,9267
370,9279
371,9296
372,9334
373,9366
374,9425
375,9442
376,9457
377,9461
378,9485
379,9551
380,9577
381,9584
382,9598
383,9606
384,9617
385,9651
386,9700
387,9704
388,9722
389,9756
390,9780
391,9816
392,9855
393,9860
394,9911
395,9927
396,9938
397,9939
398,9944
399,9987
400,10002
401,10040
402,10047
403,10052
404,10064
405,10083
406,10099
407,10115
408,10126
409,10159
410,10167
411,10189
412,10200
413,10207
414,10242
415,10258
416,10273
417,10299
418,10308
419,10314
420,10327
421,10350
422,10355
423,10414
424,10422
425,10540
426,10641
427,10699
428,10751
429,10785
430,10812
431,10875
432,10960
433,10967
434,11006
435,11020
436,11031
437,11054
438,11073
439,11156
440,11222
441,11234
442,11272
443,11300
444,11333
445,11345
446,11396
447,11435
448,11580
449,11648
450,11680
451,11711
452,11717
453,11755
454,11759
455,11777
456,11807
457,11829
458,11869
459,11888
460,11911
461,11982
462,12004
463,12020
464,12045
465,12062
466,12108
467,12117
468,12126
469,12129
470,12158
471,12225
472,12293
473,12339
474,12355
475,12385
476,12397
477,12506
478,12518
479,12537
480,12565
481,12601
482,12648
483,12661
484,12682
485,12696
486,12792
487,12819
488,12828
489,12873
490,12903
491,12953
492,13011
493,13027
494,13058
495,13124
496,13153
497,13166
498,13171
499,13178
500,13195
501,13234
502,13246
503,13249
504,13318
505,13322
506,13330
507,13338
508,13372
509,13387
510,13423
511,13462
512,13513
513,13515
514,13609
515,13624
516,13627
517,13656
518,13677
519,13684
520,13696
521,13716
522,13721
523,13752
524,13784
525,13802
526,13822
527,13836
528,13846
529,13878
530,13893
531,13967
532,14002
533,14032
534,14035
535,14058
536,14062
537,14104
538,14112
539,14116
540,14120
541,14124
542,14141
543,14186
544,14210
545,14221
546,14235
547,14246
548,14269
549,14308
550,14355
551,14400
552,14409
553,14413
554,14427
555,14432
556,14462
557,14470
558,14515
559,14540
560,14555
561,14566
562,14589
563,14593
564,14605
565,14613
566,14621
567,14641
568,14655
569,14688
570,14695
571,14720
572,14731
573,14748
574,14782
575,14818
576,14833
577,14853
578,14875
579,14892
580,14899
581,14911
582,14916
583,14939
584,14955
585,15026
586,15034
587,15044
588,15058
589,15079
590,15094
591,15098
592,15115
593,15120
594,15127
595,15148
596,15167
597,15186
598,15195
599,15199
600,15208
601,15215
602,15251
603,15260
604,15282
605,15319
606,15345
607,15357
608,15364
609,15376
610,15424
611,15437
612,15444
613,15448
614,15501
615,15538
616,15561
617,15597
618,15623
619,15627
620,15632
621,15660
622,15672
623,15694
624,15726
625,15740
626,15750
627,15843
628,15847
629,15893
630,15912
631,15928
632,15979
633,15989
634,16009
635,16048
636,16084
637,16092
638,16130
639,16139
640,16172
641,16186
642,16190
643,16200
644,16204
645,16213
646,16236
647,16245
648,16250
649,16280
650,16285
651,16294
652,16304
653,16340
654,16352
655,16399
656,16412
657,16428
658,16431
659,16433
660,16489
661,16509
662,16514
663,16561
664,16571
665,16589
666,16639
667,16643
668,16671
669,16692
670,16740
671,16756
672,16786
673,16788
674,16790
675,16794
676,16848
677,16888
678,16897
679,16949
680,16967
681,17001
682,17015
683,17097
684,17102
685,17121
686,17136
687,17139
688,17201
689,17227
690,17249
691,17257
692,17261
693,17287
694,17327
695,17333
696,17365
697,17412
698,17442
699,17445
700,17464
701,17501
702,17527
703,17574
704,17609
705,17623
706,17636
707,17652
708,17660
709,17664
710,17717
711,17736
712,17748
713,17767
714,17837
715,17915
716,17949
717,17963
718,17993
719,18006
720,18010
721,18023
722,18037
723,18058
724,18069
725,18115
726,18162
727,18166
728,18178
729,18196
730,18210
731,18222
732,18235
733,18299
734,18317
735,18328
736,18362
737,18379
738,18392
739,18402
740,18416
741,18419
742,18427
743,18521
744,18567
745,18580
746,18584
747,18610
748,18615
749,18657
750,18662
751,18691
752,18748
753,18762
754,18781
755,18822
756,18847
757,18909
758,18928
759,18944
760,18964
761,18972
762,19000
763,19034
764,19116
765,19139
766,19239
767,19247
768,19278
769,19379
770,19423
771,19469
772,19523
773,19540
774,19547
775,19570
776,19604
777,19695
778,19698
779,19709
780,19721
781,19740
782,19759
783,19793
784,19810
785,19826
786,19836
787,19865
788,19895
789,19905
790,19932
791,19973
792,19995
793,20045
794,20062
795,20097
796,20145
797,20153
798,20183
799,20198
800,20251
801,20289
802,20303
803,20319
804,20339
805,20371
806,20381
807,20389
808,20415
809,20425
810,20430
811,20474
812,20550
813,20582
814,20619
815,20636
816,20644
817,20728
818,20749
819,20755
820,20801
821,20806
822,20824
823,20848
824,20856
825,20910
826,20935
827,21023
828,21041
829,21072
830,21142
831,21271
832,21337
833,21367
834,21428
835,21457
836,21495
837,21502
838,21609
839,21649
840,21675
841,21697
842,21730
843,21749
844,21759
845,21764
846,21792
847,21875
848,21913
849,21927
850,22092
851,22095
852,22109
853,22129
854,22140
855,22149
856,22227
857,22259
858,22272
859,22345
860,22418
861,22504
862,22562
863,22570
864,22626
865,22661
866,22713
867,22746
868,22768
869,22862
870,22869
871,22874
872,22882
873,22891
874,22917
875,22960
876,22975
877,23106
878,23116
879,23128
880,23176
881,23244
882,23263
883,23316
884,23321
885,23328
886,23417
887,23432
888,23437
889,23508
890,23514
891,23520
892,23551
893,23571
894,24156
895,24350
896,24716
897,24766
898,24800
899,25244
900,25274
901,25428
902,25441
903,25473
904,25581
905,71
906,82
907,87
908,109
909,147
910,161
911,203
912,207
913,212
914,239
915,241
916,253
917,263
918,329
919,331
920,369
921,385
922,423
923,466
924,528
925,581
926,617
927,624
928,627
929,665
930,686
931,761
932,782
933,820
934,853
935,861
936,941
937,969
938,1070
939,1150
940,1229
941,1356
942,1534
943,1586
944,1652
945,1675
946,1693
947,1759
948,1809
949,1855
950,1870
951,1877
952,1883
953,1916
954,1955
955,1959
956,2057
957,2130
958,2158
959,2164
960,2219
961,2251
962,2389
963,2423
964,2470
965,2519
966,2528
967,2588
968,2672
969,2706
970,2707
971,2720
972,2780
973,2800
974,2812
975,2827
976,2863
977,2910
978,2920
979,2953
980,3038
981,3050
982,3136
983,3275
984,3301
985,3407
986,3590
987,3621
988,3660
989,3684
990,3712
991,3753
992,3762
993,3793
994,3824
995,3827
996,3849
997,3864
998,3878
999,3912
1000,3999
1001,4020
1002,4025
1003,4301
1004,4321
1005,4350
1006,4394
1007,4414
1008,4434
1009,4458
1010,4462
1011,4464
1012,4483
1013,4507
1014,4542
1015,4548
1016,4617
1017,4629
1018,4634
1019,4661
1020,4670
1021,4671
1022,4706
1023,4747
1024,4749
1025,4837
1026,4862
1027,4939
1028,5062
1029,5098
1030,5120
1031,5153
1032,5165
1033,5182
1034,5266
1035,5326
1036,5373
1037,5498
1038,5558
1039,5589
1040,5599
1041,5645
1042,5670
1043,5702
1044,5757
1045,5802
1046,5960
1047,5998
1048,6029
1049,6076
1050,6089
1051,6128
1052,6144
1053,6183
1054,6255
1055,6308
1056,6351
1057,6662
1058,6667
1059,6785
1060,6816
1061,6980
1062,7105
1063,7139
1064,7564
1065,7652
1066,7690
1067,7721
1068,7757
1069,7954
1070,8120
1071,8279
1072,8394
1073,8420
1074,8542
1075,8688
1076,8737
1077,8741
1078,8815
1079,8819
1080,8823
1081,8862
1082,8992
1083,9059
1084,9135
1085,9143
1086,9149
1087,9159
1088,9283
1089,9299
1090,9303
1091,9343
1092,9406
1093,9408
1094,9490
1095,9555
1096,9562
1097,9663
1098,9748
1099,9788
1100,9864
1101,9896
1102,10043
1103,10091
1104,10143
1105,10148
1106,10203
1107,10218
1108,10221
1109,10225
1110,10261
1111,10382
1112,10436
1113,10460
1114,10565
1115,10681
1116,11527
1117,11605
1118,11734
1119,11837
1120,11984
1121,12131
1122,12178
1123,12211
1124,12271
1125,12279
1126,12331
1127,12373
1128,12408
1129,12443
1130,12487
1131,12579
1132,13069
1133,13342
1134,13705
1135,13741
1136,13760
1137,13767
1138,13948
1139,14006
1140,14076
1141,14126
1142,14154
1143,14184
1144,14675
1145,15088
1146,15277
1147,15301
1148,15465
1149,15490
1150,15523
1151,15529
1152,15591
1153,15755
1154,15769
1155,15828
1156,15830
1157,15949
1158,15975
1159,16020
1160,16080
1161,16152
1162,16270
1163,16274
1164,16463
1165,16546
1166,16568
1167,16602
1168,16624
1169,16664
1170,16675
1171,16925
1172,17066
1173,17108
1174,17152
1175,17162
1176,17275
1177,17301
1178,17389
1179,17430
1180,17476
1181,17505
1182,17686
1183,17804
1184,17831
1185,17846
1186,17856
1187,17861
1188,17934
1189,18017
1190,18047
1191,18081
1192,18126
1193,18131
1194,18233
1195,18272
1196,18315
1197,18387
1198,18447
1199,18454
1200,18513
1201,18545
1202,18563
1203,18637
1204,18672
1205,18717
1206,18721
1207,18806
1208,18829
1209,18833
1210,18863
1211,18871
1212,18904
1213,18956
1214,19080
1215,19148
1216,19253
1217,19294
1218,19316
1219,19327
1220,19337
1221,19497
1222,19535
1223,19555
1224,19564
1225,19580
1226,19596
1227,19621
1228,19780
1229,19783
1230,19844
1231,19889
1232,19909
1233,19915
1234,19946
1235,19952
1236,19957
1237,19981
1238,20018
1239,20024
1240,20075
1241,20108
1242,20121
1243,20135
1244,20170
1245,20277
1246,20344
1247,20460
1248,20467
1249,20577
1250,20587
1251,20687
1252,20706
1253,20844
1254,20859
1255,20883
1256,20972
1257,21015
1258,21025
1259,21029
1260,21047
1261,21065
1262,21120
1263,21121
1264,21128
1265,21203
1266,21211
1267,21222
1268,21288
1269,21477
1270,21512
1271,21559
1272,21566
1273,21591
1274,21619
1275,21757
1276,21799
1277,21864
1278,21917
1279,22017
1280,22034
1281,22257
1282,22302
