step,node
0,19350
1,17232
2,24
3,23666
4,1298
5,1834
6,9229
7,9877
8,10868
9,23339
10,11937
11,15308
12,16289
13,20614
14,22706
15,17987
16,21023
17,11319
18,352
19,10047
20,6170
21,4141
22,3819
23,4110
24,16609
25,23571
26,19706
27,22210
28,19540
29,22221
30,9215
31,22927
32,2730
33,3633
34,5025
35,14116
36,22272
37,5361
38,23247
39,18530
40,21927
41,2900
42,16514
43,21072
44,22149
45,17915
46,5732
47,965
48,9996
49,20644
50,22869
51,9606
52,3207
53,23636
54,5304
55,23432
56,673
57,6404
58,14771
59,21722
60,18235
61,10422
62,11672
63,1946
64,20516
65,5191
66,16744
67,17242
68,4552
69,8380
70,23244
71,4270
72,10064
73,21903
74,22084
75,19251
76,13454
77,11931
78,5275
79,5091
80,2965
81,1413
82,1252
83,5438
84,1360
85,2862
86,19734
87,19604
88,4239
89,7715
90,3906
91,5630
92,3520
93,19083
94,3886
95,13036
96,13200
97,3816
98,6420
99,7944
100,830
101,3983
102,4283
103,6469
104,4384
105,9195
106,11173
107,17945
108,7550
109,10052
110,20676
111,23214
112,15617
113,3570
114,7505
115,9800
116,15972
117,3526
118,4053
119,11558
120,23653
121,3702
122,13431
123,2608
124,7683
125,7690
126,22903
127,7712
128,20988
129,16416
130,187
131,21337
132,21879
133,9034
134,19608
135,21865
136,13187
137,3228
138,10077
139,1582
140,3223
141,23417
142,20075
143,23573
144,12069
145,5540
146,16016
147,5736
148,13549
149,6423
150,5979
151,4115
152,20555
153,17812
154,5746
155,12443
156,19034
157,19311
158,20051
159,19995
160,21609
161,21000
162,4197
163,10131
164,5673
165,8918
166,4029
167,3085
168,5444
169,9732
170,4918
171,17261
172,8323
173,3578
174,10335
175,22698
176,2035
177,7724
178,7743
179,3953
180,13082
181,2463
182,6932
183,4093
184,3679
185,7852
186,10032
187,3742
188,3664
189,15286
190,17998
191,15477
192,22736
193,2702
194,1928
195,9927
196,2381
197,4224
198,1452
199,23173
200,213
201,1436
202,560
203,10238
204,14907
205,12293
206,2219
207,4227
208,19286
209,3646
210,24821
211,6414
212,6308
213,2404
214,10314
215,13696
216,12545
217,6255
218,10976
219,11965
220,23106
221,11933
222,20464
223,18521
224,17958
225,5250
226,6723
227,5838
228,17033
229,5576
230,5186
231,21258
232,21080
233,21142
234,21165
235,21613
