step,node
1,2465
2,10045
3,9915
4,1413
5,9663
6,9899
7,9869
8,9911
9,5275
10,17987
11,23321
12,23267
13,23328
14,23281
15,23277
16,23307
17,23244
18,23300
19,23344
20,23337
21,1397
22,2728
23,10052
24,23547
25,3797
26,1360
27,3772
28,1253
29,1252
30,1234
31,7145
32,8380
33,10055
34,3972
35,7149
36,8378
37,8384
38,7289
39,8371
40,7683
41,4043
42,6065
43,4552
44,3747
45,3953
46,3679
47,1663
48,1521
49,1433
50,1181
51,13510
52,934
53,1185
54,1164
55,4335
56,5418
57,5346
58,5630
59,3839
60,2425
61,15777
62,18081
63,10159
64,20062
65,12549
66,12502
67,10135
68,10077
69,20749
70,20830
71,22302
72,22516
73,22608
74,22549
75,22550
76,22301
77,21627
78,22076
79,21972
80,22075
81,20955
82,20995
83,21310
84,21309
85,21612
86,21609
87,21943
88,22132
89,22389
90,22461
91,20816
92,19995
93,20818
94,20824
95,19983
96,20351
97,20353
98,20045
99,20051
100,20052
101,12477
102,12443
103,12459
104,13089
105,12445
106,21329
107,13129
108,13549
109,13253
110,13249
111,5438
112,6662
113,6768
114,6684
115,1952
116,6582
117,6091
118,6397
119,6702
120,1939
121,15115
122,12929
123,14239
124,15286
125,4670
126,2446
127,4317
128,4301
129,6913
130,4331
131,18709
132,19083
133,22661
134,23173
135,23081
136,23164
137,20663
138,6823
139,9267
140,6816
141,10131
142,17849
143,8761
144,4580
145,4583
146,4602
147,12202
148,6469
149,10310
150,5444
151,12229
152,10126
153,12206
154,8918
155,8754
156,17874
157,16322
158,14822
159,14857
160,16056
161,6773
162,5913
163,5948
164,7933
165,4283
166,3785
167,3753
168,3491
169,3407
170,2656
171,4870
172,4717
173,4785
174,4398
175,4434
176,4468
177,4412
178,4467
179,4576
180,4404
181,7926
182,4939
183,4519
184,4724
185,6058
186,6059
187,6040
188,8134
189,5950
190,6779
191,6585
192,242
193,241
194,2702
195,1928
196,2646
197,843
198,2483
199,2449
200,1561
201,4915
202,4634
203,4633
204,4600
205,4599
206,4598
207,4597
208,4572
209,4527
210,4474
