step,node
1,24
2,1298
3,1834
4,9229
5,9215
6,9877
7,10868
8,11937
9,15308
10,16289
11,17232
12,19350
13,20614
14,22706
15,23339
16,23666
17,352
18,673
19,957
20,1946
21,2730
22,2754
23,3103
24,3207
25,3819
26,4110
27,4141
28,5025
29,5304
30,5361
31,5732
32,6170
33,6404
34,9606
35,9996
36,10047
37,10422
38,11597
39,11672
40,12792
41,14116
42,14771
43,16514
44,16609
45,16744
46,17915
47,17987
48,18235
49,18530
50,19540
51,19706
52,20644
53,21023
54,21072
55,21722
56,21927
57,22149
58,22869
59,23200
60,23571
61,23417
62,23179
63,6
64,56
65,130
66,181
67,223
68,830
69,1222
70,1406
71,1679
72,2002
73,2169
74,2177
75,2456
76,2623
77,4115
78,3409
79,3419
80,3613
81,3631
82,3724
83,3780
84,5191
85,7505
86,8177
87,10822
88,13682
89,15491
90,15837
91,17751
92,18851
93,19251
94,19286
95,19223
96,20496
97,20960
98,21605
99,21767
100,22052
101,22084
102,22729
103,22893
104,23642
105,23680
106,187
107,9034
108,11931
109,11558
110,10839
111,19608
112,213
113,1447
114,484
115,694
116,706
117,825
118,896
119,904
120,920
121,1120
122,1268
123,1338
124,1906
125,1911
126,1928
127,1431
128,2483
129,1029
130,1955
131,2005
132,2035
133,2422
134,2103
135,1926
136,2350
137,2475
138,2595
139,2666
140,2702
141,2890
142,2965
143,3557
144,3578
145,3314
146,3742
147,2953
148,3816
149,3932
150,4774
151,3959
152,3979
153,4124
154,4168
155,3947
156,4197
157,4224
158,4239
159,4270
160,4287
161,4384
162,4387
163,4251
164,4552
165,4047
166,3855
167,4828
168,4853
169,4993
170,5091
171,5275
172,4604
173,5216
174,4435
175,4915
176,5438
177,6423
178,5457
179,5540
180,5560
181,5573
182,5630
183,4934
184,5671
185,5673
186,5698
187,5979
188,5838
189,5907
190,6058
191,6217
192,6235
193,6091
194,6300
195,6289
196,6249
197,6353
198,6344
199,6597
200,7157
201,6420
202,6483
203,6491
204,6538
205,6496
206,6129
207,6811
208,6980
209,6932
210,7056
211,7382
212,7215
213,7143
214,7168
215,7366
216,7377
217,7435
218,7047
219,7458
220,7535
221,7606
222,7623
223,7690
224,7712
225,7927
