step,node
1,13454
2,9800
3,11173
4,11558
5,187
6,6469
7,6932
8,7550
9,7570
10,7683
11,7819
12,7852
13,9034
14,9732
15,9772
16,9809
17,10032
18,11141
19,11570
20,11931
21,12069
22,13036
23,13152
24,13431
25,13444
26,14907
27,14995
28,15972
29,17359
30,19608
31,19790
32,20988
33,23293
34,24678
35,25543
36,24
37,197
38,213
39,223
40,279
41,286
42,325
43,342
44,382
45,440
46,473
47,484
48,502
49,523
50,537
51,554
52,560
53,624
54,635
55,639
56,683
57,690
58,694
59,706
60,708
61,765
62,804
63,825
64,865
65,896
66,904
67,920
68,937
69,957
70,989
71,1024
72,1029
73,1048
74,1087
75,1120
76,1135
77,1155
78,1166
79,1181
80,1194
81,1200
82,1217
83,1244
84,1258
85,1272
86,1324
87,1338
88,1344
89,1347
90,1374
91,1407
92,1411
93,1413
94,1441
95,1466
96,1492
97,1500
98,1508
99,1517
100,1535
101,1543
102,1606
103,1616
104,1626
105,1641
106,1666
107,1702
108,1708
109,1735
110,1834
111,1906
112,1911
113,1928
114,1939
115,1946
116,2005
117,2030
118,2113
119,2197
120,2246
121,2260
122,2300
123,2304
124,2356
125,2381
126,2446
127,2475
128,2490
129,2564
130,2595
131,2608
132,2661
133,2666
134,2702
135,2730
136,2743
137,2754
138,2884
139,2906
140,2936
141,2965
142,2974
143,2977
144,3014
145,3040
146,3044
147,3076
148,3085
149,3096
150,3103
151,3132
152,3138
153,3141
154,3182
155,3185
156,3197
157,3207
158,3223
159,3290
160,3337
161,3373
162,3422
163,3501
164,3520
165,3540
166,3547
167,3557
168,3578
169,3664
170,3676
171,3747
172,3816
173,3932
174,3952
175,3967
176,3972
177,3979
178,3993
179,4043
180,4053
181,4076
182,4093
183,4102
184,4115
185,4124
186,4149
187,4155
188,4168
189,4185
190,4193
191,4205
192,4215
193,4219
194,4224
195,4251
196,4270
197,4290
198,4384
199,4387
200,4435
201,4527
202,4556
203,4602
204,4770
205,4774
206,4828
207,4853
208,4890
209,4915
210,4918
211,4944
212,4961
213,4984
214,4993
215,5018
216,5025
217,5037
218,5048
219,5077
220,5091
221,5100
222,5124
223,5186
224,5197
225,5216
226,5240
227,5245
228,5259
229,5304
230,5361
231,5365
232,5418
233,5438
234,5457
235,5465
236,5481
237,5487
238,5521
239,5525
240,5540
241,5551
242,5573
243,5580
244,5601
245,5630
246,5671
247,5673
248,5679
249,5698
250,5708
251,5732
252,5736
253,5792
254,5803
255,5810
256,5815
257,5838
258,5841
259,5845
260,5876
261,5907
262,5943
263,5962
264,5979
265,6035
266,6058
267,6079
268,6091
269,6119
270,6170
271,6217
272,6220
273,6232
274,6268
275,6289
276,6300
277,6319
278,6336
279,6344
280,6357
281,6392
282,6404
283,6418
284,6423
285,6457
286,6478
287,6479
288,6491
289,6496
290,6524
291,6534
292,6551
293,6562
294,6585
