step,node
1,4354
2,835
3,11266
4,9999
5,9000
6,5281
7,4005
8,23493
9,3407
10,18129
11,1037
12,1087
13,3719
14,9055
15,9598
16,21865
17,1540
18,7740
19,23464
20,18143
21,9422
22,19474
23,11486
24,129
25,6117
26,18182
27,14183
28,11570
29,6002
30,8805
31,14417
32,4124
33,3727
34,16053
35,3823
36,15131
37,14387
38,10841
39,1572
40,19973
41,23472
42,4737
43,16026
44,3051
45,23698
46,12289
47,17143
48,7489
49,2730
50,1820
51,9241
52,12161
53,3096
54,10985
55,3982
56,16848
57,24620
58,19726
59,16554
60,6268
61,15989
62,15005
63,8283
64,11648
65,3468
66,7020
67,23075
68,10156
69,6281
70,20122
71,16082
72,11173
73,8817
74,13609
75,2128
76,9474
77,1075
78,13260
79,18777
80,11036
81,2553
82,8508
83,13226
84,8793
85,21742
86,17158
87,20000
88,5429
89,10919
90,5337
91,10492
92,25543
93,10821
94,18629
95,17445
96,15791
97,8923
98,5551
99,22034
100,21566
101,3625
102,1774
103,4350
104,5936
105,6145
106,18416
107,2440
108,16563
109,16484
110,20668
111,22905
112,11701
113,247
114,4465
115,23288
116,11107
117,14433
118,5086
119,12725
120,19139
121,6582
122,19905
123,60
124,10914
125,21784
126,6939
127,22017
128,4263
129,12626
130,22052
131,8047
132,6280
133,16155
134,6224
135,23386
136,23032
137,13
138,13677
139,22242
140,690
141,4404
142,15617
143,13036
144,10019
145,2233
146,10143
147,3223
148,3491
149,21747
150,2832
151,23284
152,4837
153,4938
154,20866
155,25467
156,6534
157,11038
158,23106
159,18597
160,8555
161,23547
162,8024
163,13288
164,17499
165,16428
166,19342
167,22593
168,19895
169,4721
170,12776
171,9519
172,2588
173,14400
174,726
175,9655
176,9222
177,147
178,2808
179,2279
180,9405
181,2630
182,1046
183,14769
184,2743
185,22492
186,10393
187,12108
188,21245
189,9049
190,23483
191,5108
192,21046
193,12549
194,21029
195,17882
196,7741
197,3876
198,4905
199,19091
200,15207
201,18621
202,18149
203,21018
204,2220
205,4047
206,2336
207,17658
208,14537
209,4591
210,10450
211,8008
212,7535
213,23456
214,19844
215,5480
216,19021
217,7454
218,12030
219,20516
220,10410
221,3018
222,19604
223,3990
224,1932
225,23697
226,430
227,3794
228,10022
229,6478
230,18009
231,21345
232,21203
233,8727
234,17671
235,2264
236,7504
237,16485
238,41
239,17287
240,11319
241,20157
242,24725
243,19083
244,21436
245,6054
246,7606
247,12750
248,9219
249,2256
250,24757
251,2363
252,13664
253,2194
254,1913
255,21067
256,22153
257,23339
258,6236
259,2190
260,22322
261,3177
262,7704
263,3578
264,2683
265,9833
266,18495
267,4685
268,11210
269,1855
270,3295
271,18757
272,23238
273,13836
274,11672
275,8282
276,13457
277,10036
278,11349
279,17544
280,5111
281,12941
282,20346
283,13721
284,2842
285,201
286,20785
287,4058
288,2903
289,24345
290,8775
291,22648
292,11269
293,5425
294,15547
295,2818
296,24563
297,16707
298,12425
299,24297
300,19682
301,13113
302,23363
303,167
304,12928
305,4243
306,5365
307,11276
308,4596
309,4441
310,6157
311,11971
312,12136
313,8739
314,16322
315,8467
316,11261
317,22363
318,23230
319,10586
320,1946
321,3803
322,18936
323,11893
324,1730
325,90
326,14647
327,5158
328,12555
329,6387
330,19813
331,19223
332,437
333,4483
334,3055
335,5973
336,1397
337,18562
338,5832
339,19236
340,5022
341,1552
342,13405
343,15921
344,2052
345,16978
346,8677
347,10567
348,4308
349,15570
350,18489
351,6188
352,10238
353,6469
354,7310
355,18657
356,840
357,7897
358,14635
359,18563
360,12000
361,11491
362,6312
363,4481
364,16935
365,1534
366,21077
367,9354
368,8426
369,20673
370,15843
371,13806
372,9647
373,9413
374,918
375,8051
376,17846
377,14369
378,12385
379,2751
380,12147
381,15420
382,22729
383,18572
384,14484
385,941
386,4649
387,11284
388,7323
389,11469
390,1442
391,4405
392,19763
393,15368
394,13886
395,19793
396,22988
397,4646
398,17348
399,8306
400,11572
